Volumen,Volume,MaxHydrFlow,Buffer,Flow
0,0,1421625.6,0,0
400000,400000,1430697.55,0,0
800000,800000,1439763.87,0,0
1200000,1200000,1448824.564,0,0
1600000,1600000,1457879.634,0,0
1990000,1990000,1466702.913,0,0
2390000,2390000,1475746.88,0,0
2790000,2790000,1484785.229,0,0
3190000,3190000,1493817.962,0,0
3590000,3590000,1502845.081,0,0
3990000,3990000,1511866.588,0,0
4390000,4390000,1520882.486,0,0
4780000,4780000,1529667.587,0,0
5180000,5180000,1538672.412,0,0
5590000,5590000,1547896.543,0,0
5980000,5980000,1556665.256,0,0
6380000,6380000,1565653.278,0,0
6780000,6780000,1574635.703,0,0
7180000,7180000,1583612.534,0,0
7570000,7570000,1592359.56,0,0
7970000,7970000,1601325.348,0,0
8370000,8370000,1610285.548,0,0
8770000,8770000,1619240.163,0,0
9170000,9170000,1628189.193,0,0
9570000,9570000,1637132.642,0,0
9970000,9970000,1646070.511,0,0
10370000,10370000,1655002.803,0,0
10760000,10760000,1663706.419,0,0
11160000,11160000,1672627.702,0,0
11560000,11560000,1681543.415,0,0
11960000,11960000,1690453.558,0,0
12360000,12360000,1699358.135,0,0
12760000,12760000,1708257.147,0,0
13160000,13160000,1717150.597,0,0
13550000,13550000,1725816.357,0,0
13950000,13950000,1734698.828,0,0
14350000,14350000,1743575.743,0,0
14750000,14750000,1752447.104,0,0
15150000,15150000,1761312.914,0,0
15550000,15550000,1770173.174,0,0
15950000,15950000,1779027.887,0,0
16350000,16350000,1787877.055,0,0
16740000,16740000,1796499.657,0,0
17140000,17140000,1805337.88,0,0
17540000,17540000,1814170.564,0,0
17940000,17940000,1822997.711,0,0
18340000,18340000,1831819.324,0,0
18740000,18740000,1840635.405,0,0
19140000,19140000,1849445.956,0,0
19530000,19530000,1858030.921,0,0
19930000,19930000,1866830.556,0,0
20330000,20330000,1875624.668,0,0
20730000,20730000,1884413.258,0,0
21130000,21130000,1893196.329,0,0
21530000,21530000,1901973.883,0,0
21930000,21930000,1910745.922,0,0
22320000,22320000,1919293.352,0,0
22720000,22720000,1928054.504,0,0
23120000,23120000,1936810.149,0,0
23520000,23520000,1945560.287,0,0
23920000,23920000,1954304.92,0,0
24320000,24320000,1963044.052,0,0
24720000,24720000,1971777.683,0,0
25120000,25120000,1980505.817,0,0
25510000,25510000,1989010.456,0,0
25910000,25910000,1997727.738,0,0
26310000,26310000,2006439.528,0,0
26710000,26710000,2015145.829,0,0
27110000,27110000,2023846.643,0,0
27510000,27510000,2032541.972,0,0
27910000,27910000,2041231.819,0,0
28300000,28300000,2049699.142,0,0
28700000,28700000,2058378.166,0,0
29100000,29100000,2067051.714,0,0
29500000,29500000,2075719.788,0,0
29900000,29900000,2084382.389,0,0
30300000,30300000,2093039.521,0,0
30700000,30700000,2101691.185,0,0
31100000,31100000,2110337.383,0,0
31490000,31490000,2118762.166,0,0
31890000,31890000,2127397.577,0,0
32290000,32290000,2136027.528,0,0
32690000,32690000,2144652.021,0,0
33090000,33090000,2153271.061,0,0
33490000,33490000,2161884.647,0,0
33890000,33890000,2170492.783,0,0
34280000,34280000,2178880.47,0,0
34680000,34680000,2187477.847,0,0
35080000,35080000,2196069.78,0,0
35480000,35480000,2204656.271,0,0
35880000,35880000,2213237.323,0,0
36280000,36280000,2221812.937,0,0
36680000,36680000,2230383.115,0,0
37070000,37070000,2238733.808,0,0
37470000,37470000,2247293.257,0,0
37870000,37870000,2255847.277,0,0
38270000,38270000,2264395.871,0,0
38670000,38670000,2272939.04,0,0
39070000,39070000,2281476.786,0,0
39470000,39470000,2290009.111,0,0
39870000,39870000,2298536.019,0,0
40280000,40280000,2307270.478,0,0
40700000,40700000,2316212.074,0,0
41120000,41120000,2325147.705,0,0
41530000,41530000,2333864.83,0,0
