year,month,A,B,C,D,E
2019,1,61.68425234,62.82839528,61.68425234,61.68425234,62.82839528
2019,4,61.14260491,62.05254663,60.53403204,60.76484801,62.05254663
2019,7,59.44506622,60.75396445,59.13123056,59.15862133,60.75566579
2019,10,58.23888235,59.98437167,57.78277797,57.78277797,59.9812755
2020,1,63.15352589,69.22185523,58.82830182,58.67136516,69.24186851
2020,4,63.4913592,69.82792004,57.35424871,56.89967972,69.78351166
2020,7,61.46214186,68.06671397,55.05631073,54.71404255,68.01355905
2020,10,58.82476927,64.91682129,52.34992852,51.60034092,64.90899459
2021,1,60.77661663,67.74060334,54.56779347,53.52430736,67.71229111
2021,4,59.74895033,67.14345099,53.64446832,52.03494895,67.12711239
2021,7,55.82576,63.13710386,51.43919629,47.15112,62.61813612
2021,10,54.55821916,58.2560766,50.29052253,42.26871765,56.9689904
2022,1,60.88032184,68.52705144,55.3818609,53.38179943,68.46023487
2022,4,60.37588085,67.18396816,54.50302416,52.48112775,67.20296862
2022,7,55.03525212,56.64307712,50.62466618,46.06402896,55.20135565
2022,10,51.97268219,51.01665126,48.4662847,40.50556092,49.75601771
2023,1,61.56855026,70.02981375,55.61997542,53.88518373,70.04875378
2023,4,60.28495155,67.50239209,54.22085578,52.15490776,67.69321448
2023,7,55.10928454,59.92968473,49.01872028,46.50490089,59.23696387
2023,10,48.52850145,50.83688266,44.18033663,39.61665146,50.24584101
2024,1,60.03306425,69.57042789,55.26388566,53.88773738,69.82039246
2024,4,57.84994584,63.58781007,53.56612051,50.59679518,65.51316198
2024,7,47.23673239,46.09232128,46.7851705,43.36768253,49.40175424
2024,10,42.14135103,36.40528743,40.14246685,37.13309313,41.90033865
2025,1,62.48425706,71.09303638,56.19538884,54.86711561,71.81478031
2025,4,58.84057909,64.60161265,54.5551135,52.2403331,65.84240491
2025,7,48.33157286,46.70321843,47.81333184,44.65302099,50.41429751
2025,10,41.75776138,35.76848225,40.06876168,38.23906381,41.89950704
2026,1,63.38736973,72.26431628,57.08058709,55.73928243,72.3029289
2026,4,58.65956771,65.98245899,55.28035156,52.9778736,67.2340398
2026,7,49.21775161,48.20447065,49.48792267,45.32147862,52.84471191
2026,10,40.68305627,36.86598153,39.03252427,38.59681301,40.75070138
2027,1,64.03748144,73.36960315,58.57852698,56.11720447,73.58422751
2027,4,60.31957477,68.34007446,55.94064623,53.91054233,68.85335782
2027,7,50.99046642,51.38499651,47.51286986,45.20825702,54.6246206
2027,10,42.35613866,38.80339355,38.47164932,38.94745185,41.73130674
2028,1,67.09231905,77.13944851,62.12686768,56.83695596,78.44278643
2028,4,62.42456791,69.95591109,57.03841433,54.92823208,70.05783838
2028,7,52.61621753,52.17234093,47.64774247,46.0071539,57.16467506
2028,10,42.4265815,40.26522167,39.08414268,39.69975859,42.40653212
2029,1,69.94319862,81.00256201,64.54674568,57.91264504,81.6622132
2029,4,64.89280023,71.13356069,58.1193357,55.39511414,72.90522764
2029,7,55.30026517,57.12448161,47.12374613,47.85897059,61.03169976
2029,10,42.78385445,42.36554301,39.18668019,41.35897813,45.91643495
2030,1,68.70014365,82.30244726,71.49511963,60.5160539,84.90815099
2030,4,58.49157764,66.43672,59.58769228,56.28947006,69.26357358
2030,7,47.85891442,47.5481333,48.48735881,49.35327029,50.71520937
2030,10,37.07756165,37.67148101,41.28063689,41.49143589,38.33870525
2031,1,65.00352883,80.36397074,74.05382885,56.48636603,85.04397729
2031,4,58.41709137,66.28362123,61.56798405,54.87901893,68.38602563
2031,7,46.7205159,47.76131081,47.7422064,48.17109813,52.83628486
2031,10,35.26987644,37.36849544,39.87312728,39.18928221,39.97811115
2032,1,66.88640718,81.27674639,83.98314349,59.17063152,86.20894417
2032,4,55.73516986,63.68810547,66.26867937,55.7524644,64.93822671
2032,7,42.60626515,45.90827809,49.71977496,48.69530937,50.04314797
2032,10,32.90078824,37.246217,40.96475783,39.81180019,38.34969434
2033,1,76.12857641,84.75924417,91.72124233,62.8546576,89.83185424
2033,4,59.54197274,64.74171498,67.31447556,57.73821033,66.10518978
2033,7,43.43196645,45.66034782,50.99870613,49.08428531,49.09839289
2033,10,32.91438211,38.50231754,41.65730523,40.01224247,36.95302083
2034,1,81.52506143,88.62507381,92.77279686,64.92549302,93.22060361
2034,4,60.66193312,66.37618728,68.2752975,58.43216334,67.92639388
2034,7,44.57959392,46.8983945,51.39824302,49.61448757,49.71775098
2034,10,32.09832084,38.88361863,41.8557034,40.68285221,38.07372799
2035,1,82.88261561,91.63280629,93.62747236,68.3243145,96.74942163
2035,4,60.55326903,67.64735203,68.06610834,59.24579698,69.38203601
2035,7,45.35249072,49.75989695,51.7738049,49.66293862,51.07162684
2035,10,31.72934289,39.02114054,41.53221966,40.39299601,36.64200221
2036,1,86.08819567,95.07595521,94.15416965,72.75123245,104.8879298
2036,4,61.34679336,71.57782494,67.54308796,62.44688571,72.20672468
2036,7,44.8724954,51.79027034,52.85154412,50.09940188,53.63790715
2036,10,31.00161192,40.54733854,41.44457505,41.20537709,37.14190701
2037,1,85.70031575,100.5066675,94.51330757,75.86081587,107.9079457
2037,4,58.16617844,73.48538783,67.60199689,62.61182316,74.47246354
2037,7,43.39757525,52.05454849,52.96456754,50.58279442,54.02865044
2037,10,30.98226061,38.86383997,41.79884053,41.32159246,35.48546599
2038,1,87.41619928,101.9140228,94.40498221,80.50011596,115.7829043
2038,4,59.66823508,74.49623147,67.73602746,65.55708821,75.72639691
2038,7,44.20231993,51.99324694,52.97547317,49.65570264,53.9036765
2038,10,30.16366299,37.77152869,42.58815682,42.29043456,33.14135536
2039,1,88.39279457,103.8158883,95.9376972,87.06071537,118.0423362
2039,4,60.66571321,75.58313793,67.19431879,68.83894835,77.17950393
2039,7,44.9456318,51.96779738,53.98256572,52.1805542,52.77751734
2039,10,30.4566427,38.32489584,42.24499784,42.45406224,32.33556577
