Date,Average
2019-01-01,62.82839528
2019-02-01,62.82839528
2019-03-01,62.82839528
2019-04-01,62.05254663
2019-05-01,62.05254663
2019-06-01,62.05254663
2019-07-01,60.75396445
2019-08-01,60.75396445
2019-09-01,60.75396445
2019-10-01,59.98437167
2019-11-01,59.98437167
2019-12-01,59.98437167
2020-01-01,69.22185523
2020-02-01,69.22185523
2020-03-01,69.22185523
2020-04-01,69.82792004
2020-05-01,69.82792004
2020-06-01,69.82792004
2020-07-01,68.06671397
2020-08-01,68.06671397
2020-09-01,68.06671397
2020-10-01,64.91682129
2020-11-01,64.91682129
2020-12-01,64.91682129
2021-01-01,67.74060334
2021-02-01,67.74060334
2021-03-01,67.74060334
2021-04-01,67.14345099
2021-05-01,67.14345099
2021-06-01,67.14345099
2021-07-01,63.13710386
2021-08-01,63.13710386
2021-09-01,63.13710386
2021-10-01,58.2560766
2021-11-01,58.2560766
2021-12-01,58.2560766
2022-01-01,68.52705144
2022-02-01,68.52705144
2022-03-01,68.52705144
2022-04-01,67.18396816
2022-05-01,67.18396816
2022-06-01,67.18396816
2022-07-01,56.64307712
2022-08-01,56.64307712
2022-09-01,56.64307712
2022-10-01,51.01665126
2022-11-01,51.01665126
2022-12-01,51.01665126
2023-01-01,70.02981375
2023-02-01,70.02981375
2023-03-01,70.02981375
2023-04-01,67.50239209
2023-05-01,67.50239209
2023-06-01,67.50239209
2023-07-01,59.92968473
2023-08-01,59.92968473
2023-09-01,59.92968473
2023-10-01,50.83688266
2023-11-01,50.83688266
2023-12-01,50.83688266
2024-01-01,69.57042789
2024-02-01,69.57042789
2024-03-01,69.57042789
2024-04-01,63.58781007
2024-05-01,63.58781007
2024-06-01,63.58781007
2024-07-01,46.09232128
2024-08-01,46.09232128
2024-09-01,46.09232128
2024-10-01,36.40528743
2024-11-01,36.40528743
2024-12-01,36.40528743
2025-01-01,71.09303638
2025-02-01,71.09303638
2025-03-01,71.09303638
2025-04-01,64.60161265
2025-05-01,64.60161265
2025-06-01,64.60161265
2025-07-01,46.70321843
2025-08-01,46.70321843
2025-09-01,46.70321843
2025-10-01,35.76848225
2025-11-01,35.76848225
2025-12-01,35.76848225
2026-01-01,72.26431628
2026-02-01,72.26431628
2026-03-01,72.26431628
2026-04-01,65.98245899
2026-05-01,65.98245899
2026-06-01,65.98245899
2026-07-01,48.20447065
2026-08-01,48.20447065
2026-09-01,48.20447065
2026-10-01,36.86598153
2026-11-01,36.86598153
2026-12-01,36.86598153
2027-01-01,73.36960315
2027-02-01,73.36960315
2027-03-01,73.36960315
2027-04-01,68.34007446
2027-05-01,68.34007446
2027-06-01,68.34007446
2027-07-01,51.38499651
2027-08-01,51.38499651
2027-09-01,51.38499651
2027-10-01,38.80339355
2027-11-01,38.80339355
2027-12-01,38.80339355
2028-01-01,77.13944851
2028-02-01,77.13944851
2028-03-01,77.13944851
2028-04-01,69.95591109
2028-05-01,69.95591109
2028-06-01,69.95591109
2028-07-01,52.17234093
2028-08-01,52.17234093
2028-09-01,52.17234093
2028-10-01,40.26522167
2028-11-01,40.26522167
2028-12-01,40.26522167
2029-01-01,81.00256201
2029-02-01,81.00256201
2029-03-01,81.00256201
2029-04-01,71.13356069
2029-05-01,71.13356069
2029-06-01,71.13356069
2029-07-01,57.12448161
2029-08-01,57.12448161
2029-09-01,57.12448161
2029-10-01,42.36554301
2029-11-01,42.36554301
2029-12-01,42.36554301
2030-01-01,82.30244726
2030-02-01,82.30244726
2030-03-01,82.30244726
2030-04-01,66.43672
2030-05-01,66.43672
2030-06-01,66.43672
2030-07-01,47.5481333
2030-08-01,47.5481333
2030-09-01,47.5481333
2030-10-01,37.67148101
2030-11-01,37.67148101
2030-12-01,37.67148101
2031-01-01,80.36397074
2031-02-01,80.36397074
2031-03-01,80.36397074
2031-04-01,66.28362123
2031-05-01,66.28362123
2031-06-01,66.28362123
2031-07-01,47.76131081
2031-08-01,47.76131081
2031-09-01,47.76131081
2031-10-01,37.36849544
2031-11-01,37.36849544
2031-12-01,37.36849544
2032-01-01,81.27674639
2032-02-01,81.27674639
2032-03-01,81.27674639
2032-04-01,63.68810547
2032-05-01,63.68810547
2032-06-01,63.68810547
2032-07-01,45.90827809
2032-08-01,45.90827809
2032-09-01,45.90827809
2032-10-01,37.246217
2032-11-01,37.246217
2032-12-01,37.246217
2033-01-01,84.75924417
2033-02-01,84.75924417
2033-03-01,84.75924417
2033-04-01,64.74171498
2033-05-01,64.74171498
2033-06-01,64.74171498
2033-07-01,45.66034782
2033-08-01,45.66034782
2033-09-01,45.66034782
2033-10-01,38.50231754
2033-11-01,38.50231754
2033-12-01,38.50231754
2034-01-01,88.62507381
2034-02-01,88.62507381
2034-03-01,88.62507381
2034-04-01,66.37618728
2034-05-01,66.37618728
2034-06-01,66.37618728
2034-07-01,46.8983945
2034-08-01,46.8983945
2034-09-01,46.8983945
2034-10-01,38.88361863
2034-11-01,38.88361863
2034-12-01,38.88361863
2035-01-01,91.63280629
2035-02-01,91.63280629
2035-03-01,91.63280629
2035-04-01,67.64735203
2035-05-01,67.64735203
2035-06-01,67.64735203
2035-07-01,49.75989695
2035-08-01,49.75989695
2035-09-01,49.75989695
2035-10-01,39.02114054
2035-11-01,39.02114054
2035-12-01,39.02114054
2036-01-01,95.07595521
2036-02-01,95.07595521
2036-03-01,95.07595521
2036-04-01,71.57782494
2036-05-01,71.57782494
2036-06-01,71.57782494
2036-07-01,51.79027034
2036-08-01,51.79027034
2036-09-01,51.79027034
2036-10-01,40.54733854
2036-11-01,40.54733854
2036-12-01,40.54733854
2037-01-01,100.5066675
2037-02-01,100.5066675
2037-03-01,100.5066675
2037-04-01,73.48538783
2037-05-01,73.48538783
2037-06-01,73.48538783
2037-07-01,52.05454849
2037-08-01,52.05454849
2037-09-01,52.05454849
2037-10-01,38.86383997
2037-11-01,38.86383997
2037-12-01,38.86383997
2038-01-01,101.9140228
2038-02-01,101.9140228
2038-03-01,101.9140228
2038-04-01,74.49623147
2038-05-01,74.49623147
2038-06-01,74.49623147
2038-07-01,51.99324694
2038-08-01,51.99324694
2038-09-01,51.99324694
2038-10-01,37.77152869
2038-11-01,37.77152869
2038-12-01,37.77152869
2039-01-01,103.8158883
2039-02-01,103.8158883
2039-03-01,103.8158883
2039-04-01,75.58313793
2039-05-01,75.58313793
2039-06-01,75.58313793
2039-07-01,51.96779738
2039-08-01,51.96779738
2039-09-01,51.96779738
2039-10-01,38.32489584
2039-11-01,38.32489584
2039-12-01,38.32489584
2040-01-01,113.917954
2040-02-01,113.917954
2040-03-01,113.917954
2040-04-01,74.99054556
2040-05-01,74.99054556
2040-06-01,74.99054556
2040-07-01,47.62464153
2040-08-01,47.62464153
2040-09-01,47.62464153
2040-10-01,36.35861513
2040-11-01,36.35861513
2040-12-01,36.35861513
2041-01-01,132.0591729
2041-02-01,132.0591729
2041-03-01,132.0591729
2041-04-01,76.3537846
2041-05-01,76.3537846
2041-06-01,76.3537846
2041-07-01,40.24813003
2041-08-01,40.24813003
2041-09-01,40.24813003
2041-10-01,29.12095679
2041-11-01,29.12095679
2041-12-01,29.12095679
2042-01-01,131.9126565
2042-02-01,131.9126565
2042-03-01,131.9126565
2042-04-01,76.04435362
2042-05-01,76.04435362
2042-06-01,76.04435362
2042-07-01,39.5088827
2042-08-01,39.5088827
2042-09-01,39.5088827
2042-10-01,29.88220531
2042-11-01,29.88220531
