Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523,25.1523
2019-05-01,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213,9.68213
2019-06-01,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321,6.35321
2019-07-01,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081,4.42081
2019-08-01,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826,2.826
2019-09-01,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497,1.90497
2019-10-01,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772,1.40772
2019-11-01,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549,1.2549
2019-12-01,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341,1.21341
2020-01-01,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121,4.7121
2020-02-01,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773,2.84773
2020-03-01,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493,1.56493
2020-04-01,2.88533,1.10454,1.31581,1.0957,2.05786,1.03508,1.1171,1.46595,1.09882,1.29553,1.35351,1.03258,1.02773,1.55035,1.19639
2020-05-01,3.70339,1.1422,1.09107,2.0233,1.8527,1.16185,1.75397,1.6155,2.64996,2.35085,1.32311,1.92918,1.7224,1.58501,2.46225
2020-06-01,2.63545,1.01594,1.61479,1.06348,1.62714,1.12439,1.33122,1.00873,1.04575,1.77363,1.18221,1.38272,0.892038,1.34489,1.26673
2020-07-01,3.68117,0.635723,2.5834,0.776608,1.32237,0.812604,0.895826,0.69747,1.72453,1.86735,1.01048,1.05898,1.19263,0.787189,1.10999
2020-08-01,1.30906,0.522231,1.70654,0.913265,0.772651,0.569473,0.633198,0.570722,1.40662,0.885778,0.635729,0.844084,1.01668,0.619743,0.711149
2020-09-01,1.03671,0.45691,0.916522,1.12834,0.651023,0.560411,0.58368,0.497566,1.1112,0.735204,0.758053,0.615997,0.639809,0.535724,0.607092
2020-10-01,1.775,1.18632,1.29326,1.40598,0.7428,1.59731,0.654972,0.747054,2.23209,1.36032,2.07144,1.37748,1.37408,0.814178,1.20922
2020-11-01,4.88774,4.15967,3.81378,4.27484,2.68451,5.64396,2.70019,2.7923,5.69894,4.76873,6.32143,3.57647,4.3733,4.38347,4.94096
2020-12-01,5.58071,6.26252,4.20101,2.1594,6.60198,5.27066,3.10942,4.48364,4.0439,5.14139,5.81147,3.88901,4.94204,6.39517,6.39468
2021-01-01,5.05042,4.32687,4.23905,1.82659,8.82809,3.28446,4.2621,3.6676,2.81705,3.70408,3.68355,3.76488,4.07207,4.80927,4.31065
2021-02-01,2.52473,2.10104,2.23374,1.19605,3.52337,1.79524,2.52396,1.81325,1.58293,1.90488,1.83362,1.66145,2.01004,2.01823,2.51382
2021-03-01,1.7501,1.92381,1.28709,0.736224,1.78698,1.16804,1.39258,1.04906,1.05187,1.32151,1.31254,1.1152,1.2491,1.19359,1.48254
