Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943,26.9943
2019-05-01,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922,11.4922
2019-06-01,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779,9.96779
2019-07-01,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744,7.21744
2019-08-01,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007,8.63007
2019-09-01,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888,5.14888
2019-10-01,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921,3.43921
2019-11-01,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416,2.9416
2019-12-01,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447,2.15447
2020-01-01,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218,1.90218
2020-02-01,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603,1.53603
2020-03-01,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877,1.28877
2020-04-01,7.15027,1.36247,1.91958,1.13624,7.77257,0.965874,1.22826,2.95354,1.00522,1.65282,3.29991,0.964402,0.961894,3.17466,1.87088
2020-05-01,6.86214,2.14001,1.94476,6.26791,4.15879,2.13924,3.58719,2.63115,9.05364,6.33322,1.92271,5.17444,4.88758,3.19598,8.69391
2020-06-01,11.5105,4.52833,7.6206,5.78884,4.00334,4.77201,6.92462,2.35784,6.84399,10.4553,4.82781,6.14365,5.50014,8.22304,6.22636
2020-07-01,14.3258,5.39303,10.249,5.62708,8.30093,8.28846,4.1274,5.15371,7.75214,8.75088,8.78911,4.22217,6.30235,5.60138,8.56845
2020-08-01,7.34091,7.90739,7.55646,5.71145,9.08688,9.38852,4.87285,4.97909,6.52114,8.11209,10.6476,5.93007,4.88455,6.40785,7.10339
2020-09-01,6.22877,7.53102,4.8345,4.16835,8.57087,8.50086,3.75502,6.2174,7.58462,5.4936,6.71119,5.28221,7.8838,7.85929,5.75006
2020-10-01,6.85361,6.58686,4.79824,2.93246,9.15641,4.65436,3.76944,4.28178,3.8992,4.30126,6.57568,5.9779,5.12621,4.62617,6.10329
2020-11-01,3.98662,3.01835,4.60189,2.40341,5.42906,2.75385,2.73527,3.67375,2.30511,2.76783,4.19486,3.4667,3.5436,5.75754,3.82066
