Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292,8.27292
2019-05-01,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054,3.56054
2019-06-01,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135,3.16135
2019-07-01,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603,2.26603
2019-08-01,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471,2.72471
2019-09-01,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608,1.62608
2019-10-01,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279,1.05279
2019-11-01,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837,0.880837
2019-12-01,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983,0.639983
2020-01-01,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824,0.560824
2020-02-01,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205,0.444205
2020-03-01,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067,0.371067
2020-04-01,2.1787,0.384599,0.544857,0.323942,2.30401,0.277132,0.347579,0.848727,0.287789,0.467137,0.950737,0.276745,0.276045,0.937033,0.529329
2020-05-01,2.0412,0.613594,0.566969,1.82623,1.26225,0.599429,1.04107,0.790132,2.65124,1.87815,0.58818,1.50966,1.41667,0.946718,2.59294
2020-06-01,3.29436,1.32255,2.23778,1.7077,1.17074,1.40751,2.04995,0.693021,1.99182,3.06856,1.39269,1.83591,1.61124,2.37049,1.84443
2020-07-01,4.14449,1.56784,3.06312,1.62869,2.35024,2.40799,1.23673,1.44164,2.25323,2.55146,2.54276,1.26072,1.8644,1.63831,2.44512
2020-08-01,2.14533,2.32611,2.24857,1.68383,2.63719,2.73474,1.40607,1.49301,1.97046,2.36172,3.06898,1.72263,1.47242,1.84881,2.05808
2020-09-01,1.76961,2.2413,1.38807,1.26181,2.51059,2.56166,1.11715,1.83301,2.18912,1.60016,1.96028,1.54601,2.25278,2.31144,1.68345
2020-10-01,1.95038,1.95194,1.34996,0.83383,2.64278,1.40447,1.0806,1.2795,1.15102,1.25343,2.0012,1.74752,1.54028,1.37113,1.77754
2020-11-01,1.14149,0.88566,1.29183,0.664981,1.65278,0.771165,0.786262,1.06684,0.623877,0.779329,1.22532,1.014,1.02646,1.65535,1.11616
2020-12-01,0.612302,0.740046,0.570643,0.46912,0.752173,0.477292,1.44846,0.500739,0.422827,0.459816,0.597603,0.542794,1.01558,0.642697,0.733486
2021-01-01,0.430249,0.415584,0.38806,0.314695,0.532258,0.374175,0.549145,0.368434,0.385387,0.363832,0.430955,0.45311,0.516506,0.53228,0.475829
2021-02-01,0.396433,0.595904,0.334252,0.301739,0.509383,0.319563,0.625756,0.324336,0.306257,0.332441,0.416687,0.372087,0.426091,0.397111,0.401305
2021-03-01,0.453147,0.893224,0.251044,0.221229,0.349138,0.270989,0.352576,0.231279,0.253967,0.282808,0.351819,0.316424,0.345318,0.280117,0.304831
2021-04-01,0.646694,0.398237,0.44304,0.753025,0.291273,0.535625,0.308275,0.212748,0.297924,0.411898,2.03958,0.640613,0.362094,1.0542,0.277088
2021-05-01,2.21704,1.2691,0.998783,3.15119,0.714266,1.11934,1.20301,0.856564,2.79644,2.77003,2.5213,0.553663,0.619075,0.748843,0.662672
2021-06-01,2.9209,0.999182,1.75934,1.73108,1.4412,1.15152,1.4586,2.31306,1.70476,2.19496,2.33148,1.50227,2.58966,2.17929,1.38698
2021-07-01,2.46206,1.37517,1.18925,2.20754,1.30606,1.02393,1.73622,1.87872,3.46595,1.53352,3.2057,1.50137,2.48769,2.27107,2.21674
2021-08-01,1.83729,1.30913,1.68729,2.02658,1.63125,1.13761,1.69789,2.03496,1.53385,1.75618,2.64548,1.19314,2.65893,2.28283,2.80074
2021-09-01,1.60096,1.1927,2.1219,1.66946,1.69557,2.71223,1.56924,1.70323,1.28466,1.74142,3.56314,1.12106,2.5865,1.85402,2.26613
2021-10-01,1.34058,0.626101,1.89304,1.23911,2.05344,3.07178,1.30728,1.57328,1.32394,1.3811,2.37326,0.894564,1.84974,1.61453,1.13095
2021-11-01,1.02948,0.411497,1.24074,0.669155,1.1474,1.90811,0.702396,1.03683,0.769811,1.00033,1.53336,0.672168,1.20405,0.913245,1.21056
2021-12-01,0.55096,0.54543,0.585887,0.429749,1.40251,0.740087,0.42127,0.498081,0.492488,0.653655,1.53416,0.926068,1.33072,0.502927,1.29143
2022-01-01,0.408244,0.29223,0.47494,0.371242,0.538221,0.497592,0.316253,0.358411,0.378114,0.391861,0.704973,0.415479,0.560615,0.378155,0.543324
2022-02-01,0.369198,0.248122,0.373455,0.308397,0.436454,0.419606,0.344337,0.322666,0.32951,0.329615,0.526906,0.320012,0.443159,0.3375,0.424405
2022-03-01,0.261641,0.219446,0.287426,0.270808,0.427897,0.313528,0.225407,0.456508,0.254546,0.330033,0.369404,0.224109,0.368345,0.383072,0.296214
2022-04-01,0.338254,1.03664,0.868171,0.343226,0.335318,0.487353,0.281005,1.04934,0.469958,0.809618,0.462307,0.296604,0.416528,0.288288,1.64478
2022-05-01,0.548522,2.44566,1.98588,1.14917,2.84601,0.445146,0.773413,0.905369,0.455694,0.652337,0.902916,1.65238,2.37983,0.502143,3.64369
2022-06-01,2.93725,2.29814,1.87392,1.73047,2.53955,0.655698,1.30755,2.19475,0.516431,2.54348,1.61045,1.45499,2.41507,1.95172,1.94617
2022-07-01,1.87157,2.09031,3.23751,1.67629,1.75205,1.66957,1.93974,1.94374,2.6657,1.58352,1.92485,1.036,2.6366,2.08544,1.58501
2022-08-01,1.66953,1.86002,2.02581,1.45628,1.76753,2.24985,2.1246,1.54125,2.53987,1.85709,1.54341,1.27507,2.50948,2.50265,1.81946
2022-09-01,1.65052,1.46926,1.64064,1.28808,1.47562,2.02868,1.96085,1.34764,1.50904,1.42443,1.11133,1.27955,2.36231,2.85369,2.26577
2022-10-01,1.8111,0.96984,1.09146,0.729913,1.18532,1.891,1.23473,0.884222,1.71691,1.11858,0.929533,0.855544,1.12957,1.88863,1.41344
2022-11-01,0.94392,0.596817,0.749352,0.50777,0.811856,1.01195,0.747542,0.601335,1.71109,1.13038,0.797172,1.26797,0.668318,1.06666,0.97255
