Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Caudal_Remanente_mensual,segundosdelmes_recorder
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-04,0.033333,340.37813172170826,755.8837299646351,982.3106584828265,504.0498839994818,5683.035272790844,36.757549622718926,427.4005227029988,177.54118228391428,3.455212689363712,83494.35246800147,0.0,0.0,-1.1641532182693481e-10,1222389.646264229,0.0,0.0,20168.8148269544,0.0,1.574074074074074e-05
1980-05,0.032258,1482.702826068912,1363.8742847957521,1772.4263582815722,817.34220288,11878.626624916616,141.1593798816,9723.24149164867,2201.0856717345696,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,23178838.4056,1.574074074074074e-05
1980-06,0.033333,1467.0241079487007,1358.013749704415,1764.8102847289606,817.34220288,11581.956912637874,141.1593798816,6492.663584795608,1412.0076986376462,724.9426099464442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,14190011.169873653,1.574074074074074e-05
1980-07,0.032258,1470.9514122510286,1152.321949371833,1497.5029730096435,783.1995457454345,12116.63152074167,141.1593798816,10655.990856,2201.1206018354756,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,29190083.348393485,1.574074074074074e-05
1980-08,0.032258,1170.7354761550985,1182.4697564405967,1536.6816337474743,798.5987370757751,9774.703318625687,141.1593798816,10655.990856,2201.0183799225306,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22860976.33095,1.574074074074074e-05
1980-09,0.033333,1040.765248993358,1079.408206055404,1402.7477290874594,722.3367082185991,8683.452537040279,211.73906982239993,9527.74996011949,1967.8511612682332,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,19634804.010634296,1.574074074074074e-05
1980-10,0.032258,1110.772613466791,1115.322890085911,1449.4207497130797,673.1622841422153,8351.415225160123,369.499536,6786.295897479644,1401.4106639401255,563.0152340069766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,10754842.880452832,1.574074074074074e-05
1980-11,0.033333,1802.965287259349,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990856,2200.609549485857,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,18910005.21249431,1.574074074074074e-05
1980-12,0.032258,1925.8433698700567,1600.1538336000008,2079.484057728,817.34220288,12385.390940462003,369.499536,9330.805377206423,1926.6537481778792,762.2851407079567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,14535863.572655555,1.574074074074074e-05
1981-01,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,10563.455710831313,369.499536,6802.444552650164,1404.2355827576741,470.97942115643406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,8794661.559401138,1.574074074074074e-05
1981-02,0.035714,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,6944.21446125465,369.499536,3742.044581036837,772.1159276598008,149.70669958948824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069204,2511618.713676883,1.574074074074074e-05
1981-03,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,4834.8877656883005,369.499536,2768.736191269644,571.2500116589101,131.3128241102015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,2295395.2942437637,1.574074074074074e-05
1981-04,0.033333,1997.7031292933925,1600.1538335999999,2079.484057728,817.34220288,5786.298829407313,282.3187597632,4684.314751493088,967.2347878773509,414.5253352783889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,7974620.540074478,1.574074074074074e-05
1981-05,0.032258,1966.4386944912026,1600.1538335999999,2079.484057728,817.34220288,12385.390940462004,141.1593798816,10655.990855999997,2201.085671734569,850.4752031999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,51047717.391051725,1.574074074074074e-05
1981-06,0.033333,1814.551317362731,1485.8571312,1930.9494821760002,817.34220288,10237.00148308012,141.1593798816,10655.990856,2201.1706011818983,850.4752031999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,24225529.92480518,1.574074074074074e-05
1981-07,0.032258,1848.3691351332027,1390.4765330471994,1806.9973788778561,817.34220288,9598.649490556365,141.1593798816,10226.719780254512,2112.4407410511444,850.4752031999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,21887537.518368356,1.574074074074074e-05
1981-08,0.032258,1710.1393859209652,1283.4605305900793,1667.9244557885186,817.34220288,8178.640012761343,141.1593798816,9324.463447598682,1925.948215918379,850.4752032000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,19838046.647605993,1.574074074074074e-05
1981-09,0.033333,1173.0070653628811,1243.3554270770987,1615.8057646742088,783.6510116897667,7702.417678020721,211.73906982239993,8270.363195395717,1708.097151394354,850.4752031999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,16780193.770886406,1.574074074074074e-05
1981-10,0.032258,1039.9863947437545,1194.4782114616758,1552.2872525635712,719.5032017791586,7063.598164021232,369.499536,5678.759203151734,1172.6130453352114,435.43533856867447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,8240433.092451338,1.574074074074074e-05
