Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,CostosTotales,IngresosTotales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04,0.033333,116.51405546139367,484.6633340222599,629.8454906658231,291.16890486634,1490.6095939165562,282.3187597632,809.2973805515995,293.8228549415999,9.897076385280002,760.3,1000.0,63.47134386,0.0,-4201469365.844254,-160.4196666,197290.97642000148,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,1.7462298274040222e-10,22697.6286925544,0.0,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-05,0.032258,242.73030190786386,892.3750516267204,1159.6883089653252,579.3115858909613,3254.0583626956773,141.1593798816,479.0675183095797,120.79384036488008,4.948538192640001,760.3,1000.0,63.47134386,0.0,3934214647.812347,-223.644935,0.0,0.0,0.0,5.238689482212067e-10,-2.3283064365386963e-10,0.0,-7.275957614183426e-10,1271.4514235805327,219988.60511255593,0.0,1.574074074074074e-05,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9999,1.0,0.0,0.0
2020-06,0.033333,399.6579460438393,952.0743430540073,1237.270677718837,671.9671666220955,3773.3383768686776,141.1593798816,512.9980273357946,120.79384036488007,4.948538192640001,760.3,1000.0,63.47134386,0.0,4421448679.260481,-261.9493207,0.0,0.0,0.0,-1.1059455573558807e-09,0.0,0.0,-6.111804395914078e-10,1637.4543462771999,1271.4514235800962,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-07,0.032258,430.49731554740583,963.8137315650409,1252.5266304551112,681.7505450107527,3781.1027281322695,141.1593798816,546.1965437947433,120.79384036488008,4.948538192640001,760.3,1000.0,61.46255363,0.0,4419566542.164056,-243.15980530000002,0.0,0.0,0.0,5.820766091346741e-11,-2.3283064365386963e-10,0.0,-2.6193447411060333e-10,1271.4514235805327,1637.4543462754827,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-08,0.032258,467.19777472900955,820.6373466986126,1066.4613887757966,603.2502990309024,2859.8073458937015,141.1593798816,1232.0115679226326,261.1171326502253,83.19424313695774,760.3,1000.0,61.46255363,0.0,4421448679.260485,-409.1212833,0.0,0.0,0.0,5.820766091346741e-10,-2.3283064365386963e-10,0.0,2.0372681319713593e-10,1271.4514235805327,1271.4514235800962,1542106.346028592,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-09,0.033333,370.20126797342147,625.719521110907,813.1554238332013,454.08630000631047,2266.068256873621,211.73906982240004,3055.764335342215,630.8526616448347,258.1588886975315,760.3,1000.0,61.46255363,0.0,4421448679.260479,-302.2294818,9714.408315001085,0.0,0.0,5.820766091346741e-10,0.0,-5.820766091346741e-11,-4.656612873077393e-10,2456.1815194158007,1271.4514235810857,4941634.848758294,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-10,0.032258,315.9943256517995,730.2923060727496,949.0532573003362,488.75760024989586,3127.8766722569253,369.499536,2049.0477414023435,422.77844127707993,17.319883674240003,760.3,1000.0,58.52017092,0.0,4391410127.105397,-272.62041039999997,225828.13590609047,0.0,0.0,9.313225746154785e-10,-9.313225746154785e-10,0.0,-9.313225746154785e-10,4450.079982531875,12170.589834416944,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-11,0.033333,241.0185622497351,891.7513170017091,1158.8777330183577,531.893838791878,4918.592205047429,369.499536,2634.7990743886467,543.5722816419601,22.26842186688,760.3,1000.0,58.52017092,0.0,4131581373.4491816,-376.8622297,376570.67134500324,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,230278.2158886214,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-12,0.032258,172.1608001197557,865.5604574738301,1124.841333702995,486.0492320256598,4613.298012381787,369.499536,2928.109059651813,603.9692018243999,24.742690963200005,760.3,1000.0,58.52017092,0.0,4055746815.9219933,-358.5541007,437592.5946087007,0.0,7.275957614183426e-12,0.0,4.656612873077393e-10,0.0,0.0,6357.257117902671,383939.2159032506,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2021-01,0.032258,142.34419965684955,854.2193445504216,1110.1029610378728,470.5724566455218,3235.69922798058,369.499536,2893.5978176507174,603.9692018243999,24.742690963200005,760.3,1000.0,60.86432238,0.0,4028270698.34466,-312.97380669999995,445885.6122087007,0.0,7.275957614183426e-12,0.0,0.0,0.0,0.0,6357.257117902671,443949.85172660387,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-02,0.035714,129.89304443236244,849.4833901647407,1103.9483392531697,464.65963090440573,2116.2458483429514,369.499536,2549.402068207976,543.5722816419601,22.26842186688,760.3,1000.0,60.86432238,0.0,4020819402.422747,-291.6486341,446890.2241320807,0.0,0.0,0.0,-4.656612873077393e-10,0.0,0.0,11016.487177069204,452242.86932660337,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-03,0.032258,105.01112183979048,589.448026101061,766.0187085754918,326.77911776169515,1553.7530691661061,369.499536,1656.0408829688697,362.38152109464,14.845614577920001,760.3,1000.0,60.86432238,0.0,4012827705.379031,-186.4100519,261957.80700522038,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741431,457906.7113091494,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-04,0.033333,115.94308926749557,399.329628593683,518.9498528218302,238.33046720686974,1219.1360216840064,282.3187597632,6705.8483933826465,1501.9724824197565,712.7005504428598,760.3,1000.0,59.93978620000001,0.0,4029165830.96583,-388.274657,161702.98922000147,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925542906,265772.1612759618,13851210.084009103,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-05,0.032258,330.7927612455108,925.8981557730463,1203.2533457599475,634.4811509447364,4417.297800128195,141.15937988160002,479.06751830957927,120.79384036488001,4.948538192640001,760.3,1000.0,59.93978620000001,0.0,4068054411.9550323,-267.4061172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235804781,164977.89791255575,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-06,0.033333,353.8601796260986,689.4847610470392,896.0217064993304,497.81657216678934,2709.5206010386764,141.15937988159993,8020.126822356094,1841.4108017683945,850.4752032000002,760.3,1000.0,59.93978620000001,0.0,4421448679.260485,-534.6117349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771453,1271.4514235804781,18909008.56195132,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-07,0.032258,325.7830260253392,915.8221169629111,1190.1590034343817,582.6787690466306,2890.906999511849,141.15937988160002,478.92927736048676,120.79384036488001,4.948538192640001,760.3,1000.0,56.03426325,0.0,4419566542.164043,-208.2288071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235804781,1637.4543462771453,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-08,0.032258,358.5528935029644,693.1002592655917,900.7202365708482,489.86300943418513,2592.1633122725702,141.15937988160002,513.654102281129,120.79384036488001,4.948538192640001,760.3,1000.0,56.03426325,0.0,4421448679.260485,-196.4020958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235804781,1271.4514235804781,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-09,0.033333,366.9842530634609,625.2059613742256,812.4880259476386,453.27129993499904,2415.964550399215,211.73906982239993,807.4687622708728,181.19076054732,7.4228072889600005,760.3,1000.0,56.03426325,0.0,4421448679.260485,-195.306461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.18151941595,1271.4514235804781,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
2021-10,0.032258,355.5754992151793,731.9378099883256,951.1916761745208,503.966788131899,2664.140886785466,369.499536,1930.7408862045916,422.7784412770801,17.319883674240003,760.3,1000.0,52.46850527,0.0,4419566542.164042,-255.28980950000002,214797.44790609047,0.0,0.0,0.0,0.0,0.0,0.0,4450.0799825319045,2456.18151941595,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.9433962264150942,0.0,0.0
