Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,CostosTotales,IngresosTotales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04,0.033333,118.7256824930951,845.1950102413639,1098.3753640198574,476.64324636002317,2416.933393632979,282.3187597632,809.2973805515995,293.8228549415999,9.897076385280002,760.3,1000.0,63.47134386,0.0,-4201469365.844254,-162.5664429,150215.33162000147,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,-5.820766091346741e-11,3274.9086925543997,0.0,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-05,0.032258,105.4814863566258,612.2549599711159,795.6575185402413,354.80859314193106,1713.935044203929,141.1593798816,488.9152570918194,120.79384036488001,4.948538192640001,760.3,1000.0,63.47134386,0.0,4093026436.36575,-119.251295,46478.017801740134,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,1271.4514235805327,153490.2403125557,0.0,1.574074074074074e-05,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9999,1.0,0.0,0.0
2020-06,0.033333,268.6169246514396,881.3506613741718,1145.3615340672075,583.9215433658809,3039.328744367472,141.1593798816,498.3010923459817,120.79384036487996,4.948538192640001,760.3,1000.0,63.47134386,0.0,4212645634.8145556,-215.8245351,0.0,0.0,0.0,-5.820766091346741e-11,0.0,0.0,0.0,1637.4543462771999,47749.469225320725,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-07,0.032258,430.3320354728154,963.7508683787205,1252.444936438557,686.8793673338248,4449.394060773515,141.1593798816,526.4720795090086,120.79384036488001,4.948538192640001,760.3,1000.0,61.46255363,0.0,4419566542.164043,-276.1837805,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,1271.4514235805327,1637.4543462771417,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-08,0.032258,417.57563191486724,958.9036844834086,1246.145766056607,672.1929667090382,3601.6939289789325,141.1593798816,560.6611050068776,120.79384036488001,4.948538192640001,760.3,1000.0,61.46255363,0.0,4421448679.260484,-285.4507814,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,-2.9103830456733704e-11,1271.4514235805327,1271.451423580591,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-09,0.033333,353.4961659301801,718.7846653593625,934.0984730145572,495.955144331224,2349.02570012307,211.73906982239993,2009.1687501607103,418.4747712456161,139.73480187463858,760.3,1000.0,61.46255363,0.0,4421448679.260484,-314.2256387,28038.98431500107,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,0.0,2456.1815194158007,1271.4514235805618,2607672.416671008,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-10,0.032258,341.27796105432725,759.9905990403618,987.6477508240899,512.6182564681368,2911.9208823352214,369.499536,2049.047741402343,422.77844127707993,17.319883674240003,760.3,1000.0,58.52017092,0.0,4338297847.808586,-272.44610589999996,217487.94390609046,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,4450.079982531875,30495.165834416755,1.1641532182693481e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-11,0.033333,342.4799329665641,930.3434080725652,1209.0301848958647,598.3210883701565,4269.47562957482,369.499536,2634.7759113344246,543.5722816419601,22.26842186688,760.3,1000.0,58.52017092,0.0,4142286633.7804027,-367.69275730000004,332290.5849450032,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,221938.02388862256,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-12,0.032258,210.42320325615444,880.1140470849261,1143.7544887656572,510.3229332141911,4421.342396958212,369.499536,2928.109059651812,603.9692018243996,24.742690963200005,760.3,1000.0,58.52017092,0.0,4098527547.7683744,-371.5410539,428017.1418087007,0.0,7.275957614183426e-12,0.0,0.0,0.0,0.0,6357.257117902671,339659.1295032506,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
