Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04,0.033333,118.7256824930951,845.1950102413639,1098.3753640198574,476.64324636002317,2539.140264400987,282.3187597632,809.2973805515995,293.82285494159987,9.897076385280002,760.3,1000.0,63.47134386,-4201469365.844254,-162.5664429,128790.25264228332,0.0,0.0,-1.1641532182693481e-10,2.3283064365386963e-10,5.820766091346741e-11,0.0,2188.0078800631345,0.0,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,-28514672426.9499
2020-05,0.032258,105.4814863566258,592.0283794993953,769.372013515598,344.47706282756616,1671.8928868577698,141.1593798816,490.1916779518062,120.79384036488001,4.948538192640001,760.3,1000.0,63.47134386,4108333900.234043,-119.251295,36110.96116622529,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,745.5274682008312,130978.26052234662,0.0,1.574074074074074e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.09722218770850562,8292394961.317631
2020-06,0.033333,268.6169246514396,858.8518836954051,1116.1231892787546,572.4293979708982,2992.563689216926,141.1593798816,499.0630078601367,120.79384036487994,4.948538192640001,760.3,1000.0,63.47134386,4242391221.9517164,-215.8245351,0.0,0.0,0.0,-5.820766091346741e-11,1.1641532182693481e-10,2.9103830456733704e-11,0.0,1094.0039400315673,36856.488634426176,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,9617108120.96542
2020-07,0.032258,430.3320354728154,963.7508683787205,1252.444936438557,686.8793673338246,4418.566097022471,141.1593798816,526.7011521297047,120.79384036488001,4.948538192640001,760.3,1000.0,61.46255363,4422407081.099504,-276.1837805,1.4551915228366852e-11,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,745.5274682008312,1094.0039400316546,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11426976084.166988
2020-08,0.032258,417.57563191486724,958.9036844834087,1246.1457660566075,672.1929667090382,3601.6939289789325,141.1593798816,560.661650925581,120.79384036487996,4.948538192640001,760.3,1000.0,61.46255363,4424383879.345291,-285.4507814,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,745.5274682008312,745.527468200904,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11433470622.18599
2020-09,0.033333,353.4961659301801,718.7846653593625,934.0984730145572,495.955144331224,2349.02570012307,211.7390698223999,2009.2834895133135,418.4983710076598,139.74796134365866,760.3,1000.0,61.46255363,4424383879.345291,-314.2256387,11970.175081712441,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,0.0,1641.00591004735,745.5274682008894,2607931.7702125297,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11433470622.18599
2020-10,0.032258,341.27796105432725,759.9905990403618,987.6477508240899,512.6182564681368,2911.9208823352214,369.499536,2049.047741402343,422.7784412770801,17.319883674240003,760.3,1000.0,58.52017092,4383485802.650771,-272.44610589999996,181203.24568178842,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,2609.3461387029165,13611.180991759675,1.3969838619232178e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11038525518.708399
2020-11,0.033333,342.4799329665641,930.3434080725652,1209.0301848958647,598.3210883701565,4269.47562957482,369.499536,2634.7759113344246,543.5722816419601,22.26842186688,760.3,1000.0,58.52017092,4163460649.1923237,-367.69275730000004,284084.15724513726,0.0,0.0,0.0,0.0,0.0,0.0,4923.017730142048,183812.59182049157,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,8829348138.704268
2020-12,0.032258,210.42320325615444,880.1140470849261,1143.7544887656572,510.3229332141911,4428.468974299481,369.499536,2928.109059651814,603.9692018243999,24.742690963200005,760.3,1000.0,58.52017092,4114505191.2904882,-371.5410539,376181.8586311264,0.0,0.0,0.0,0.0,0.0,0.0,3727.637341004156,289007.1749752793,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,8353987015.742139
