Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,ProduccionBase_recorder,dolar_recorder,mil_recorder,BeneficiosTotales,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,BeneficioMgHe_recorder
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04,0.033333,1547.7209681197626,1388.24131218974,1804.092591824894,817.34220288,11878.62662491662,168.0625501387854,8637.226647071886,2677.3059599999997,850.4752032,-991.8204447999999,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7834979593753815e-09,3274.9086925542906,0.0,32903629.485931896,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,61.30931565
2019-05,0.032258,267.1862558755779,901.6744218284881,1171.7733295898615,655.1713537010476,12385.390940462003,141.15937988159996,10655.990856,2201.0856717345696,850.4752032000002,-942.8983532999999,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,3274.908692550507,31225765.627526246,1.574074074074074e-05,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9999,1.0,61.30931565
2019-06,0.033333,291.2026564414186,910.8267585973907,1183.6672725360047,659.8462736613146,5365.644452231933,141.15937988159996,6622.088016525564,1367.8371612316994,700.3126659021609,-574.7470737000001,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,1271.4514235805327,13704591.64377893,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,61.30931565
2019-07,0.032258,296.3665248329844,912.7979699323123,1186.228965330353,660.8531482386181,4529.401023081886,141.15937988159996,5470.313812059768,1129.8508510596942,567.6090619371168,-480.4693853999999,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1637.4543462771999,11089201.189299792,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,59.84890967
2019-08,0.032258,394.6459438431288,950.1822746067766,1234.8118352691115,679.9486684905803,4230.439401159109,141.15937988159996,5622.814140948493,1161.2525172480646,585.1189526139891,-483.8820359,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1271.4514235805327,11434295.064424148,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,59.84890967
2019-09,0.033333,273.64172146054847,904.1591438483925,1175.002356524511,626.3000575235492,3358.880772724132,211.73906982239993,3635.181745380558,750.5501166130852,324.903415507708,-375.3415265,760.3,1000.0,0.0,7474.920315001073,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,1271.4514235805327,6257070.097630997,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,59.84890967
2019-10,0.032258,215.98764132174716,882.2303261132173,1146.5047046565476,564.3216574810947,3674.5438832797677,369.499536,2049.0477414023444,422.7784412770803,17.319883674240003,-301.3617784,760.3,1000.0,0.0,243163.43190609047,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,9931.101834416873,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,58.75401709
2019-11,0.033333,201.05433418655866,729.9673823185932,948.6310017942983,469.4654357634456,2988.965500148196,369.499536,2634.799074388646,543.5722816419599,22.26842186688,-347.8884584,760.3,1000.0,0.0,367800.3801450032,0.0,0.0,0.0,0.0,0.0,0.0,7368.544558247406,247613.51188862234,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,58.75401709
2019-12,0.032258,157.0439481155532,859.8105713650939,1117.3690543222256,511.36572564136543,2697.7642419091603,369.499536,2880.307653047342,603.9692018244003,24.742690963200005,-258.0241838,760.3,1000.0,0.0,422026.1658087007,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,375168.92470325064,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,58.75401709
