Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,CostosTotales,IngresosTotales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04,0.033333,139.99028591825515,853.2759775955477,1108.8770060690092,494.33422913078783,2873.4737136605654,282.3187597632,809.2973805515995,293.8228549415999,9.897076385280002,760.3,1000.0,63.47134386,0.0,-4201469365.844254,-183.4056889,116331.32522000147,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,-5.820766091346741e-11,3274.9086925543997,0.0,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-05,0.032258,134.52834845388765,776.5282691013709,1009.1393227728097,457.17019159594645,2248.2364463547947,141.1593798816,495.21433815827754,120.79384036488001,4.948538192640001,760.3,1000.0,63.47134386,0.0,4166683944.660015,-156.2254036,13667.704201740125,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,1271.4514235805327,119606.23391255569,0.0,1.574074074074074e-05,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9999,1.0,0.0,0.0
2020-06,0.033333,319.5269833063065,884.3206178911976,1149.2211487490072,599.5484230518839,3126.2710943238717,141.1593798816,510.8254599352771,120.79384036487996,4.948538192640001,760.3,1000.0,63.47134386,0.0,4360046356.552073,-225.13964840000003,0.0,0.0,0.0,-5.820766091346741e-11,0.0,0.0,0.0,1637.4543462771999,14939.155625320716,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-07,0.032258,284.9391606455643,566.8164910889228,736.6078386507075,409.31042804323766,2164.0427153941796,141.1593798816,538.0535997739956,120.79384036488001,4.948538192640001,760.3,1000.0,61.46255363,0.0,4419566542.164043,-160.66130869999998,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,1271.4514235805327,1637.4543462771417,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-08,0.032258,366.499066844422,555.9603102559782,722.4996607393807,431.84869085188853,2288.0094084744323,141.1593798816,552.7888664528894,120.79384036488001,4.948538192640001,760.3,1000.0,61.46255363,0.0,4421448679.260484,-167.63469809999998,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,-2.9103830456733704e-11,1271.4514235805327,1271.451423580591,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-09,0.033333,435.74406513417404,624.3340613750905,811.3549460461547,510.25201630188633,2776.5921177700725,211.73906982239993,850.7159393005347,181.19076054732,7.4228072889600005,760.3,1000.0,61.46255363,0.0,4421448679.260484,-257.2873702,0.0,0.0,0.0,1.1641532182693481e-10,0.0,0.0,0.0,2456.1815194158007,1271.4514235805618,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-10,0.032258,322.0207495642988,590.4337269640097,767.299678684209,426.83060266971114,2307.031669174826,369.499536,2029.6876987885767,422.77844127707993,17.319883674240003,760.3,1000.0,58.52017092,0.0,4419566542.1640415,-246.38918399999997,215658.85590609047,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,4450.079982531875,2456.181519415917,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-11,0.033333,300.02110209898837,914.1936650124532,1188.042744485619,572.3473153996348,4798.713796461448,369.499536,2597.8483279458815,543.5722816419601,22.26842186688,760.3,1000.0,58.52017092,0.0,4144634405.0557775,-377.7701007,300882.45694500324,0.0,0.0,-2.3283064365386963e-10,0.0,2.3283064365386963e-10,0.0,7368.5445582473985,220108.93588862257,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
2020-12,0.032258,195.0444206397667,874.2645323505982,1136.1527367465317,501.74823508483433,5147.33547999499,369.499536,2893.246005681926,603.9692018244,24.742690963200005,760.3,1000.0,58.52017092,0.0,4128872174.687731,-379.9539792,421791.6762087007,0.0,-7.275957614183426e-12,0.0,4.656612873077393e-10,0.0,-2.3283064365386963e-10,6357.257117902671,308251.0015032506,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,1.0,0.0,0.0
