Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,dolar_recorder,mil_recorder,BeneficioMgHe_recorder,BeneficiosTotales_Bases,ProduccionBase_recorder,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04,0.033333,92.82678806429053,835.3529211976996,1085.5850517190743,457.4003837328614,2209.700017402433,282.3187597632,809.2973805515995,293.82285494159987,9.897076385280002,760.3,1000.0,63.47134386,-4201469365.844254,-141.3000231,147877.30864228331,0.0,0.0,-1.1641532182693481e-10,2.3283064365386963e-10,5.820766091346741e-11,0.0,2188.0078800631345,0.0,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,-28514672426.9499
2020-05,0.032258,215.81357308939272,882.1399724213039,1146.387285282269,557.0751101431082,3159.658918122955,141.1593798816,484.7473557685577,120.79384036488001,4.948538192640001,760.3,1000.0,63.47134386,4061787424.3300967,-209.4878733,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,745.5274682008312,150065.31652234663,0.0,1.574074074074074e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.09722218770850562,7827841750.17869
2020-06,0.033333,230.32656599764866,651.2839287853972,846.3777160204227,437.9603560557236,2286.957033573825,141.1593798816,5603.716072107699,1315.8320646657821,671.3140914301275,760.3,1000.0,63.47134386,4424383879.345291,-476.4043204,0.0,0.0,0.0,-1.280568540096283e-09,1.1641532182693481e-10,0.0,0.0,1094.0039400315673,745.5274682008894,13133072.916317416,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11433470622.18599
2020-07,0.032258,268.5994723018419,565.0725139048028,734.3414485854099,398.9374797649017,2109.1701520133975,141.15937988159996,478.92927736048676,120.79384036487996,4.948538192640001,760.3,1000.0,61.46255363,4422407081.099518,-174.0330604,0.0,0.0,0.0,-1.7462298274040222e-10,0.0,0.0,0.0,745.5274682008312,1094.003940030403,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11426976084.167007
2020-08,0.032258,285.23021826881705,574.9453735136262,747.1717488538198,424.55410629647105,2280.5580251834663,141.1593798816,503.8787711955962,120.79384036487996,4.948538192640001,760.3,1000.0,61.46255363,4424383879.345294,-169.4046926,0.0,0.0,0.0,5.820766091346741e-11,0.0,0.0,0.0,745.5274682008312,745.5274682006566,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11433470622.18599
2020-09,0.033333,253.92514351906092,594.9190430344346,773.1285827973439,406.74107525515365,2164.9539513412315,211.7390698223999,788.835269763456,181.19076054732,7.4228072889600005,760.3,1000.0,61.46255363,4424383879.345291,-179.5346496,22879.039081712443,0.0,0.0,1.1641532182693481e-10,0.0,0.0,0.0,1641.00591004735,745.5274682008894,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,11433470622.18599
2020-10,0.032258,196.63477230929817,625.5209096557695,812.8973178024136,384.7810708055448,1980.8901959808554,369.499536,1876.6977533508007,422.7784412770801,17.319883674240003,760.3,1000.0,58.52017092,4348015399.719733,-215.93632180000003,225796.8776817884,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,2609.3461387029165,24520.04499175991,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,10684516127.836172
2020-11,0.033333,187.27767609713374,871.3103042499896,1132.3135619690127,503.0816504165695,3854.334867030897,369.499536,2357.388792910567,543.57228164196,22.26842186688,760.3,1000.0,58.52017092,4099248143.1640053,-328.38664950000003,338243.91084513726,0.0,0.0,6.984919309616089e-10,0.0,2.3283064365386963e-10,0.0,4923.017730142048,228406.22382049155,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,8188480590.916292
2020-12,0.032258,135.77848784022746,851.7219842307502,1106.8575099680368,470.2036911858263,2186.7065800007726,369.499536,2567.707318976107,603.9692018244,24.742690963200005,760.3,1000.0,58.52017092,4055804661.677211,-268.7252645,425485.4138311264,0.0,0.0,-4.656612873077393e-10,0.0,0.0,2.3283064365386963e-10,52284.43734100416,343166.92857528024,-2.3283064365386963e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09722218770850562,7768131287.723593
2021-01,0.032258,110.39067338524787,756.7707205286522,983.4633493669768,412.7711747336109,1940.9071764531109,369.499536,852.8237065276013,214.45773199559997,0.0,760.3,1000.0,60.86432238,3934214647.812347,-181.97007050000002,425485.4138311264,97369.02715790029,62864.862020327535,1651845.165779894,2089864.2049808917,0.0,0.0,52284.43734100416,477769.8511721303,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,6951752759.127299
2021-02,0.035714,106.23215032108682,557.1456686139138,724.0400962626807,310.15398101935125,1489.8502591211832,360.6206988441456,718.6192752489573,180.65275970113356,0.0,760.3,1000.0,60.86432238,-1774553679.3396564,-159.14850019999997,423963.2792674177,97020.6985034883,62639.968813149586,1645935.8430651876,2140221.556037267,0.0,0.0,52097.394620775005,4379713.111111145,0.0,1.574074074074074e-05,1.0,0.0,0.0,1.0,1.0,1.0,0.9999,0.09171904500802415,-5444369659.046918
2021-03,0.032258,79.77263450715773,353.31836688930457,459.1557985370947,199.08715318247022,972.882552400237,195.83425075587164,512.1069138087046,128.67463919736,0.0,760.3,1000.0,60.86432238,-1823969357.6008158,-94.46346054,255291.2482986758,58421.41629474017,37718.917212196524,991107.0994679363,1113274.909548535,0.0,0.0,31370.662404602495,4421878.7403072845,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,-5627223270.070708
2021-04,0.033333,137.0858439792246,495.6209142388961,644.0854424087797,308.1193917194452,1591.0891407369918,282.3187597632002,957.9480578741798,241.5876807297599,9.897076385280002,760.3,1000.0,59.93978620000001,-1574983099.8633304,-155.5901876,175865.8974422833,0.0,0.0,0.0,0.0,0.0,0.0,21610.727880063136,2487184.2532266863,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,-4705895506.805254
2021-05,0.032258,326.1000473067181,924.113222270566,1200.9337308050767,640.4779128451524,3525.5247817714885,141.15937988159988,3781.9325722758977,955.3469186718471,470.30388199965444,760.3,1000.0,59.93978620000001,3934214647.812346,-385.9957586,1.4551915228366852e-11,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,197476.62532234646,9171460.968417395,1.574074074074074e-05,1.0,0.0,0.0,1.0,1.0,1.0,0.9999,0.09171904500802415,6951752759.127299
2021-06,0.033333,298.77462934629125,913.7196515955193,1187.4267391222813,581.4910071601972,3010.1688874317306,141.1593798816008,478.731397682951,120.79384036488011,4.948538192640001,760.3,1000.0,59.93978620000001,4424383879.345292,-224.5715566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0039400315673,745.5274682008458,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,11433470622.18599
2021-07,0.032258,410.82081214473243,910.0016163195144,1182.594956752252,624.4016860365375,3232.693379979476,141.15937988160024,512.0896482276963,120.79384036488011,4.948538192640001,760.3,1000.0,56.03426325,4422407081.099504,-230.3061154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,1094.0039400315673,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,11426976084.166992
2021-08,0.032258,418.2625449346471,684.7671789976314,889.8909605318029,513.1558546798781,2708.650404787705,141.15937988160024,543.6746641156576,120.79384036487984,4.948538192640001,760.3,1000.0,56.03426325,4424383879.345292,-194.364236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,745.5274682008312,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,11433470622.18599
2021-09,0.033333,391.3417922746655,577.1567335526229,750.0455275183651,438.4439150034801,2319.9070087928203,211.73906982240055,844.704053511555,181.19076054732,7.4228072889600005,760.3,1000.0,56.03426325,4424383879.345292,-190.729815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.00591004735,745.5274682008312,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,11433470622.18599
2021-10,0.032258,311.7549665049487,823.1721141370617,1069.7554523636982,535.144895062716,2773.5739419062775,369.499536,2005.6859577010432,422.7784412770806,17.319883674240003,760.3,1000.0,52.46850527,4422407081.099504,-268.6667268,190780.68568178843,0.0,0.0,0.0,0.0,0.0,0.0,2609.3461387029165,1641.00591004735,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,11426976084.166992
2021-11,0.033333,222.34899991779977,884.6501902575742,1149.6494453710927,515.5505626917789,4590.194669675144,369.499536,2574.26780827897,543.5722816419601,22.26842186688,760.3,1000.0,52.46850527,4149669634.732326,-362.39643989999996,337883.27724513726,0.0,0.0,0.0,0.0,0.0,0.0,4923.017730142048,193390.03182049133,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.09171904500802415,8691708071.914318
