Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-19,0.033333,1547.720968,1388.241312,1804.092592,817.3422029,11878.62662,153.8793827,8637.226647,2677.30596,850.4752032,0,0,0,0,0,5.82E-11,-1.51E-09,2188.00788,0,33102588.36,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,0
May-19,0.032258,267.1862559,901.6744218,1171.77333,655.1713537,12385.39094,141.1593799,10655.99086,2201.085672,850.4752032,0,0,0,0,0,0,0,745.5274682,2188.00788,31034744.7,1.57E-05,1,1,1,1,1,1,0.9999,0.103055519,6992986421
Jun-19,0.033333,291.2026564,910.8267586,1183.667273,659.8462737,5365.644452,141.1593799,6622.088017,1367.837161,700.3126659,0,0,0,0,0,0,0,1094.00394,745.5274682,13704591.64,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6994116671
Jul-19,0.032258,296.3665248,912.7979699,1186.228965,660.8531482,4529.401023,141.1593799,5470.313812,1129.850851,567.6090619,0,0,0,0,0,0,0,745.5274682,1094.00394,11089201.19,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6992986421
Aug-19,0.032258,394.6459438,950.1822746,1234.811835,679.9486685,4230.439401,141.1593799,5622.814141,1161.252517,585.1189526,0,0,0,0,0,0,0,745.5274682,745.5274682,11434295.06,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6994116671
Sep-19,0.033333,273.6417215,904.1591438,1175.002357,626.3000575,3358.880773,211.7390698,3635.181745,750.5501166,324.9034155,0,0,0,0,0,0,0,1641.00591,745.5274682,6257070.098,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6994116671
Oct-19,0.032258,215.9876413,882.2303261,1146.504705,564.3216575,3674.543883,369.499536,2049.047741,422.7784413,17.31988367,206878.7337,0,0,0,0,0,0,2609.346139,1641.00591,0,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6992986421
Nov-19,0.033333,201.0543342,876.5504271,1139.123377,544.3385549,4105.552113,369.499536,2634.799074,543.5722816,22.26842187,319593.9524,0,0,0,0,0,0,4923.01773,209488.0798,0,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6473477319
Dec-19,0.032258,157.0439481,653.4449135,849.1860293,405.9562594,2033.363031,369.499536,2901.560084,603.9692018,24.74269096,370190.8826,0,0,0,0,0,0,3727.637341,324516.9702,0,1.57E-05,0,0,0,0,0,0,0.9999,0.103055519,6387592215
Jan-20,0.032258,127.4647403,848.5597528,1102.748024,489.1424715,3778.581453,369.499536,2817.831035,603.9692018,24.74269096,377030.2202,0,0,0,0,0,0,3727.637341,373918.52,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6341970573
Feb-20,0.035714,119.1664118,845.4033789,1098.64615,478.9261445,2626.327804,369.499536,2484.671861,543.5722816,22.26842187,385583.9673,0,0,0,0,0,0,8396.274621,380757.8576,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6329922066
Mar-20,0.032258,87.69315368,612.455184,795.9177202,345.5472376,1656.984538,369.499536,1609.481806,362.3815211,14.84561458,223231.0595,0,0,0,0,0,0,2236.582405,393980.2419,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6309023274
Apr-20,0.033333,84.21743813,451.856002,587.2106374,261.6985678,1279.944671,282.3187598,1043.811289,241.5876807,9.897076385,151000.9278,0,0,0,0,0,0,2188.00788,225467.6419,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6338692351
May-20,0.032258,300.1068193,914.226367,1188.085242,622.5965088,3943.929941,141.1593799,513.8772571,120.7938404,4.948538193,0,0,0,0,0,0,0,745.5274682,153188.9357,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6349407455
Jun-20,0.033333,316.3680496,551.0261167,716.0874168,417.6024138,2278.701819,141.1593799,9922.646184,2201.170601,850.4752032,0,0,0,0,0,0,0,1094.00394,745.5274682,23179771.75,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6994116671
Jul-20,0.032258,421.8549502,960.5348189,1248.265511,685.2366422,3939.549953,141.1593799,482.2408827,120.7938404,4.948538193,0,0,0,0,0,0,0,745.5274682,1094.00394,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6992986421
Aug-20,0.032258,383.3421424,878.588923,1141.77251,619.4060919,3245.239856,141.1593799,529.3055532,120.7938404,4.948538193,0,0,0,0,0,0,0,745.5274682,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6994116671
