Volumen,Altura
0,375
371000000,396
386300000,397
402100000,398
418200000,399
434500000,400
451300000,401
468500000,402
486000000,403
504000000,404
522300000,405
541200000,406
560500000,407
580200000,408
600600000,409
621500000,410
643000000,411
665300000,412
688200000,413
711700000,414
736000000,415
761200000,416
787500000,417
814500000,418
842500000,419
871500000,420
902000000,421
933500000,422
966000000,423
1000200000,424
1036000000,425
1073000000,426
1111500000,427
1151500000,428
1193000000,429
1236000000,430
1280500000,431
1326000000,432
1372000000,433
1418500000,434
1465500000,435
1512000000,436
1544000000,437
