Volumen,Area
0,0
371000000,17666666.67
386300000,17559090.91
402100000,17482608.7
418200000,17425000
434500000,17380000
451300000,17357692.31
468500000,17351851.85
486000000,17357142.86
504000000,17379310.34
522300000,17410000
541200000,17458064.52
560500000,17515625
580200000,17581818.18
600600000,17664705.88
621500000,17757142.86
643000000,17861111.11
665300000,17981081.08
688200000,18110526.32
711700000,18248717.95
736000000,18400000
761200000,18565853.66
787500000,18750000
814500000,18941860.47
842500000,19147727.27
871500000,19366666.67
902000000,19608695.65
933500000,19861702.13
966000000,20125000
1000200000,20412244.9
1036000000,20720000
1073000000,21039215.69
1111500000,21375000
1151500000,21726415.09
1193000000,22092592.59
1236000000,22472727.27
1280500000,22866071.43
1326000000,23263157.89
1372000000,23655172.41
1418500000,24042372.88
1465500000,24425000
1512000000,24786885.25
1544000000,24903225.81
