Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,991.8204448,991.8204448,991.8204448,991.8204448,991.8204448,991.8204448,991.8204448,991.8204446,991.8204448,991.8204448,991.8204448,991.8204448,991.8204448,991.8204448
2019-05-01,942.8983533,942.8983533,942.8983533,942.8983533,942.8983533,942.8983533,942.8983533,942.8983534,942.8983533,942.8983533,942.8983533,942.8983533,942.8983533,942.8983533
2019-06-01,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737,574.7470737
2019-07-01,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854,480.4693854
2019-08-01,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359,483.8820359
2019-09-01,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265,375.3415265
2019-10-01,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784,301.3617784
2019-11-01,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584,347.8884584
2019-12-01,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838,258.0241838
2020-01-01,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318,327.82318
2020-02-01,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458,306.7290458
2020-03-01,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342,188.864342
2020-04-01,278.1217076,143.2247543,162.5664429,141.3000231,260.2203296,136.0890134,183.144911,141.4166566,160.4196666,176.2620978,135.8747517,135.5271994,183.4056889,153.3765187
2020-05-01,273.1249956,119.6560336,119.251295,209.4878733,191.2957781,123.2225717,158.3043358,249.9905934,223.644935,129.2240813,193.0445185,174.3039625,156.2254036,227.1176695
2020-06-01,320.7972483,365.4292321,215.8245351,476.4043204,189.3877555,370.983221,133.5155218,579.8354411,261.9493207,164.4536062,482.2446666,407.6940605,225.1396484,193.7008346
2020-07-01,688.4806707,140.5204382,276.1837805,174.0330604,239.8620476,186.5635901,149.6984638,258.2118873,243.1598053,200.6434545,174.1738832,207.7013377,160.6613087,223.5096746
2020-08-01,455.7848377,168.2591101,285.4507814,169.4046926,360.8652615,202.363419,135.8464939,227.8884744,409.1212833,210.9970967,179.4252138,168.9074325,167.6346981,196.8993677
2020-09-01,421.7406078,192.51267,314.2256387,179.5346496,410.229848,217.7546162,164.4215887,248.1008888,302.2294818,271.0233567,170.6968808,204.7726175,257.2873702,271.0613995
2020-10-01,368.894442,269.1393891,272.4461059,215.9363218,360.8804257,280.6689552,214.9316152,288.3044634,272.6204104,353.0651651,258.799507,251.8130774,246.389184,293.4268042
2020-11-01,378.716838,398.7862784,367.6927573,328.3866495,437.110404,376.5296099,334.8530225,375.8072594,376.8622297,431.1222788,334.3975096,368.1487819,377.7701007,428.2988164
