Volumen,Area,Volume
0,0,0
3000000,3000000,3000000
5900000,2950000,5900000
8900000,2966666.667,8900000
11900000,2975000,11900000
14900000,2980000,14900000
17900000,2983333.333,17900000
20200000,2885714.286,20200000
22600000,2825000,22600000
25200000,2800000,25200000
28100000,2810000,28100000
31200000,2836363.636,31200000
34400000,2866666.667,34400000
37900000,2915384.615,37900000
41500000,2964285.714,41500000
45300000,3020000,45300000
49300000,3081250,49300000
53400000,3141176.471,53400000
57800000,3211111.111,57800000
62300000,3278947.368,62300000
67000000,3350000,67000000
71800000,3419047.619,71800000
76800000,3490909.091,76800000
82000000,3565217.391,82000000
87400000,3641666.667,87400000
93000000,3720000,93000000
98800000,3800000,98800000
104600000,3874074.074,104600000
110700000,3953571.429,110700000
116900000,4031034.483,116900000
123300000,4110000,123300000
129800000,4187096.774,129800000
136300000,4259375,136300000
143000000,4333333.333,143000000
149900000,4408823.529,149900000
156900000,4482857.143,156900000
164000000,4555555.556,164000000
171200000,4627027.027,171200000
178600000,4700000,178600000
186100000,4771794.872,186100000
193900000,4847500,193900000
200000000,4901960.784,200000000
220000000,5116279.07,220000000
240000000,5333333.333,240000000
