Date,Average
2019-01-01,62.14190952
2019-02-01,62.14190952
2019-03-01,62.14190952
2019-04-01,61.30931565
2019-05-01,61.30931565
2019-06-01,61.30931565
2019-07-01,59.84890967
2019-08-01,59.84890967
2019-09-01,59.84890967
2019-10-01,58.75401709
2019-11-01,58.75401709
2019-12-01,58.75401709
2020-01-01,63.82338332
2020-02-01,63.82338332
2020-03-01,63.82338332
2020-04-01,63.47134386
2020-05-01,63.47134386
2020-06-01,63.47134386
2020-07-01,61.46255363
2020-08-01,61.46255363
2020-09-01,61.46255363
2020-10-01,58.52017092
2020-11-01,58.52017092
2020-12-01,58.52017092
2021-01-01,60.86432238
2021-02-01,60.86432238
2021-03-01,60.86432238
2021-04-01,59.9397862
2021-05-01,59.9397862
2021-06-01,59.9397862
2021-07-01,56.03426325
2021-08-01,56.03426325
2021-09-01,56.03426325
2021-10-01,52.46850527
2021-11-01,52.46850527
2021-12-01,52.46850527
2022-01-01,61.3262537
2022-02-01,61.3262537
2022-03-01,61.3262537
2022-04-01,60.34939391
2022-05-01,60.34939391
2022-06-01,60.34939391
2022-07-01,52.713676
2022-08-01,52.713676
2022-09-01,52.713676
2022-10-01,48.34343936
2022-11-01,48.34343936
2022-12-01,48.34343936
2023-01-01,62.23045539
2023-02-01,62.23045539
2023-03-01,62.23045539
2023-04-01,60.37126433
2023-05-01,60.37126433
2023-06-01,60.37126433
2023-07-01,53.95991086
2023-08-01,53.95991086
2023-09-01,53.95991086
2023-10-01,46.68164264
2023-11-01,46.68164264
2023-12-01,46.68164264
2024-01-01,61.71510153
2024-02-01,61.71510153
2024-03-01,61.71510153
2024-04-01,58.22276672
2024-05-01,58.22276672
2024-06-01,58.22276672
2024-07-01,46.57673219
2024-08-01,46.57673219
2024-09-01,46.57673219
2024-10-01,39.54450742
2024-11-01,39.54450742
2024-12-01,39.54450742
2025-01-01,63.29091564
2025-02-01,63.29091564
2025-03-01,63.29091564
2025-04-01,59.21600865
2025-05-01,59.21600865
2025-06-01,59.21600865
2025-07-01,47.58308833
2025-08-01,47.58308833
2025-09-01,47.58308833
2025-10-01,39.54671523
2025-11-01,39.54671523
2025-12-01,39.54671523
2026-01-01,64.15489688
2026-02-01,64.15489688
2026-03-01,64.15489688
2026-04-01,60.02685833
