," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Apr-19,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716,92.9716
May-19,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726,34.726
Jun-19,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978,23.978
Jul-19,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233,17.4233
Aug-19,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659,15.0659
Sep-19,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124,10.2124
Oct-19,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973,7.73973
Nov-19,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351,7.91351
Dec-19,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922,7.04922
Jan-20,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568,8.62568
Feb-20,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493,5.85493
Mar-20,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881,4.00881
