," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Apr-19,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933,18.3933
May-19,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295,4.67295
Jun-19,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892,3.55892
Jul-19,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926,3.01926
Aug-19,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977,2.67977
Sep-19,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921,1.8921
Oct-19,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756,1.42756
Nov-19,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357,1.43357
Dec-19,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462,1.39462
Jan-20,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823,2.54823
Feb-20,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016,1.81016
Mar-20,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521,1.16521
Apr-20,2.20448,0.96382,1.10849,0.95145,1.81698,0.912388,0.968479,1.25058,0.953723,1.09442,1.18712,0.910729,0.907615,1.26369,1.03564
May-20,2.90856,0.935841,0.964327,1.61074,1.76523,0.943683,1.35279,1.33061,2.12553,1.87724,1.09529,1.4784,1.31932,1.29077,1.89963
Jun-20,3.13513,1.05425,1.60877,1.40777,1.78226,1.10799,1.39647,1.13812,1.58021,2.24503,1.26194,1.58917,1.16822,1.68663,1.65624
Jul-20,4.29622,0.999685,2.73619,1.31759,2.09418,1.31612,1.22036,1.01493,2.39625,2.60146,1.56146,1.45546,1.60359,1.41324,1.8895
Aug-20,2.78063,1.18644,2.64663,1.59954,1.99907,1.52555,1.07152,0.961194,2.49097,2.0792,1.43047,1.53408,1.68853,1.29877,1.54362
Sep-20,2.29086,1.36452,1.93901,1.86334,2.05063,1.86468,1.1091,1.10033,2.47434,1.6976,1.95978,1.39476,1.54921,1.66012,1.46558
Oct-20,2.86549,2.3156,2.27819,1.84458,2.36164,2.79337,1.20971,1.5174,2.9599,2.34759,3.17573,2.11718,2.20714,1.95513,2.31421
Nov-20,4.18569,5.37813,3.76785,2.65762,4.98044,4.24384,2.12867,3.12076,3.77136,4.11467,4.96469,3.10174,3.77615,4.02331,5.18217
Dec-20,3.60099,3.41998,3.05176,1.6706,5.61989,3.27185,2.80082,2.93561,2.55412,3.18063,3.78612,2.72879,3.49312,3.9693,4.00612
Jan-21,2.64837,2.26316,2.37229,1.24299,3.28714,2.15136,2.78088,2.0987,1.8541,2.17663,2.39111,2.14493,2.46738,2.86113,2.58131
Feb-21,1.87601,1.8153,1.71029,1.02479,2.33774,1.56228,2.12789,1.48614,1.37555,1.60722,1.77147,1.52517,1.75437,1.88013,1.93248
Mar-21,1.40492,1.56357,1.10789,0.704345,1.45952,1.08277,1.38043,0.975335,0.962473,1.12861,1.2558,1.08502,1.19951,1.21119,1.26994
Apr-21,1.24479,1.12525,1.02121,0.90073,1.10248,1.0164,1.09393,0.773985,0.88618,1.02383,1.8256,1.05866,0.976864,1.33415,1.0209
May-21,2.53643,1.39809,1.15059,2.29712,1.15912,1.19535,1.44649,0.921398,2.29534,2.34475,2.86356,1.0186,0.993346,1.16496,1.16947
Jun-21,2.76109,1.14409,1.5515,1.52928,1.17546,1.21847,1.51025,1.42478,2.03833,2.08393,2.8427,1.15239,1.58059,1.6926,1.34624
Jul-21,2.89181,1.29474,1.12264,1.98735,1.13113,1.07047,1.60685,1.44669,3.50017,1.72697,3.12136,1.34745,1.74415,2.16618,1.57404
Aug-21,2.29251,1.16628,1.42017,1.75223,1.23227,1.13673,1.40796,1.28928,2.09876,1.87002,2.54896,1.29545,1.88282,2.10248,1.76069
Sep-21,1.80312,1.39591,1.37815,1.58007,1.194,1.24706,1.32951,1.36806,2.18048,1.68381,3.14711,1.35026,1.66128,1.97737,1.97421
Oct-21,2.0238,1.78474,1.6497,2.54078,1.78079,1.79495,1.74273,1.79738,2.33116,2.21765,2.8726,1.60761,3.21078,3.29821,2.37972
Nov-21,3.32668,2.16489,4.11677,3.85033,4.25599,4.71154,2.68768,4.06301,3.2199,3.64061,4.83664,2.05206,4.84971,4.64839,4.42424
Dec-21,3.17971,1.91823,3.39527,3.02791,3.83695,4.81017,2.29534,3.15916,2.81405,3.71114,6.11844,2.4547,4.93666,3.85802,4.56866
Jan-22,2.16308,1.36858,2.46193,2.23916,2.97921,3.01132,1.65391,2.3309,1.94063,2.3515,4.83076,1.82423,3.36153,2.72572,2.86957
Feb-22,1.8888,1.07741,1.78517,1.60029,2.08511,2.05535,1.28578,1.62332,1.4475,1.6957,3.06734,1.29247,2.27325,1.91555,1.94742
Mar-22,1.16317,0.780844,1.25421,1.1268,1.51872,1.33162,0.988309,1.34094,0.970833,1.23272,1.82647,0.87037,1.49005,1.44718,1.2426
Apr-22,1.0665,1.03653,1.26851,0.924817,1.16511,1.18234,0.816075,1.35799,0.881807,1.28783,1.45417,0.778148,1.25024,1.0956,1.7147
May-22,1.01926,2.54155,1.86018,1.17924,2.1555,1.03284,1.11268,1.53662,0.821044,1.16408,1.49136,1.53842,1.85759,1.08202,3.46849
Jun-22,1.75592,2.31604,1.94715,1.3617,2.14025,0.928741,1.20265,1.85895,0.726311,1.95916,1.39646,1.34216,2.20573,1.46766,2.57384
Jul-22,1.79968,2.35098,2.80069,1.31821,1.96489,1.11084,1.4676,1.73091,1.88383,1.71279,1.76559,1.26077,2.1922,1.7436,2.20678
Aug-22,1.55771,1.79079,1.97158,1.10247,1.81729,1.00546,1.43607,1.4595,1.92532,2.17211,1.63451,1.24261,1.82263,1.86665,2.09748
Sep-22,1.52148,1.76814,2.25735,1.37189,1.64931,1.19165,1.35813,1.43567,1.94331,1.67741,1.4075,1.3068,2.39283,2.25901,1.99845
Oct-22,2.27321,2.27978,2.88039,1.67308,2.62666,2.28432,2.03184,2.07196,2.64916,1.94897,1.87174,1.65977,3.25878,2.48424,2.60374
Nov-22,4.08228,3.30282,3.62689,2.70214,3.88872,4.551,2.85697,2.76855,3.88826,2.96854,2.8919,2.75683,4.80952,4.96139,4.40007
Dec-22,3.04913,2.60888,3.03758,2.27254,2.95652,2.99333,2.43711,2.14866,4.03746,2.63953,2.17771,2.33621,3.10766,5.25826,3.21802
Jan-23,2.15883,1.92995,2.14297,1.42154,2.37341,1.98911,1.92041,1.61807,3.03094,2.26654,1.54475,1.86791,2.16216,3.39326,2.21059
Feb-23,1.60523,1.473,1.52462,1.10527,1.7434,1.4989,1.44866,1.197,1.91917,1.56191,1.19655,1.3253,1.62319,2.22491,1.62137
Mar-23,1.11729,0.969506,1.09276,0.754689,1.16226,0.999044,1.01726,0.806403,1.432,1.04311,0.875461,0.906081,1.06585,1.4113,1.14243
Apr-23,1.22151,0.845591,0.941238,0.616428,1.0003,0.941846,0.855664,0.872522,1.451,1.28825,0.896409,0.815622,0.953139,1.46008,1.10534
May-23,1.40477,0.816936,1.00767,0.75868,1.68782,1.22807,0.782703,1.0427,1.47248,1.97079,1.47661,0.923881,1.06556,1.7427,1.69246
Jun-23,2.45654,0.67765,1.35852,0.747062,1.87751,1.22348,0.812566,1.1248,1.3459,1.65416,2.10722,1.17039,1.78773,1.83707,1.6572
Jul-23,2.61661,0.966223,1.16672,0.669547,2.68272,1.37409,1.00893,1.69512,1.29898,2.07307,2.06043,1.89027,1.98374,2.1235,2.51345
Aug-23,2.24328,1.30672,1.13866,1.22231,2.25841,1.33659,1.19102,1.78716,1.40588,2.14601,1.5898,1.65289,2.1734,1.96071,2.8355
Sep-23,2.04548,1.90322,1.45964,1.29282,2.07068,1.1748,1.29383,2.52763,1.59556,2.32317,2.03536,2.05217,2.3401,2.13045,2.21406
Oct-23,2.22495,2.35185,1.71721,1.66988,3.23611,2.08813,1.64624,3.35431,2.07379,3.2226,2.98546,2.67168,2.59055,2.15057,2.1419
Nov-23,3.18011,3.69301,2.20529,4.68785,5.47878,3.65245,3.3449,5.28201,4.76757,5.7782,4.97875,5.09205,4.35735,3.1466,3.62499
Dec-23,2.74143,3.18465,1.61194,5.69142,4.13432,3.02598,3.15212,4.59802,5.40362,3.98437,4.02536,4.07609,3.09106,2.52318,3.10485
Jan-24,1.95322,2.2222,1.47137,3.83251,2.53878,2.23566,2.4127,2.99921,4.23963,2.91929,2.65442,2.48478,2.07152,1.78342,2.37498
Feb-24,1.47296,1.60999,1.10142,2.35631,1.81204,1.6507,1.72267,2.06859,2.68347,2.01102,1.85305,1.76978,1.57309,1.3295,1.68594
Mar-24,0.994878,1.39547,0.767309,1.53629,1.15574,1.10401,1.10834,1.36689,1.66544,1.33454,1.17852,1.1804,1.02535,0.891069,1.11517
Apr-24,1.19104,1.03533,0.988603,1.52007,1.14831,1.16852,1.43415,1.22639,1.28149,1.04401,0.90494,1.25228,0.836326,0.894524,0.864642
