Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719,152.719
2019-05-01,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155,27.7155
2019-06-01,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324,31.8324
2019-07-01,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232,31.6232
2019-08-01,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601,41.8601
2019-09-01,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699,27.9699
2019-10-01,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799,21.3799
2019-11-01,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646,19.5646
2019-12-01,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009,14.9009
2020-01-01,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238,11.8238
2020-02-01,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448,10.4448
2020-03-01,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317,7.32317
2020-04-01,29.827,7.44712,10.1987,7.078,29.2174,6.38184,7.45281,13.9367,7.12384,9.93193,13.162,6.35094,6.30719,12.8222,9.04823
2020-05-01,32.5089,9.00657,9.3403,22.0866,20.2736,9.68645,15.7652,13.6482,31.7738,24.9735,9.65104,18.6377,16.018,12.6689,24.3479
2020-06-01,54.1086,15.6654,27.6151,22.8777,21.0559,15.9156,18.8974,13.0698,31.733,41.1101,18.6345,25.0445,21.3901,32.6162,25.2201
2020-07-01,75.82,23.4991,45.4528,26.9574,42.5658,34.1584,17.9076,25.121,43.0018,44.3506,35.5214,21.3552,31.556,28.8234,42.4164
2020-08-01,48.3523,36.6155,43.821,29.1421,49.8681,45.3528,22.1531,24.937,39.5761,48.243,53.7669,31.6048,28.2315,37.4703,37.7375
2020-09-01,42.6162,42.7615,35.7698,26.279,53.5119,48.1051,19.6165,33.0298,46.1807,37.4951,38.7867,30.4131,40.9944,45.279,38.8459
2020-10-01,44.6484,42.0905,34.6829,19.2131,53.2733,36.3194,21.5409,30.0289,30.5592,32.188,46.6472,34.9261,32.3979,33.2315,41.5452
2020-11-01,31.2616,26.6017,34.2568,18.0929,38.6745,24.5368,18.2341,25.0189,20.8084,23.371,33.3283,25.5712,26.759,30.1426,32.6026
2020-12-01,21.0975,21.027,19.6985,12.1379,22.6252,16.515,35.243,15.7918,14.6496,15.4389,19.901,17.4395,27.0984,18.4334,23.2453
2021-01-01,15.1208,14.8237,14.7187,9.53379,16.3008,12.9601,18.2209,12.0561,12.6509,12.3138,14.8863,13.9415,16.1611,17.202,15.6396
2021-02-01,13.7667,15.4256,12.9153,9.14272,15.3882,10.9383,18.01,10.434,10.2558,10.875,14.1467,11.9805,14.1334,12.9298,14.1964
2021-03-01,13.049,15.4251,9.34193,6.61265,10.591,9.03452,12.0654,7.57863,8.40908,8.79163,11.0868,9.51001,11.0273,9.34659,10.4815
2021-04-01,14.8432,10.2417,11.9815,13.837,9.07001,11.9884,10.8246,6.68716,9.82008,10.2963,30.5543,12.8805,10.2466,17.0638,9.9807
2021-05-01,38.9753,18.8454,16.7679,34.9532,13.4587,16.5224,21.5199,13.5261,36.2175,34.4394,39.957,11.2904,12.3461,13.8431,14.4417
2021-06-01,49.5189,16.6501,27.6199,29.9247,22.5918,18.7114,24.448,28.7942,28.7107,35.5948,39.9946,22.2627,34.8596,32.7656,24.7384
2021-07-01,52.3137,26.5439,24.3592,42.6132,22.4873,21.6152,31.21,30.126,65.754,32.4133,60.7538,25.2321,41.8459,43.7171,37.8667
2021-08-01,42.2409,26.9454,31.5103,43.1813,29.8718,24.3444,31.5856,37.0375,37.387,36.5736,56.1053,22.869,50.0259,51.2211,53.1556
2021-09-01,39.5282,26.4659,40.7208,39.9309,32.8855,46.2841,31.2274,35.0628,34.6413,36.9368,76.1188,23.4486,52.8808,46.5213,48.6911
2021-10-01,33.2192,18.1308,40.4113,31.9791,40.6803,55.3303,27.5597,35.0986,35.3989,36.0253,56.6396,22.4115,43.0762,48.9723,33.1398
2021-11-01,27.1644,15.0383,31.9415,21.2302,29.7225,43.6393,19.8369,28.0265,23.8682,28.801,42.2529,18.8182,33.4206,31.9882,29.3502
2021-12-01,19.0313,18.2548,19.3467,14.9984,32.0941,24.2864,13.9718,17.1318,17.6158,21.503,41.0907,21.9606,35.9426,20.923,31.7794
2022-01-01,15.0021,10.9438,15.0332,14.0965,17.4859,17.6063,10.86,13.1898,13.6607,14.2192,23.1896,12.8625,18.6664,15.8663,17.7061
2022-02-01,17.4424,9.93165,13.068,10.8674,15.4691,15.071,9.90023,11.3943,12.1881,12.2909,18.6287,11.1289,15.8913,13.9668,14.8402
2022-03-01,10.6539,8.04036,10.8908,9.08319,13.7121,11.1536,9.04444,12.4422,9.22893,10.8542,13.3458,8.07294,12.6045,13.0762,10.699
2022-04-01,13.5304,17.6481,17.6692,8.89263,11.3175,13.296,8.51934,18.4415,11.2788,15.9246,14.4096,8.69752,13.5151,10.5442,31.3168
2022-05-01,13.9591,37.928,28.2601,17.2616,35.835,11.4129,15.4531,18.0423,11.086,14.0157,17.8321,23.5017,34.0477,12.6249,50.6282
2022-06-01,36.6971,38.8964,33.0061,25.4099,36.7003,12.8244,23.7367,34.1118,11.8273,36.3244,27.7015,24.196,37.27,32.7246,36.8463
2022-07-01,33.105,41.5654,58.2815,29.5572,35.4843,25.119,32.4696,38.1777,41.7533,29.4825,35.3034,20.5954,48.9792,37.4166,37.0783
2022-08-01,34.5661,39.4181,43.3727,28.8261,40.3235,37.6917,31.0874,31.7045,52.5893,35.3435,31.4859,25.895,52.8045,55.7184,40.3954
2022-09-01,38.442,33.4159,41.2539,28.2662,36.5183,37.0814,34.5242,31.9265,38.0882,31.7498,27.0688,26.9799,47.8563,60.9017,50.8777
2022-10-01,41.3165,28.869,34.8734,23.2821,33.7432,41.2439,28.3077,24.1048,42.2097,29.2397,24.4888,22.742,37.2017,44.2621,36.3034
2022-11-01,29.0758,20.3799,23.8838,17.2227,26.367,28.854,20.3997,18.4102,34.1289,29.4743,22.7481,27.2523,24.958,31.0621,29.4008
2022-12-01,19.0458,18.0237,19.4637,13.1657,19.2863,18.8137,15.7045,13.2401,32.6202,18.2214,14.46,18.3971,19.5762,33.494,19.5183
2023-01-01,15.9178,12.6291,13.5083,10.0854,16.3743,14.0558,11.4517,10.4186,19.2662,17.7124,11.1706,13.3653,14.0431,17.8832,15.7762
2023-02-01,13.0183,11.2017,11.8435,8.91012,12.9167,12.6683,10.5559,9.24705,15.7967,13.3443,10.2743,11.3661,13.3756,15.4495,13.4544
2023-03-01,10.3454,8.22966,10.2157,6.78341,9.95962,9.03035,8.37968,6.95066,14.4898,10.033,8.37731,8.60559,9.33373,11.3651,11.0681
2023-04-01,17.3088,9.38916,11.0401,6.14626,11.2116,11.5225,8.36941,11.4902,22.0104,19.0766,11.6492,9.98595,10.4487,19.843,14.2364
2023-05-01,19.0847,9.32722,14.6645,10.0863,27.0636,16.7829,8.54451,12.9465,17.5165,30.6542,21.7353,13.1026,13.9547,25.0257,24.9416
2023-06-01,43.5465,9.96847,20.6884,20.6423,32.4883,22.484,11.5029,29.3476,27.0392,23.3752,50.4175,28.3384,41.6128,33.3097,32.2875
2023-07-01,43.5239,19.5654,21.0444,20.3273,57.5654,32.2373,21.0032,53.9591,40.9972,46.5109,51.8584,44.7429,48.3861,38.9807,57.911
2023-08-01,46.752,47.7162,22.6593,54.7943,47.9688,33.2917,39.3236,38.7466,43.593,53.8733,40.8916,53.1075,35.5634,39.9579,37.5443
2023-09-01,37.3235,33.5576,30.8505,39.7455,53.1338,35.3442,40.343,54.5877,54.7359,58.261,54.267,45.1294,46.6389,34.4712,39.7322
2023-10-01,26.8019,34.9712,21.6028,46.2576,52.8169,30.7198,36.5565,53.9442,48.0831,56.1283,36.7904,41.6601,37.7566,30.9563,35.7694
2023-11-01,31.573,24.1857,16.9088,44.3723,33.6429,27.9857,26.7797,38.0628,37.6313,35.0572,28.1375,33.1324,29.5734,21.7846,33.3099
2023-12-01,19.7559,29.3415,12.9728,29.8187,20.8902,20.1187,17.7947,22.4543,34.9724,24.4186,23.0502,20.8374,18.1318,15.4432,19.8685
2024-01-01,15.5035,16.4233,12.2963,18.8521,15.6975,13.8595,13.8841,19.7382,19.8671,17.1769,14.9811,14.9314,13.863,12.1875,14.9267
2024-02-01,13.7863,14.1166,9.80192,15.6331,13.4457,12.642,11.7722,15.8779,18.6382,14.5194,13.0406,12.9684,12.996,10.9219,12.8443
2024-03-01,10.6105,15.4865,7.48248,12.1713,9.78441,9.26099,8.58312,12.2366,12.6155,11.5185,9.5566,9.99155,9.17334,8.23259,9.60127
2024-04-01,20.8177,11.3619,15.7115,19.5218,15.0041,16.3644,21.8956,15.0698,11.5695,10.4403,8.33892,16.7345,8.57618,12.2588,8.19189
2024-05-01,53.64,15.3512,20.6239,15.5786,32.7182,15.2983,16.4953,15.7852,13.2306,20.3947,15.6943,34.0501,11.758,10.1573,14.6135
2024-06-01,34.1865,26.4063,35.1721,30.622,28.2393,15.9865,13.7027,32.9327,28.1118,15.9219,26.7584,23.8104,26.0112,20.3908,36.6795
2024-07-01,34.0008,62.3874,38.9922,39.802,30.3618,53.6892,20.6566,30.6959,47.8124,19.0267,60.8314,34.0243,26.5184,28.0789,39.955
2024-08-01,32.8949,42.1445,38.6761,39.1708,28.3288,46.7855,19.9787,60.5137,38.3767,18.0066,42.0922,28.3259,48.5002,36.3914,40.1024
2024-09-01,30.9273,47.0326,34.2875,42.2452,47.9512,47.3914,16.9178,56.8468,44.4594,20.6034,41.4853,26.3458,57.6826,40.838,46.8375
2024-10-01,30.994,39.4989,25.898,30.6071,44.418,33.1181,21.1965,44.7591,33.7366,20.1418,42.0531,22.2961,44.5816,27.4675,38.5412
2024-11-01,24.9744,26.2327,26.8928,24.8751,37.1196,23.8839,17.4939,44.6875,22.08,18.8589,27.9504,17.1831,42.5734,21.3261,25.1096
2024-12-01,15.8196,18.8915,17.5349,17.319,22.4966,16.3,12.3342,39.9141,16.4275,12.9582,18.8796,14.9046,23.5195,14.5346,26.3707
2025-01-01,12.7371,14.5243,13.4212,12.816,16.8312,12.6998,10.225,21.3786,12.4853,9.91521,14.31,10.485,17.2049,11.4126,17.1671
2025-02-01,11.0547,12.2263,12.2013,11.2857,15.2783,10.9998,9.66607,18.7472,11.214,9.0604,12.4731,9.3864,14.8333,10.8916,14.2111
2025-03-01,10.6574,9.09918,9.15189,9.90513,11.2308,8.10734,7.36791,17.2261,8.23699,7.02109,9.85251,7.0868,10.662,8.26784,11.3652
2025-04-01,9.45043,8.20452,8.27494,10.2486,13.0243,8.12842,9.74146,13.7394,18.0387,7.12348,8.63646,23.1222,16.9559,7.65989,13.0415
2025-05-01,37.259,10.7694,10.2255,24.2083,37.1747,25.1042,10.4709,16.455,12.8575,10.1392,12.6335,20.977,19.0771,16.6478,22.9168
2025-06-01,33.486,27.8347,10.4742,30.0884,63.5689,21.5124,22.4155,15.4352,12.1264,22.3311,19.7995,32.8423,31.2421,22.1427,55.0879
2025-07-01,34.757,27.8585,13.6974,56.8585,58.944,23.981,21.0137,18.7439,14.5023,23.658,42.7094,55.032,37.3274,49.0394,37.9505
2025-08-01,30.6043,33.7337,15.57,46.1508,47.2351,22.1093,23.7906,41.7435,22.247,31.9337,31.4002,41.5379,31.1025,34.5174,34.9154
2025-09-01,34.5819,30.158,18.038,41.6337,50.6269,39.2067,26.178,31.8132,22.3889,43.3414,45.5497,46.568,28.0911,55.5991,36.3899
2025-10-01,27.5412,27.5401,16.7772,33.5023,35.7444,32.8567,24.3228,27.8249,23.9595,32.7902,60.8698,34.4037,25.2875,48.931,31.3122
2025-11-01,33.7762,20.341,23.3993,30.5237,27.5596,26.299,21.2522,21.7313,29.0755,22.6701,31.4502,23.7209,19.8285,40.3582,37.3393
2025-12-01,26.5296,24.4277,16.2718,18.5441,25.0967,23.1626,13.9618,14.9627,21.1515,26.301,36.2344,23.7475,14.6965,27.2219,18.4212
2026-01-01,16.8397,14.0852,11.5646,14.1704,16.5047,15.3709,10.9052,11.979,14.4025,15.349,21.1043,14.3587,10.9267,18.0398,15.076
2026-02-01,15.2697,14.6742,10.2954,12.3331,14.1184,13.568,10.2148,10.6847,13.1918,13.1476,17.3146,13.0245,9.73163,15.128,12.5461
2026-03-01,11.2389,10.8224,8.07952,9.3213,14.034,11.023,10.064,8.10986,9.81412,10.8709,13.9289,11.1418,7.28152,10.7776,10.9743
2026-04-01,11.2574,9.42236,7.75857,9.62845,14.3134,16.9592,11.8987,7.28194,10.0322,20.1127,13.1197,13.3792,11.214,13.4161,16.3807
2026-05-01,13.6145,40.027,29.6627,28.6131,38.3074,17.0229,13.2733,9.125,21.5644,16.2387,15.3039,19.148,23.5136,35.0645,18.1467
2026-06-01,12.2304,38.8836,19.9952,19.7197,42.8531,31.3486,14.5654,30.0499,22.7163,19.3335,27.5492,27.1534,24.5065,33.66,42.0841
2026-07-01,31.5206,78.1086,50.9838,41.5928,53.5447,39.0527,17.8369,44.2994,27.034,36.1413,37.9018,35.0991,37.9659,46.4828,79.9446
2026-08-01,23.0411,44.9593,46.8486,37.8347,41.8656,51.6374,17.5244,36.8984,33.13,43.0498,43.2183,39.826,29.2226,58.1487,71.4246
2026-09-01,39.6024,40.9791,46.9267,45.7252,43.0346,64.2512,30.9831,44.3218,37.4121,35.5713,41.4557,34.0994,39.794,49.0845,70.7403
2026-10-01,31.8096,29.3421,42.2008,38.7215,30.6532,48.9631,27.0468,32.5837,30.3809,27.2058,42.8597,29.4791,29.3064,39.6102,55.5528
2026-11-01,27.3074,22.9435,27.8005,33.5042,22.5792,41.7629,20.314,22.8359,24.7881,21.1836,34.5611,25.9408,20.6015,27.3467,35.1686
2026-12-01,17.4872,15.9544,17.8732,19.5045,16.1875,25.9658,14.2947,15.5705,15.4821,14.591,26.3522,15.6991,16.0202,24.8804,29.1278
2027-01-01,12.8849,12.5018,13.6284,15.2759,12.8359,18.1302,12.6576,12.833,12.0698,11.3997,18.6554,12.5703,12.7731,15.8214,18.9669
2027-02-01,11.374,10.8805,12.6404,15.7398,11.1016,15.0632,11.529,11.1671,11.4549,10.3202,16.6108,14.6828,11.0259,14.2083,16.3578
2027-03-01,8.23238,8.60683,11.9563,12.2332,8.26849,10.8515,9.73313,8.85182,8.88229,7.77774,12.4597,8.92583,9.00877,10.274,12.8376
2027-04-01,12.0841,10.2102,17.637,12.2616,9.53409,11.097,20.1539,11.3683,9.44888,7.29874,11.7459,14.6076,7.45595,19.424,11.4183
2027-05-01,11.442,9.70162,17.8531,24.2679,44.2168,27.4267,14.608,26.185,18.3117,10.1313,36.1657,11.9575,25.1012,25.1672,12.8108
2027-06-01,19.7329,13.5738,24.5129,27.6222,43.2649,41.0531,30.0406,53.2856,48.7396,16.5667,27.3176,11.1135,24.4454,34.1616,36.1066
2027-07-01,60.7607,24.2868,36.9411,36.6657,40.4372,44.4354,32.5544,59.5419,57.331,29.0905,28.0869,26.2879,27.8063,44.2808,38.073
2027-08-01,51.0817,43.7055,52.3094,31.8296,35.3588,52.3776,44.2226,42.911,45.1426,42.7771,40.034,30.4882,31.6766,34.2149,46.7342
2027-09-01,44.0028,32.5764,50.1833,31.9429,33.7291,38.8965,29.926,58.2637,59.6335,52.1528,36.0978,30.4479,36.6279,34.4645,40.2801
2027-10-01,41.394,33.1576,38.4795,28.0809,25.0342,36.0404,23.1506,50.5442,51.0058,42.5579,35.7398,25.9663,40.541,32.4393,32.8377
2027-11-01,31.5733,20.9176,28.3866,24.2642,18.8324,24.4116,21.2826,33.5426,35.9135,33.7452,26.0783,32.6322,31.0108,36.3733,30.7956
2027-12-01,20.9397,19.0525,23.0653,15.8329,13.5608,16.5273,16.3339,31.5635,22.0615,20.1162,18.2463,24.3362,18.3201,21.6956,19.5341
2028-01-01,14.8283,13.0704,15.3215,12.1322,11.0493,12.6901,13.0662,22.1931,16.2122,15.0596,13.7139,15.3318,14.724,15.7507,14.2171
2028-02-01,13.7723,12.5226,13.5559,10.7849,10.8819,11.4683,11.6635,19.2698,14.1717,12.7299,13.0668,12.8634,12.7973,13.8618,12.335
