, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079, 99.2079
"May 2019", 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456, 41.8456
"Jun 2019", 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879, 33.5879
"Jul 2019", 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032, 26.032
"Aug 2019", 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621, 26.2621
"Sep 2019", 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024, 16.9024
"Oct 2019", 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839, 11.6839
"Nov 2019", 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836, 9.92836
"Dec 2019", 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843, 7.41843
"Jan 2020", 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511, 5.72511
"Feb 2020", 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085, 4.84085
"Mar 2020", 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182, 3.36182
"Apr 2020", 15.2869, 3.30329, 4.61717, 3.1562, 14.6195, 2.88588, 3.31209, 6.52356, 3.17516, 4.48167, 6.05935, 2.87472, 2.85919, 6.0111, 4.02314
"May 2020", 15.8873, 4.10037, 4.32414, 10.9439, 9.6442, 4.33841, 7.808, 6.73651, 15.9933, 12.6919, 4.66384, 9.24515, 7.78194, 6.22054, 12.5645
"Jun 2020", 22.7113, 7.61644, 13.7444, 10.821, 8.8959, 7.9483, 9.40388, 5.91046, 13.9918, 19.0804, 8.73668, 12.3311, 10.0757, 15.1945, 11.7853
"Jul 2020", 31.1948, 10.7099, 21.7887, 11.3362, 17.4721, 15.7551, 7.93684, 10.2483, 20.0815, 19.4696, 16.0605, 9.45156, 14.5538, 12.3107, 17.7461
"Aug 2020", 18.2991, 17.5561, 18.7451, 13.4506, 21.951, 23.2504, 9.32129, 12.6493, 17.5362, 18.918, 22.8626, 13.5046, 12.6221, 15.1969, 16.629
"Sep 2020", 14.9789, 18.4617, 13.2378, 10.5714, 21.2549, 20.3595, 8.17549, 13.8535, 17.215, 13.8203, 19.156, 12.493, 16.7691, 19.6653, 14.8791
"Oct 2020", 16.4373, 17.1069, 12.7872, 6.70808, 20.1402, 12.7081, 8.59623, 11.9704, 10.5782, 11.894, 17.2052, 14.2857, 13.0502, 12.8715, 16.2691
"Nov 2020", 10.8398, 9.19754, 12.6524, 5.96338, 14.0511, 7.47998, 6.88001, 9.1039, 6.23075, 7.85142, 11.5245, 9.27421, 9.63192, 10.8308, 11.9794
