, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91, 1998.91
"May 2019", 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138, 705.138
"Jun 2019", 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923, 576.923
"Jul 2019", 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713, 441.713
"Aug 2019", 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332, 403.332
"Sep 2019", 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519, 259.519
"Oct 2019", 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969, 175.969
"Nov 2019", 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678, 167.678
"Dec 2019", 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825, 145.825
"Jan 2020", 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065, 262.065
"Feb 2020", 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736, 154.736
"Mar 2020", 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197, 122.197
"Apr 2020", 285.455, 98.7456, 116.825, 94.3162, 249.526, 88.7697, 96.7784, 141.52, 91.5919, 111.343, 141.747, 88.6669, 88.4193, 150.413, 111.233
"May 2020", 351.804, 167.387, 126.839, 288.654, 220.906, 165.985, 222.529, 161.845, 361.701, 259.717, 138.529, 261.108, 245.445, 174.417, 313.782
"Jun 2020", 401.413, 138.084, 246.269, 175.308, 208.877, 146.504, 195.288, 134.905, 212.638, 325.849, 181.988, 197.664, 155.367, 257.728, 231.647
"Jul 2020", 551.392, 160.009, 350.467, 183.538, 281.3, 221.662, 162.07, 157.609, 298.966, 333.216, 252.457, 176.358, 222.888, 200.142, 275.027
"Aug 2020", 309.995, 208.114, 288.317, 210.309, 280.39, 260.608, 153.536, 154.275, 270.485, 274.497, 257.802, 200.56, 202.836, 197.765, 219.49
"Sep 2020", 249.275, 216.747, 206.56, 198.281, 275.33, 260.52, 141.304, 173.632, 267.536, 199.605, 247.069, 173.737, 209.228, 241.119, 194.872
"Oct 2020", 278.094, 244.858, 194.937, 140.238, 269.639, 245.475, 118.21, 156.894, 226.709, 206.763, 301.932, 210.046, 205.572, 187.717, 233.832
"Nov 2020", 359.773, 387.821, 320.013, 211.221, 427.296, 315.633, 177.904, 256.578, 279.112, 315.479, 398.936, 244.668, 307.639, 359.057, 397.251
"Dec 2020", 294.672, 261.061, 201.737, 98.1629, 416.188, 222.055, 224.731, 194.287, 169.196, 218.201, 286.808, 180.522, 263.335, 306.959, 301.187
"Jan 2021", 225.107, 151.429, 168.493, 74.4244, 244.682, 130.74, 187.178, 127.215, 114.74, 138.744, 162.596, 147.372, 172.172, 214.917, 176.212
"Feb 2021", 126.065, 114.306, 101.662, 186.174, 138.56, 86.3721, 135.236, 79.3201, 84.4826, 92.7323, 102.656, 89.0529, 101.22, 102.91, 110.228
"Mar 2021", 118.561, 150.924, 146.698, 54.2605, 102.299, 135.619, 91.7607, 116.104, 131.248, 146.342, 95.9204, 136.864, 149.039, 84.7247, 94.6195
"Apr 2021", 132.554, 100.87, 99.1675, 120.582, 97.5165, 86.2953, 140.109, 58.5973, 100.726, 97.3949, 292.747, 89.5835, 74.502, 207.588, 147.207
"May 2021", 336.438, 238.432, 179.561, 353.279, 194.392, 181.4, 154.258, 139, 368.077, 371.411, 340.461, 136.046, 137.293, 115.799, 114.347
"Jun 2021", 376.277, 117.484, 193.092, 191.717, 147.377, 137.609, 181.759, 206.13, 216.406, 239.56, 320.747, 147.362, 231.481, 238.526, 172.133
