, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85, 294.85
"May 2019", 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358, 75.4358
"Jun 2019", 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987, 55.4987
"Jul 2019", 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247, 45.5247
"Aug 2019", 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532, 34.0532
"Sep 2019", 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859, 23.6859
"Oct 2019", 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268, 17.0268
"Nov 2019", 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919, 15.2919
"Dec 2019", 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616, 13.8616
"Jan 2020", 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973, 50.9973
"Feb 2020", 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407, 40.5407
"Mar 2020", 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184, 25.2184
"Apr 2020", 38.9626, 18.243, 20.5123, 18.1129, 29.6678, 17.486, 18.3568, 22.3048, 18.1476, 20.2909, 21.1553, 17.46, 17.4012, 23.0796, 19.2529
"May 2020", 53.1325, 16.5928, 16.7007, 27.2895, 28.0204, 16.6704, 23.6694, 22.9945, 35.4138, 31.8441, 19.1597, 25.6204, 22.9739, 22.7976, 32.6623
"Jun 2020", 47.7348, 15.9168, 23.3365, 20.0025, 26.1932, 16.8559, 21.376, 17.5434, 23.2696, 31.113, 18.8769, 23.2266, 17.407, 23.6128, 24.0548
"Jul 2020", 60.6933, 13.3242, 37.688, 16.7166, 25.6584, 16.2898, 16.4955, 14.6625, 29.5219, 32.579, 18.7773, 19.1232, 19.9137, 17.581, 22.6366
"Aug 2020", 35.7349, 13.1043, 31.7152, 16.792, 21.6115, 15.9268, 13.5791, 11.7625, 26.4688, 23.8841, 16.0196, 17.5962, 18.1169, 14.9825, 17.3298
"Sep 2020", 27.5353, 13.3385, 22.76, 18.4006, 20.0348, 17.0195, 12.3664, 11.6585, 24.5585, 18.5124, 18.0118, 15.0578, 16.2772, 16.1401, 15.0425
"Oct 2020", 30.0794, 20.6492, 22.7952, 19.6214, 20.9035, 26.9266, 12.1872, 13.8137, 32.6551, 22.2861, 30.6711, 21.2821, 21.2419, 17.2114, 20.338
"Nov 2020", 65.7353, 74.9827, 56.0533, 51.9861, 71.3673, 68.154, 31.3852, 42.6122, 72.4128, 66.4721, 78.957, 45.4131, 60.6686, 56.071, 74.2373
