, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183
"May 2019", 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911, 54.0911
"Jun 2019", 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775, 39.9775
"Jul 2019", 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401, 31.9401
"Aug 2019", 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685, 23.8685
"Sep 2019", 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064, 17.1064
"Oct 2019", 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384, 12.384
"Nov 2019", 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074, 11.4074
"Dec 2019", 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337, 10.9337
"Jan 2020", 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951, 33.9951
"Feb 2020", 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964, 23.5964
"Mar 2020", 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517, 14.2517
"Apr 2020", 23.5198, 10.3654, 11.8719, 10.3019, 17.7497, 9.87813, 10.4521, 13.0262, 10.3236, 11.7262, 12.2532, 9.86069, 9.83012, 13.5547, 11.03
"May 2020", 31.5294, 10.0682, 10.0423, 16.8162, 17.2932, 10.1295, 14.6559, 14.1825, 21.7174, 19.5783, 11.814, 15.8857, 14.2982, 13.9796, 20.1797
"Jun 2020", 28.0314, 9.82644, 14.9069, 12.1612, 16.4734, 10.61, 13.2324, 10.6581, 13.5906, 18.8261, 11.6532, 14.2255, 10.2833, 14.184, 14.3291
"Jul 2020", 37.3196, 8.11427, 24.5375, 10.3756, 15.8152, 10.0921, 10.4409, 8.53014, 18.77, 20.7653, 11.9113, 12.2212, 12.9755, 11.0882, 14.0886
"Aug 2020", 22.7435, 8.54559, 20.7209, 11.7372, 14.0454, 10.5194, 8.73038, 7.48301, 18.1494, 15.4446, 10.1175, 11.5923, 12.759, 9.53427, 11.3154
"Sep 2020", 18.0974, 9.3848, 14.9858, 13.7513, 13.9715, 12.2167, 8.52747, 7.91494, 17.4236, 12.4897, 12.9124, 10.3636, 11.1402, 10.9557, 10.1728
"Oct 2020", 21.3342, 15.7546, 16.2642, 15.0407, 15.1918, 20.6212, 8.88909, 10.5323, 24.1066, 16.3793, 23.1637, 15.7329, 16.0085, 13.0597, 15.386
"Nov 2020", 43.9495, 51.7373, 37.5387, 33.5386, 48.2266, 44.3336, 22.748, 30.6143, 44.899, 44.0374, 50.5469, 31.1958, 40.1262, 38.9064, 51.0626
"Dec 2020", 43.9441, 42.2184, 34.4221, 20.2243, 65.6282, 40.1309, 26.9452, 33.4176, 33.3133, 39.3012, 46.4154, 31.7576, 39.3273, 47.0328, 47.3513
"Jan 2021", 39.7321, 31.1667, 33.3242, 17.3175, 44.2604, 28.8131, 34.1222, 28.1531, 25.3386, 29.931, 33.4588, 30.7342, 32.9401, 38.4332, 34.3857
"Feb 2021", 25.281, 20.9281, 22.0559, 12.8545, 28.3358, 19.3605, 24.5505, 18.2708, 17.1138, 19.601, 21.0902, 18.3733, 21.1629, 22.5315, 24.3293
"Mar 2021", 17.4706, 17.8696, 13.7006, 8.3536, 17.0275, 12.7307, 15.1611, 11.4513, 11.331, 13.5725, 14.676, 12.3626, 13.7282, 13.982, 15.4722
"Apr 2021", 14.0037, 11.823, 11.3373, 9.88337, 12.1573, 11.1124, 10.9703, 8.59753, 9.97317, 11.2472, 18.2992, 11.2012, 10.4584, 14.2922, 11.3826
"May 2021", 27.7876, 14.5443, 12.2015, 24.5344, 12.7851, 12.7848, 14.5152, 9.78785, 24.5288, 24.7441, 28.6232, 11.0865, 10.8052, 12.0467, 13.1794
"Jun 2021", 25.4819, 10.4373, 14.4511, 13.5019, 10.5237, 11.3837, 13.4763, 12.855, 18.9317, 17.6153, 25.8277, 9.96951, 13.8281, 14.9256, 12.3412
"Jul 2021", 24.9523, 10.3712, 9.59751, 14.7975, 9.39165, 8.94705, 12.7302, 11.2909, 29.7463, 13.6116, 24.378, 11.2705, 12.9845, 17.3679, 12.1575
"Aug 2021", 18.4046, 8.96403, 10.5796, 12.5862, 9.29234, 8.77621, 10.5586, 9.57059, 17.1677, 13.6595, 18.5902, 10.0501, 12.8199, 14.9547, 12.1327
