, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495, 113.495
"May 2019", 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024, 31.6024
"Jun 2019", 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509, 24.8509
"Jul 2019", 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333, 19.4333
"Aug 2019", 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665, 16.1665
"Sep 2019", 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606, 8.4606
"Oct 2019", 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014, 6.63014
"Nov 2019", 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835, 6.70835
"Dec 2019", 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831, 5.10831
"Jan 2020", 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833, 18.4833
"Feb 2020", 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815, 12.3815
"Mar 2020", 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967, 7.85967
"Apr 2020", 18.0116, 6.42047, 8.09139, 6.20534, 16.4901, 5.73441, 6.43628, 10.0103, 6.23409, 7.93641, 9.56041, 5.71348, 5.68247, 9.61277, 7.3831
"May 2020", 19.8111, 7.48268, 7.21277, 16.0006, 10.3851, 8.25029, 12.0804, 9.54769, 21.0346, 16.7745, 6.94958, 14.0919, 12.548, 9.54018, 16.5458
"Jun 2020", 22.0443, 9.45774, 14.6016, 8.73411, 9.04377, 9.33114, 9.67844, 6.6918, 10.2873, 16.2084, 10.6036, 11.468, 9.88588, 16.0688, 10.5372
"Jul 2020", 23.9843, 8.76578, 16.7803, 8.09789, 15.8895, 13.1524, 6.69386, 10.1958, 13.6957, 12.6891, 13.095, 6.47588, 10.5093, 6.7495, 13.4691
"Aug 2020", 10.1629, 8.45132, 11.1061, 6.69613, 9.69876, 9.63504, 6.31248, 6.52084, 7.96664, 9.48762, 10.1977, 8.78482, 5.63935, 7.53449, 7.1022
"Sep 2020", 9.17873, 6.85788, 7.73282, 5.75889, 8.26364, 6.54244, 4.60513, 5.8948, 9.47464, 6.48425, 8.29379, 6.09933, 8.76925, 8.19099, 6.08695
"Oct 2020", 11.6834, 8.27152, 8.81171, 6.60019, 9.53274, 7.91775, 5.83916, 6.16378, 10.1292, 7.5104, 8.98948, 9.11092, 7.76346, 5.81857, 8.76652
"Nov 2020", 21.9468, 22.7735, 19.8672, 18.3497, 21.7585, 20.7133, 11.6916, 14.64, 22.9229, 21.5956, 24.06, 15.3024, 19.9606, 18.6913, 24.0906
"Dec 2020", 22.7208, 21.5792, 16.7049, 10.2052, 32.8327, 20.0764, 16.7702, 15.7703, 17.5806, 19.8937, 23.0556, 15.7695, 20.8384, 22.994, 23.8039
"Jan 2021", 22.79, 17.1625, 18.4413, 9.88149, 23.7406, 15.6885, 17.1539, 14.8135, 14.7533, 16.6595, 18.2497, 17.2657, 17.7492, 21.1888, 18.3679
"Feb 2021", 14.8342, 12.0953, 12.398, 7.63647, 15.9582, 10.858, 12.8308, 9.75912, 9.98372, 11.1265, 11.8795, 10.0575, 11.555, 11.978, 13.7331
"Mar 2021", 11.5106, 11.534, 8.2133, 5.07592, 10.0768, 7.87336, 8.09784, 6.55637, 7.22489, 8.43463, 8.98748, 7.44979, 8.20195, 8.0519, 9.26813
"Apr 2021", 10.0969, 6.67352, 8.34377, 8.56431, 7.57426, 8.35278, 6.32323, 5.25163, 7.19719, 7.8463, 15.7761, 8.28262, 6.71803, 10.9715, 7.35836
