, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977, 30.6977
"May 2019", 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594, 5.27594
"Jun 2019", 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064, 5.79064
"Jul 2019", 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741, 5.90741
"Aug 2019", 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556, 7.87556
"Sep 2019", 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208, 5.46208
"Oct 2019", 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207, 4.31207
"Nov 2019", 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143, 4.0143
"Dec 2019", 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568, 3.13568
"Jan 2020", 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451, 2.5451
"Feb 2020", 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941, 2.37941
