, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953, 22.7953
"May 2019", 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043, 8.4043
"Jun 2019", 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418, 5.77418
"Jul 2019", 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469, 4.19469
"Aug 2019", 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097, 4.0097
"Sep 2019", 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602, 2.88602
"Oct 2019", 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981, 2.25981
"Nov 2019", 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476, 2.07476
"Dec 2019", 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605, 1.69605
"Jan 2020", 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088, 1.43088
"Feb 2020", 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547, 1.3547
