, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829, 44.829
"May 2019", 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627, 16.627
"Jun 2019", 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059, 11.7059
"Jul 2019", 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982, 8.92982
"Aug 2019", 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438, 8.85438
"Sep 2019", 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635, 6.1635
"Oct 2019", 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758, 4.89758
"Nov 2019", 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633, 4.58633
"Dec 2019", 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121, 3.72121
"Jan 2020", 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395, 3.13395
"Feb 2020", 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916, 3.05916
