, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Apr 2019", 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572, 879.572
"May 2019", 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05, 388.05
"Jun 2019", 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735, 316.735
"Jul 2019", 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642, 225.642
"Aug 2019", 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274, 200.274
"Sep 2019", 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901, 119.901
"Oct 2019", 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956, 82.5956
"Nov 2019", 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297, 89.9297
"Dec 2019", 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419, 86.2419
"Jan 2020", 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859, 172.859
"Feb 2020", 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137, 84.3137
"Mar 2020", 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125, 55.5125
"Apr 2020", 160.713, 42.3493, 52.312, 39.0804, 131.217, 35.5876, 40.4311, 66.5243, 36.3863, 47.8276, 68.8933, 35.5593, 35.4777, 76.7863, 50.1953
"May 2020", 185.561, 56.4165, 54.7857, 130.914, 112.377, 54.0812, 85.7079, 74.3924, 181.961, 137.934, 63.4588, 114.275, 108.089, 88.1586, 189.585
"Jun 2020", 196.879, 78.8196, 127.763, 96.7566, 102.325, 85.4694, 121.709, 55.7142, 101.286, 168.067, 88.5248, 111.435, 82.7113, 127.253, 116.003
"Jul 2020", 265.412, 72.8725, 183.497, 85.4167, 130.083, 107.042, 82.5694, 58.8089, 151.496, 170.261, 123.87, 87.3479, 111.84, 88.2992, 127.624
"Aug 2020", 129.137, 91.0807, 131.385, 104.48, 116.344, 118.143, 67.7071, 57.7801, 130.06, 114.1, 98.4365, 90.0174, 99.8237, 74.5642, 87.5189
"Sep 2020", 99.6369, 98.8924, 85.2196, 108.531, 118.604, 126.15, 71.3513, 74.3182, 125.148, 77.6794, 122.8, 77.0138, 89.0719, 107.9, 78.104
"Oct 2020", 153.588, 155.067, 107.144, 97.0723, 145.068, 164.034, 77.9199, 97.5507, 143.167, 125.131, 190.893, 130.225, 132.005, 115.256, 138.428
"Nov 2020", 212.763, 258.435, 202.384, 141.681, 277.663, 204.161, 140.319, 184.215, 167.707, 204.291, 248.566, 166.803, 202.867, 249.041, 252.141
"Dec 2020", 144.267, 140.516, 118.748, 67.3966, 237.263, 122.122, 137.241, 129.071, 88.8515, 120.585, 146.404, 114.669, 149.878, 185.847, 154.909
"Jan 2021", 92.5605, 71.5465, 85.8525, 46.2459, 106.404, 65.8927, 111.155, 75.1202, 60.5015, 69.0526, 75.3055, 82.6533, 85.2587, 102.593, 83.1943
"Feb 2021", 54.2558, 60.6403, 48.0586, 34.9742, 63.6425, 40.8268, 73.1704, 42.2728, 38.8069, 44.0953, 48.0175, 44.3912, 48.8257, 51.0442, 52.197
"Mar 2021", 49.3571, 81.1667, 30.6425, 24.1602, 39.1989, 30.5703, 38.3019, 26.4273, 29.1351, 34.6617, 38.3671, 34.2449, 35.5271, 32.6571, 35.0416
"Apr 2021", 50.3537, 38.2977, 37.71, 49.7341, 30.9161, 40.3805, 29.4394, 22.3866, 29.3498, 38.0136, 114.589, 46.0928, 32.1444, 70.7365, 28.435
"May 2021", 162.981, 92.4434, 74.2261, 223.408, 58.5388, 79.6377, 83.5099, 57.5303, 191.857, 195.167, 200.319, 50.6609, 50.6701, 62.0302, 54.9751
"Jun 2021", 174.113, 61.44, 104.476, 91.8835, 70.7955, 74.2552, 88.267, 120.221, 121.698, 129.31, 168.482, 76.1891, 127.949, 121.921, 75.9867
"Jul 2021", 160.013, 75.8182, 66.2858, 123.886, 68.8691, 56.4611, 96.3083, 102.516, 213.432, 88.0005, 182.392, 89.4504, 125.093, 136.679, 103.688
"Aug 2021", 107.461, 63.4567, 81.7925, 97.0095, 77.2673, 60.5847, 78.3928, 79.4461, 85.0816, 99.3301, 128.621, 73.707, 121.652, 112.331, 112.775
"Sep 2021", 72.7898, 75.6739, 80.589, 76.7685, 69.8434, 79.7118, 70.561, 83.3102, 92.2202, 86.8797, 172.636, 72.2708, 93.1993, 97.3962, 115.838
"Oct 2021", 102.007, 91.7042, 113.47, 137.333, 118.785, 132.858, 106.347, 112.539, 104.241, 116.369, 148.026, 83.9903, 188.796, 155.217, 123.256
"Nov 2021", 181.759, 94.4475, 229.324, 179.699, 242.069, 284.632, 152.04, 225.607, 143.359, 179.759, 242.847, 101.424, 247.666, 184.09, 229.903
