Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933,105.933
2019-05-01,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171,30.7171
2019-06-01,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548,22.3548
2019-07-01,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924,17.5924
2019-08-01,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046,12.0046
2019-09-01,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074,8.32074
2019-10-01,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904,5.79904
2019-11-01,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149,5.07149
2019-12-01,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692,4.74692
2020-01-01,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329,22.0329
2020-02-01,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209,16.5209
2020-03-01,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175,9.62175
2020-04-01,13.9779,6.21128,7.07452,6.18951,10.1119,5.94493,6.26978,7.64821,6.20165,6.99058,7.18225,5.93501,5.91603,8.07358,6.56706
2020-05-01,19.3653,5.695,5.64147,9.58802,9.7443,5.70231,8.44737,8.17854,12.4775,11.341,6.76585,9.13509,8.18252,8.15582,11.7865
2020-06-01,15.6593,5.12133,7.81914,6.50152,8.95615,5.59673,7.23539,5.77237,7.43832,9.98782,6.16036,7.63434,5.48798,7.31755,7.74751
2020-07-01,20.0142,3.93906,13.2316,5.10377,7.65675,4.8052,5.34161,4.2989,9.27741,10.4724,5.65954,6.16107,6.29176,5.40922,6.81962
