Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43,2721.43
2019-06-01,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587,999.587
2019-07-01,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826,792.826
2019-08-01,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082,629.082
2019-09-01,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099,575.099
2019-10-01,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244,364.244
2019-11-01,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101,273.101
2019-12-01,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766,254.766
2020-01-01,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521,232.521
2020-02-01,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011,396.011
2020-03-01,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34,221.34
2020-04-01,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449,208.449
2020-05-01,490.123,183.157,212.881,175.874,431.052,166.755,179.922,253.481,171.395,203.868,253.854,166.586,166.179,268.102,203.687
2020-06-01,608.428,295.124,226.237,501.144,386.047,292.743,388.804,285.71,625.242,451.983,246.097,454.346,427.736,307.067,543.834
2020-07-01,670.364,237.427,415.293,298.627,353.817,251.27,331.476,232.201,360,546.13,309.609,335.382,265.842,434.133,391.254
2020-08-01,947.507,282.589,606.158,322.563,488.651,387.331,286.092,278.512,518.662,576.849,439.649,310.366,389.413,350.771,477.993
2020-09-01,537.4,364.315,500.571,368.044,487.105,453.496,271.592,272.848,470.276,477.093,448.73,351.482,355.349,346.733,383.641
2020-10-01,425.438,371.96,355.211,341.599,468.274,443.925,247.924,301.074,455.46,343.776,421.81,301.246,359.597,412.028,335.995
2020-11-01,510.083,453.62,368.808,275.881,495.719,454.667,238.458,304.177,422.786,388.899,550.582,394.477,386.876,356.543,434.887
2020-12-01,638.322,684.435,572.953,394.088,749.335,565.752,339.314,468.659,505.708,565.498,702.709,449.078,552.608,637.145,699.938
2021-01-01,554.375,497.275,396.489,216.286,760.818,431.007,435.554,383.832,341.204,424.459,541.015,360.446,501.137,575.249,565.444
2021-02-01,436.192,311.021,340.011,168.474,469.447,275.873,371.755,269.884,247.188,289.471,329.992,304.129,346.261,418.88,353.124
2021-03-01,237.145,219.103,198.481,324.694,256.319,173.05,251.218,161.331,168.921,183.629,200.137,177.516,197.743,200.555,212.731
2021-04-01,233.679,288.659,281.481,101.261,206.051,262.657,188.147,229.504,255.231,280.875,195.214,264.773,285.457,176.194,193.004
2021-05-01,238.741,186.649,177.55,219.058,181.136,154.412,251.161,105.737,178.67,174.136,502.112,160.146,135.242,362.103,262.832
2021-06-01,582.324,415.822,315.807,600.351,341.003,318.93,272.819,246.897,636.075,641.739,589.158,241.88,243.998,207.481,204.113
2021-07-01,629.038,203.559,327.866,325.605,252.705,235.512,309.234,348.94,366.195,404.263,537.741,250.96,390.98,402.563,293.406
2021-08-01,619.537,295.881,273.458,441.099,276.897,238.192,358.211,351.835,735.597,352.261,655.597,313.022,444.195,485.169,400.369
2021-09-01,456.739,272.904,331.194,392.777,316.681,256.118,323.51,332.414,382.824,389.661,541.377,276.269,471.036,465.444,471.181
2021-10-01,355.13,274.74,337.65,320.931,291.851,350.567,285.654,311.723,363.525,346.014,657.062,256.864,398.651,396.49,432.994
2021-11-01,361.249,254.892,370.282,390.427,385.071,456.13,312.892,342.14,366.548,374.914,528.158,251.264,530.725,504.215,369.729
2021-12-01,505.346,271.041,612.241,502.839,631.232,758.938,387.582,593.3,420.65,503.772,683.027,272.046,689.194,572.184,629.789
2022-01-01,463.311,237.872,437.107,383.007,571.9,651.991,299.459,412.175,363.261,513.649,890.612,370.549,689.627,494.524,653.046
2022-02-01,336.751,153.828,325.377,280.329,431.588,416.498,204.865,319.846,251.038,315.994,731.369,249.356,484.369,373.548,404.784
2022-03-01,220.902,290.038,191.68,161.692,228.117,211.426,148.389,173.357,170.822,185.946,406.966,141.938,260.887,199.925,207.106
2022-04-01,178.111,97.954,278.86,257.973,225.056,181.135,216.316,307.984,252.591,294.805,251.438,205.131,214.879,329.768,181.532
2022-05-01,275.151,243.898,191.882,114.709,185.265,285.65,113.728,209.609,175.178,203.216,231.486,106.315,207.117,160.757,453.776
2022-06-01,181.692,548.065,496.425,310.676,643.094,157.624,262.21,282.799,205.917,224.754,316.409,408.695,490.778,245.426,779.886
2022-07-01,536.172,456.199,361.095,289.64,468.223,218.539,236.64,409.532,135.274,469.333,337.298,257.268,518.686,322.932,464.697
2022-08-01,396.49,458.803,608.894,313.848,407.174,265.273,345.381,390.992,528.311,370.502,431.434,250.354,519.604,407.227,416.204
2022-09-01,359.961,359.977,421.46,263.021,391.737,307.57,343.903,318.034,430.842,445.333,368.163,267.21,449.8,461.646,423.497
2022-10-01,343.434,323.516,393.442,282.149,327.235,322.581,309.153,292.61,350.407,317.429,284.757,261.245,473.745,502.577,433.392
2022-11-01,435.029,337.798,410.477,252.281,406.805,447.494,352.921,318.727,422.885,314.339,310.189,255.87,482.444,433.227,425.464
2022-12-01,590.682,440.164,469.212,355.14,514.969,664.618,414.663,367.506,582.084,431.718,412.526,427.861,637.016,649.249,615.657
2023-01-01,417.792,338.589,415.073,288.519,367.545,384.038,322.299,259.865,618.186,350.704,272.985,311.317,418.445,720.996,438.584
2023-02-01,285.586,253.961,312.187,161.046,307.36,250.507,265.198,201.629,480.408,315.254,195.562,247.824,297.428,505.449,302.19
2023-03-01,187.982,162.467,181.987,260.461,194.578,161.352,153.805,130.413,208.644,180.275,222.716,138.391,189.503,243.626,189.039
2023-04-01,293.429,230.712,290.296,96.9113,276.968,230.171,243.584,195.153,220.464,256.386,201.621,206.79,267.506,206.906,283.829
2023-05-01,216.815,122.049,165.272,127.686,157.577,124.942,104.112,175.392,296.862,230.681,156.71,108.617,179.572,272.912,212.507
2023-06-01,324.187,215.202,296.398,163.992,437.75,309.876,177.554,255.627,309.564,466.807,425.191,240.507,283.405,408.615,398.502
2023-07-01,628.036,132.171,302.943,202.691,370.149,265.38,168.33,282.71,323.155,324.275,508.215,291.911,457.73,412.815,370.98
