Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Caudal_Remanente_mensual,segundosdelmes_recorder
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-04,0.033333,340.37813172170826,929.4272985365719,1207.8396523762854,592.6941628517993,6110.759320478871,36.757549622718926,427.4005227029988,177.54118228391428,3.455212689363712,83494.35246800147,0.0,0.0,-1.1641532182693481e-10,1222389.646264229,0.0,0.0,20168.8148269544,0.0,1.574074074074074e-05
1980-05,0.032258,1482.702826068912,1363.8742847957521,1772.4263582815722,817.34220288,11878.626624916616,141.1593798816,9773.35070846356,2201.0856717345696,850.4752032000002,-2.9103830456733704e-11,7.275957614183426e-12,0.0,1.4551915228366852e-09,0.0,0.0,0.0,1271.4514235805327,23178838.4056,1.574074074074074e-05
1980-06,0.033333,1467.0241079487007,1358.013749704415,1764.8102847289606,817.34220288,11581.956912637874,141.1593798816,6822.451261642032,1479.4324281044424,762.5393296491243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,14930986.538229274,1.574074074074074e-05
1980-07,0.032258,1470.9514122510286,1152.321949371833,1497.5029730096435,783.1995457454345,12116.63152074167,141.1593798816,10655.990856000002,2201.1206018354756,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,29190083.34839349,1.574074074074074e-05
1980-08,0.032258,1170.7354761550985,1182.4697564405967,1536.6816337474743,798.5987370757754,9774.703318625687,141.1593798816,10655.990856,2201.0183799225306,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22860976.33095,1.574074074074074e-05
1980-09,0.033333,1040.765248993358,1058.7304206657066,1375.8758595433558,711.7747070495791,8638.63891591968,211.73906982239993,9486.439752174192,1959.3171982398624,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,19541018.59319937,1.574074074074074e-05
1980-10,0.032258,1110.772613466791,1032.9176795880185,1342.3308450389998,631.0705459212674,8172.823765193828,369.499536,6621.666256670036,1367.401073141079,544.0511378572947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,10381088.78059608,1.574074074074074e-05
1980-11,0.033333,1802.965287259349,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990856000002,2200.609549485857,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,18910005.212494314,1.574074074074074e-05
1980-12,0.032258,1925.8433698700567,1600.1538336,2079.4840577280006,817.34220288,12385.390940462003,369.499536,9330.805377206418,1926.6537481778785,762.2851407079562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,14535863.572655547,1.574074074074074e-05
