Volumen,Altura
0,1280
3000000,1281
5900000,1282
8900000,1283
11900000,1284
14900000,1285
17900000,1286
20200000,1287
22600000,1288
25200000,1289
28100000,1290
31200000,1291
34400000,1292
37900000,1293
41500000,1294
45300000,1295
49300000,1296
53400000,1297
57800000,1298
62300000,1299
67000000,1300
71800000,1301
76800000,1302
82000000,1303
87400000,1304
93000000,1305
98800000,1306
104600000,1307
110700000,1308
116900000,1309
123300000,1310
129800000,1311
136300000,1312
143000000,1313
149900000,1314
156900000,1315
164000000,1316
171200000,1317
178600000,1318
186100000,1319
193900000,1320
200000000,1320.8
220000000,1323
240000000,1325
