Volumen,Area
0,0
3000000,3000000
5900000,2950000
8900000,2966666.667
11900000,2975000
14900000,2980000
17900000,2983333.333
20200000,2885714.286
22600000,2825000
25200000,2800000
28100000,2810000
31200000,2836363.636
34400000,2866666.667
37900000,2915384.615
41500000,2964285.714
45300000,3020000
49300000,3081250
53400000,3141176.471
57800000,3211111.111
62300000,3278947.368
67000000,3350000
71800000,3419047.619
76800000,3490909.091
82000000,3565217.391
87400000,3641666.667
93000000,3720000
98800000,3800000
104600000,3874074.074
110700000,3953571.429
116900000,4031034.483
123300000,4110000
129800000,4187096.774
136300000,4259375
143000000,4333333.333
149900000,4408823.529
156900000,4482857.143
164000000,4555555.556
171200000,4627027.027
178600000,4700000
186100000,4771794.872
193900000,4847500
200000000,4901960.784
220000000,5116279.07
240000000,5333333.333
