Volumen,Area
0,0
400000,40000000
800000,40000000
1200000,40000000
1600000,40000000
1990000,39800000
2390000,39833333.33
2790000,39857142.86
3190000,39875000
3590000,39888888.89
3990000,39900000
4390000,39909090.91
4780000,39833333.33
5180000,39846153.85
5590000,39928571.43
5980000,39866666.67
6380000,39875000
6780000,39882352.94
7180000,39888888.89
7570000,39842105.26
7970000,39850000
8370000,39857142.86
8770000,39863636.36
9170000,39869565.22
9570000,39875000
9970000,39880000
10370000,39884615.38
10760000,39851851.85
11160000,39857142.86
11560000,39862068.97
11960000,39866666.67
12360000,39870967.74
12760000,39875000
13160000,39878787.88
13550000,39852941.18
13950000,39857142.86
14350000,39861111.11
14750000,39864864.86
15150000,39868421.05
15550000,39871794.87
15950000,39875000
16350000,39878048.78
16740000,39857142.86
17140000,39860465.12
17540000,39863636.36
17940000,39866666.67
18340000,39869565.22
18740000,39872340.43
19140000,39875000
19530000,39857142.86
19930000,39860000
20330000,39862745.1
20730000,39865384.62
21130000,39867924.53
21530000,39870370.37
21930000,39872727.27
22320000,39857142.86
22720000,39859649.12
23120000,39862068.97
23520000,39864406.78
23920000,39866666.67
24320000,39868852.46
24720000,39870967.74
25120000,39873015.87
25510000,39859375
25910000,39861538.46
26310000,39863636.36
26710000,39865671.64
27110000,39867647.06
27510000,39869565.22
27910000,39871428.57
28300000,39859154.93
28700000,39861111.11
29100000,39863013.7
29500000,39864864.86
29900000,39866666.67
30300000,39868421.05
30700000,39870129.87
31100000,39871794.87
31490000,39860759.49
31890000,39862500
32290000,39864197.53
32690000,39865853.66
33090000,39867469.88
33490000,39869047.62
33890000,39870588.24
34280000,39860465.12
34680000,39862068.97
35080000,39863636.36
35480000,39865168.54
35880000,39866666.67
36280000,39868131.87
36680000,39869565.22
37070000,39860215.05
37470000,39861702.13
37870000,39863157.89
38270000,39864583.33
38670000,39865979.38
39070000,39867346.94
39470000,39868686.87
39870000,39870000
40280000,39881188.12
40700000,39901960.78
41120000,39922330.1
41530000,39932692.31
41950000,39952380.95
42370000,39971698.11
42780000,39981308.41
43200000,40000000
43620000,40018348.62
44040000,40036363.64
44450000,40045045.05
44870000,40062500
45290000,40079646.02
45700000,40087719.3
46120000,40104347.83
46540000,40120689.66
46950000,40128205.13
47370000,40144067.8
47790000,40159663.87
48210000,40175000
48620000,40181818.18
49040000,40196721.31
49460000,40211382.11
49870000,40217741.94
50290000,40232000
50710000,40246031.75
51120000,40251968.5
51540000,40265625
51960000,40279069.77
52380000,40292307.69
52790000,40297709.92
53210000,40310606.06
53630000,40323308.27
54040000,40328358.21
54460000,40340740.74
54880000,40352941.18
55290000,40357664.23
55710000,40369565.22
56130000,40381294.96
56550000,40392857.14
56960000,40397163.12
57380000,40408450.7
57800000,40419580.42
58210000,40423611.11
58630000,40434482.76
59050000,40445205.48
59460000,40448979.59
59880000,40459459.46
60300000,40469798.66
60720000,40480000
61130000,40483443.71
61550000,40493421.05
61970000,40503267.97
62380000,40506493.51
62800000,40516129.03
63220000,40525641.03
63630000,40528662.42
64050000,40537974.68
64470000,40547169.81
64890000,40556250
65300000,40559006.21
65720000,40567901.23
66140000,40576687.12
66550000,40579268.29
66970000,40587878.79
67390000,40596385.54
67800000,40598802.4
68220000,40607142.86
68640000,40615384.62
69060000,40623529.41
69470000,40625730.99
69890000,40633720.93
70310000,40641618.5
70720000,40643678.16
71140000,40651428.57
71560000,40659090.91
71970000,40661016.95
72390000,40668539.33
72810000,40675977.65
73230000,40683333.33
73640000,40685082.87
74060000,40692307.69
74480000,40699453.55
74890000,40701086.96
75310000,40708108.11
75730000,40715053.76
76140000,40716577.54
76560000,40723404.26
76980000,40730158.73
77400000,40736842.11
77810000,40738219.9
78230000,40744791.67
78650000,40751295.34
79060000,40752577.32
79480000,40758974.36
79900000,40765306.12
80310000,40766497.46
80730000,40772727.27
81150000,40778894.47
81570000,40785000
82000000,40796019.9
82430000,40806930.69
82860000,40817733.99
83290000,40828431.37
83720000,40839024.39
84150000,40849514.56
84580000,40859903.38
85010000,40870192.31
85440000,40880382.78
85870000,40890476.19
86300000,40900473.93
86730000,40910377.36
87160000,40920187.79
87600000,40934579.44
88030000,40944186.05
88460000,40953703.7
88890000,40963133.64
89320000,40972477.06
89750000,40981735.16
90180000,40990909.09
90610000,41000000
91040000,41009009.01
91470000,41017937.22
91900000,41026785.71
92330000,41035555.56
92760000,41044247.79
93200000,41057268.72
93630000,41065789.47
94060000,41074235.81
94490000,41082608.7
94920000,41090909.09
95350000,41099137.93
95780000,41107296.14
96210000,41115384.62
96640000,41123404.26
97070000,41131355.93
97500000,41139240.51
97930000,41147058.82
98360000,41154811.72
98800000,41166666.67
99230000,41174273.86
99660000,41181818.18
100090000,41189300.41
100520000,41196721.31
100950000,41204081.63
101380000,41211382.11
101810000,41218623.48
102240000,41225806.45
102670000,41232931.73
103100000,41240000
103530000,41247011.95
103960000,41253968.25
104390000,41260869.57
104830000,41271653.54
105260000,41278431.37
105690000,41285156.25
106120000,41291828.79
106550000,41298449.61
106980000,41305019.31
107410000,41311538.46
107840000,41318007.66
108270000,41324427.48
108700000,41330798.48
109130000,41337121.21
109560000,41343396.23
109990000,41349624.06
110430000,41359550.56
110860000,41365671.64
111290000,41371747.21
111720000,41377777.78
112150000,41383763.84
112580000,41389705.88
113010000,41395604.4
113440000,41401459.85
113870000,41407272.73
114300000,41413043.48
114730000,41418772.56
115160000,41424460.43
115590000,41430107.53
116030000,41439285.71
116460000,41444839.86
116890000,41450354.61
117320000,41455830.39
117750000,41461267.61
118180000,41466666.67
118610000,41472027.97
119040000,41477351.92
119470000,41482638.89
119900000,41487889.27
120330000,41493103.45
120760000,41498281.79
121190000,41503424.66
121620000,41508532.42
122060000,41517006.8
122490000,41522033.9
122920000,41527027.03
123350000,41531986.53
123780000,41536912.75
124210000,41541806.02
124640000,41546666.67
125080000,41554817.28
125520000,41562913.91
125970000,41574257.43
126410000,41582236.84
126850000,41590163.93
127290000,41598039.22
127730000,41605863.19
128170000,41613636.36
128620000,41624595.47
129060000,41632258.06
129500000,41639871.38
129940000,41647435.9
130380000,41654952.08
130820000,41662420.38
131270000,41673015.87
131710000,41680379.75
132150000,41687697.16
132590000,41694968.55
133030000,41702194.36
133470000,41709375
133920000,41719626.17
134360000,41726708.07
134800000,41733746.13
135240000,41740740.74
135680000,41747692.31
136120000,41754601.23
136570000,41764525.99
137010000,41771341.46
137450000,41778115.5
137890000,41784848.48
138330000,41791540.79
138770000,41798192.77
139220000,41807807.81
139660000,41814371.26
140100000,41820895.52
140540000,41827380.95
140980000,41833827.89
141420000,41840236.69
141870000,41849557.52
142310000,41855882.35
142750000,41862170.09
143190000,41868421.05
143630000,41874635.57
144070000,41880813.95
144520000,41889855.07
144960000,41895953.76
145400000,41902017.29
145840000,41908045.98
146280000,41914040.11
146720000,41920000
147170000,41928774.93
147610000,41934659.09
148050000,41940509.92
148490000,41946327.68
148930000,41952112.68
149380000,41960674.16
149820000,41966386.55
150260000,41972067.04
150700000,41977715.88
151140000,41983333.33
151580000,41988919.67
152030000,41997237.57
152470000,42002754.82
152910000,42008241.76
153350000,42013698.63
153790000,42019125.68
154230000,42024523.16
154680000,42032608.7
155120000,42037940.38
155560000,42043243.24
156000000,42048517.52
156440000,42053763.44
156880000,42058981.23
157330000,42066844.92
157770000,42072000
158210000,42077127.66
158650000,42082228.12
159090000,42087301.59
159530000,42092348.28
159980000,42100000
160420000,42104986.88
160860000,42109947.64
161300000,42114882.51
161740000,42119791.67
162180000,42124675.32
162630000,42132124.35
163070000,42136950.9
163510000,42141752.58
163950000,42146529.56
164390000,42151282.05
164830000,42156010.23
165280000,42163265.31
165720000,42167938.93
166160000,42172588.83
166600000,42177215.19
167040000,42181818.18
167480000,42186397.98
167930000,42193467.34
168370000,42197994.99
168810000,42202500
169260000,42209476.31
169710000,42216417.91
170160000,42223325.06
170610000,42230198.02
171060000,42237037.04
171510000,42243842.36
171960000,42250614.25
172420000,42259803.92
172870000,42266503.67
173320000,42273170.73
173770000,42279805.35
174220000,42286407.77
174670000,42292978.21
175120000,42299516.91
175570000,42306024.1
176020000,42312500
176470000,42318944.84
176920000,42325358.85
177370000,42331742.24
177820000,42338095.24
178270000,42344418.05
178730000,42353080.57
179180000,42359338.06
179630000,42365566.04
180080000,42371764.71
180530000,42377934.27
180980000,42384074.94
181430000,42390186.92
181880000,42396270.4
182330000,42402325.58
182780000,42408352.67
183230000,42414351.85
183680000,42420323.33
184130000,42426267.28
184580000,42432183.91
185040000,42440366.97
185490000,42446224.26
185940000,42452054.79
186390000,42457858.77
186840000,42463636.36
187290000,42469387.76
187740000,42475113.12
188190000,42480812.64
188640000,42486486.49
189090000,42492134.83
189540000,42497757.85
189990000,42503355.7
190440000,42508928.57
190890000,42514476.61
191350000,42522222.22
191800000,42527716.19
192250000,42533185.84
192700000,42538631.35
193150000,42544052.86
193600000,42549450.55
194050000,42554824.56
194500000,42560175.05
194950000,42565502.18
195400000,42570806.1
195850000,42576086.96
196300000,42581344.9
196750000,42586580.09
197200000,42591792.66
197650000,42596982.76
198110000,42604301.08
198560000,42609442.06
199010000,42614561.03
199460000,42619658.12
199910000,42624733.48
200360000,42629787.23
200810000,42634819.53
201260000,42639830.51
201710000,42644820.3
202160000,42649789.03
202610000,42654736.84
203060000,42659663.87
203510000,42664570.23
203960000,42669456.07
204420000,42676409.19
204870000,42681250
205320000,42686070.69
205770000,42690871.37
206220000,42695652.17
206670000,42700413.22
207120000,42705154.64
207570000,42709876.54
208020000,42714579.06
208470000,42719262.3
208920000,42723926.38
209370000,42728571.43
209820000,42733197.56
210270000,42737804.88
210730000,42744421.91
211180000,42748987.85
211630000,42753535.35
212080000,42758064.52
212530000,42762575.45
212980000,42767068.27
213430000,42771543.09
213880000,42776000
214340000,42782435.13
214800000,42788844.62
215260000,42795228.63
215710000,42799603.17
216170000,42805940.59
216630000,42812252.96
217090000,42818540.43
217550000,42824803.15
218010000,42831041.26
218460000,42835294.12
218920000,42841487.28
219380000,42847656.25
219840000,42853801.17
220300000,42859922.18
220760000,42866019.42
221210000,42870155.04
221670000,42876208.9
222130000,42882239.38
222590000,42888246.63
223050000,42894230.77
223510000,42900191.94
223960000,42904214.56
224420000,42910133.84
224880000,42916030.53
225340000,42921904.76
225800000,42927756.65
226260000,42933586.34
226720000,42939393.94
227170000,42943289.22
227630000,42949056.6
228090000,42954802.26
228550000,42960526.32
229010000,42966228.89
229470000,42971910.11
229920000,42975700.93
230380000,42981343.28
230840000,42986964.62
231300000,42992565.06
231760000,42998144.71
232220000,43003703.7
232670000,43007393.72
233130000,43012915.13
233590000,43018416.21
234050000,43023897.06
234510000,43029357.8
234970000,43034798.53
235420000,43038391.22
235880000,43043795.62
236340000,43049180.33
236800000,43054545.45
237260000,43059891.11
237720000,43065217.39
238180000,43070524.41
238630000,43074007.22
239090000,43079279.28
239550000,43084532.37
240010000,43089766.61
240470000,43094982.08
240930000,43100178.89
241380000,43103571.43
241840000,43108734.4
242300000,43113879
242760000,43119005.33
243220000,43124113.48
243680000,43129203.54
244130000,43132508.83
244590000,43137566.14
245050000,43142605.63
245510000,43147627.42
245970000,43152631.58
246430000,43157618.21
246880000,43160839.16
247340000,43165794.07
247800000,43170731.71
248260000,43175652.17
248720000,43180555.56
249180000,43185441.94
249640000,43190311.42
250090000,43193436.96
250550000,43198275.86
251010000,43203098.11
251470000,43207903.78
251930000,43212692.97
252390000,43217465.75
252840000,43220512.82
253300000,43225255.97
253760000,43229982.96
254220000,43234693.88
254680000,43239388.79
255140000,43244067.8
255590000,43247038.92
256050000,43251689.19
256510000,43256323.78
256970000,43260942.76
257430000,43265546.22
257890000,43270134.23
258340000,43273031.83
258800000,43277591.97
259260000,43282136.89
259760000,43293333.33
260190000,43292845.26
260650000,43297342.19
261120000,43303482.59
261580000,43307947.02
262050000,43314049.59
262510000,43318481.85
262980000,43324546.95
263440000,43328947.37
263910000,43334975.37
264370000,43339344.26
264840000,43345335.52
265300000,43349673.2
265770000,43355628.06
266230000,43359934.85
266700000,43365853.66
267160000,43370129.87
267630000,43376012.97
268090000,43380258.9
268560000,43386106.62
269030000,43391935.48
269490000,43396135.27
269960000,43401929.26
270420000,43406099.52
270890000,43411858.97
271350000,43416000
271820000,43421725.24
272280000,43425837.32
272750000,43431528.66
273210000,43435612.08
273680000,43441269.84
274140000,43445324.88
274610000,43450949.37
275070000,43454976.3
275540000,43460567.82
276000000,43464566.93
276470000,43470125.79
276930000,43474097.33
277400000,43479623.82
277860000,43483568.08
278330000,43489062.5
278800000,43494539.78
279260000,43498442.37
279730000,43503888.02
280190000,43507763.98
280660000,43513178.29
281120000,43517027.86
281590000,43522411.13
282050000,43526234.57
282520000,43531587.06
282980000,43535384.62
