;Año	Mes	Abanico
1980	4	408
1980	5	590
1980	6	405.1
1980	7	355.8
1980	8	242.7
1980	9	100.5
1980	10	0.6
1980	11	46.5
1980	12	74.5
1981	1	133.3
1981	2	29.5
1981	3	64
1981	4	171.8
1981	5	673.7
1981	6	257
1981	7	266.6
1981	8	108.8
1981	9	122.2
1981	10	76.7
1981	11	31.4
1981	12	22.2
1982	1	76.2
1982	2	66.8
1982	3	70.8
1982	4	38.4
1982	5	399.3
1982	6	632
1982	7	621.9
1982	8	276.9
1982	9	395.8
1982	10	327.5
1982	11	127.7
1982	12	1.2
1983	1	110.3
1983	2	18.6
1983	3	1
1983	4	146.5
1983	5	186.8
1983	6	498.6
1983	7	335.2
1983	8	166.6
1983	9	143.6
1983	10	84.3
1983	11	8
1983	12	18.8
1984	1	32.5
1984	2	101.3
1984	3	59.3
1984	4	84.3
1984	5	534.4
1984	6	341.7
1984	7	452.5
1984	8	149
1984	9	326.6
1984	10	301.6
1984	11	37.6
1984	12	19.9
1985	1	69.6
1985	2	17.7
1985	3	28.8
1985	4	206.7
1985	5	454.1
1985	6	226.9
1985	7	290.9
1985	8	117.3
1985	9	158.5
1985	10	244.1
1985	11	66.9
1985	12	0.3
1986	1	9.7
1986	2	45.5
1986	3	117.9
1986	4	192.5
1986	5	529.1
1986	6	575.7
1986	7	151.7
1986	8	369.8
1986	9	95.6
1986	10	145.9
1986	11	316.2
1986	12	26.4
1987	1	0
1987	2	12
1987	3	90.1
1987	4	76
1987	5	171.1
1987	6	262.9
1987	7	425.9
1987	8	352.3
1987	9	239.3
1987	10	193.4
1987	11	63.6
1987	12	55.6
1988	1	33.4
1988	2	0
1988	3	101.7
1988	4	121
1988	5	114.6
1988	6	342.5
1988	7	259
1988	8	353.6
1988	9	61
1988	10	113
1988	11	29.2
1988	12	49.4
1989	1	22.8
1989	2	0
1989	3	51.9
1989	4	7.6
1989	5	91
1989	6	462
1989	7	217.5
1989	8	265.7
1989	9	74.4
1989	10	74.6
1989	11	27
1989	12	114.2
1990	1	29.3
1990	2	47.1
1990	3	101.9
1990	4	177.8
1990	5	230.7
1990	6	218.8
1990	7	196.2
1990	8	303.1
1990	9	378.1
1990	10	50
1990	11	63.7
1990	12	8.5
1991	1	20
1991	2	10.4
1991	3	30.6
1991	4	268
1991	5	633.8
1991	6	267.5
1991	7	308.7
1991	8	147.9
1991	9	244.2
1991	10	130.7
1991	11	63.7
1991	12	191.2
1992	1	15
1992	2	9
1992	3	53.4
1992	4	218.8
1992	5	962.8
1992	6	493
1992	7	197.7
1992	8	148.1
1992	9	229
1992	10	216.1
1992	11	50.7
1992	12	89.6
1993	1	80.5
1993	2	1
1993	3	133.5
1993	4	223.7
1993	5	517.9
1993	6	703.8
1993	7	357.1
1993	8	295.5
