;Año	Mes	Diguillin
1980	4	10.02
1980	5	9.35
1980	6	8.26
1980	7	7.65
1980	8	8.22
1980	9	9.36
1980	10	11.12
1980	11	12.74
1980	12	15.57
1981	1	15.91
1981	2	17.11
1981	3	16.16
1981	4	12.46
1981	5	9.37
1981	6	7.73
1981	7	7.34
1981	8	7.98
1981	9	8.91
1981	10	10.48
1981	11	13.02
1981	12	15.85
1982	1	17.68
1982	2	15.84
1982	3	15.57
1982	4	13.01
1982	5	10.15
1982	6	6.65
1982	7	7.25
1982	8	8.83
1982	9	9.29
1982	10	8.84
1982	11	11.85
1982	12	17.29
1983	1	18.63
1983	2	17.44
1983	3	15.03
1983	4	11.85
1983	5	7.94
1983	6	5.82
1983	7	6.12
1983	8	8.19
1983	9	7.93
1983	10	12.06
1983	11	15.5
1983	12	18.19
1984	1	17.73
1984	2	16.05
1984	3	15.25
1984	4	12.35
1984	5	7.21
1984	6	5.09
1984	7	6.98
1984	8	6.99
1984	9	9.41
1984	10	10.4
1984	11	12.11
1984	12	15.66
1985	1	16.99
1985	2	17.12
1985	3	15.07
1985	4	10.07
1985	5	10.15
1985	6	9.94
1985	7	7.12
1985	8	7.73
1985	9	9.44
1985	10	10.2
1985	11	14.47
1985	12	16.05
1986	1	16.75
1986	2	16.79
1986	3	14.59
1986	4	10.91
1986	5	9.01
1986	6	6.98
1986	7	8.92
1986	8	7.88
1986	9	9.21
1986	10	13.69
1986	11	11.73
1986	12	16.28
1987	1	18.38
1987	2	19.02
1987	3	17.07
1987	4	12.22
1987	5	7.9
1987	6	8.34
1987	7	7.15
1987	8	7.7
1987	9	8.74
1987	10	11.49
1987	11	15.11
1987	12	16.3
1988	1	16.68
1988	2	19.49
1988	3	15.27
1988	4	12.5
1988	5	8.48
1988	6	7.13
1988	7	7.02
1988	8	6.37
1988	9	7.76
1988	10	9.25
1988	11	13.68
1988	12	15.07
1989	1	17.96
1989	2	18.17
1989	3	14.72
1989	4	12.25
1989	5	9.56
1989	6	8.18
1989	7	6.67
1989	8	6.26
1989	9	9.18
1989	10	11.04
1989	11	13.79
1989	12	14.66
1990	1	17.25
1990	2	17.15
1990	3	15.28
1990	4	11.49
1990	5	8.42
1990	6	8.24
1990	7	6.51
1990	8	9.11
1990	9	9.18
1990	10	10.12
1990	11	12.5
1990	12	15.46
1991	1	16.79
1991	2	17.9
1991	3	15.38
1991	4	12.11
1991	5	9.95
1991	6	7.99
1991	7	6.78
1991	8	7.92
1991	9	9.6
