;año,mes,Armerillo,Ancoa,Desagüe_LagMaule,Maule_Baños,Maule_Colbun,Desagüe_LagInvernada,Melado_Lancha,Canal_ad_pehuenche,Canal_ev_pehuenche,Canal_Garzas,Canal_Melado_Hierros,Afluente_Lag_Maule,Afluente_Embalse_Melado,Afluente_Claro_Las_Garzas,Afluente_Lag__Invernada,Central_Isla (16),Canal_aduccion_Pehuenche,FIN
1949,4,0,,,,,,,,,,,6.8,31.8,7.39,23,13.2,,-999999
1949,5,0,,,,,,,,,,,15.3,263.1,26,34,21.8,,-999999
1949,6,0,,,,,,,,,,,16.5,143.6,44.07,29,23.9,,-999999
1949,7,0,,,,,,,,,,,10.7,79.4,36.91,23,18.5,,-999999
1949,8,0,,,,,,,,,,,10.8,79.4,31.42,23,18.4,,-999999
1949,9,0,,,,,,,,,,,8.4,68.2,29.18,23,23.9,,-999999
1949,10,0,,,,,,,,,,,16.4,125.9,28.2,52,88.2,,-999999
1949,11,0,,,,,,,,,,,11.4,102.3,14.05,42,56.9,,-999999
1949,12,0,,,,,,,,,,,6.8,59.8,6.84,28,28.1,,-999999
1950,1,92.06,,,,,,,,,,,8.4,48.7,6.76,28,18.1,,-999999
1950,2,67.61,,,,,,,,,,,6.8,32,6.37,23,9.2,,-999999
1950,3,51.29,,,,,,,,,,,5.3,26.6,9.64,20.5,9.8,,-999999
1950,4,103.56,,,,,,,,,,,6.6,56.8,11.08,21,10.2,,-999999
1950,5,285.23,,,,,,,,,,,9.8,62.3,27.24,23,11.1,,-999999
1950,6,264.17,,,,,,,,,,,14.8,101.7,40.59,25,16.8,,-999999
1950,7,160.13,,,,,,,,,,,11,99,21.46,22,15.2,,-999999
1950,8,312.81,,,,,,,,,,,14.8,117.1,45.26,27,20.4,,-999999
1950,9,290.77,,,,,,,,,,,11,101.9,39.3,26,26.2,,-999999
1950,10,412.97,,,,,,,,,,,14.7,204.2,28.83,43,74.9,,-999999
1950,11,598.4,,,,,,,,,,,25,264,30.38,74,116.3,,-999999
1950,12,615.55,,,,,,,,,,,29.2,239.5,51,85,113,,-999999
1951,1,344.97,,,,,,,,,,,23.4,133.9,35.12,64,55,,-999999
1951,2,161.64,,,,,,,,,,,16.6,64.7,24.51,41,20.5,,-999999
1951,3,92.4,,,,,,,,,,,10.3,40.5,19.47,29.5,17.2,,-999999
1951,4,82.86,,,,,,,,,,,7.3,28.7,17.33,23,11.9,,-999999
1951,5,115.93,,,,,,,,,,,9,69.3,9.09,22,10.5,,-999999
1951,6,332.1,,,,,,,,,,,15.3,130.9,40.79,26,18,,-999999
1951,7,436.77,,,,,,,,,,,16.8,198.2,53.74,30,23.7,,-999999
1951,8,297.13,,,,,,,,,,,16,136.1,42.24,29,22.8,,-999999
1951,9,334.4,,,,,,,,,,,11.3,122.2,37.91,27,27.7,,-999999
1951,10,422.26,,,,,,,,,,,13.4,208.5,26.5,40,67.6,,-999999
1951,11,622.1,,,,,,,,,,,27,298.7,31.46,80,125.2,,-999999
1951,12,649.52,,,,,,,,,,,32.3,251.9,55.18,94,124.6,,-999999
1952,1,322.9,,,,,,,,,,,19.6,115.5,31.37,55,45.6,,-999999
1952,2,135,,,,,,,,,,,14.5,61.3,21.94,37,17.8,,-999999
1952,3,110.81,,,,,,,,,,,9.5,33.5,20.24,28,15.8,,-999999
1952,4,80.99,0,,,,,,,,,,7.6,19.1,18.04,24,13.3,,-999999
1952,5,203.48,0,,,,,,,,,,10.6,116,10.09,25,13.6,,-999999
1952,6,174.4,16.78,,,,,,,,,,12.4,82.6,22.01,23,16.4,,-999999
1952,7,195.39,51.06,,,,,,,,,,11.2,94.6,33.71,23,17.6,,-999999
1952,8,147.39,23.82,,,,,,,,,,10.4,77.8,16.92,22,16.4,,-999999
1952,9,201.97,25.82,,,,,,,,,,11,111.2,18.05,27,29.1,,-999999
1952,10,268.87,14.84,,,,,,,,,,13.4,170.3,22.23,42,68.1,,-999999
1952,11,247.7,22.22,,,,,,,,,,15.6,126.8,18.8,52,72.8,,-999999
1952,12,129.98,21.77,,,,,,,,,,10.7,76.9,10.52,38,41.6,,-999999
1953,1,74.06,22.61,,,,,,,,,,6.8,35.6,12.61,25,16,,-999999
1953,2,58.91,21.29,,,,,,,,,,6.4,36.1,5.39,21.5,8.2,,-999999
1953,3,34.75,17.12,,,,,,,,,,5.1,25.4,6.28,19.2,8.5,,-999999
1953,4,97.07,11.62,,,0,,,,,,,5.6,27.3,8.19,18.2,7.3,,-999999
1953,5,201.36,7.43,,,0,,,,,,,8.5,89.8,10.5,20,7.9,,-999999
1953,6,192.93,0,,,0,,,,,,,11.2,92.7,25.32,20,10.9,,-999999
1953,7,197.73,0,,,0,,,,,,,10.1,90.6,41.92,20,12,,-999999
1953,8,385.52,0,,,0,,,,,,,14.9,143.9,51.81,26,17.7,,-999999
1953,9,466.47,45.61,,,0,,,,,,,16.1,161,60.75,33,34,,-999999
1953,10,328.55,12.22,,,0,,,,,,,11.5,179.6,25.34,34,57.4,,-999999
1953,11,731.5,18.47,,,0,,,,,,,37.3,421.4,72.85,102,169.8,,-999999
1953,12,855.42,11.28,,,0,,,,,,,53,461.1,59.38,142,201.6,,-999999
1954,1,493.32,11.74,,,526.65,,,,,,,36.8,253.2,24.29,92,84.1,,-999999
1954,2,254,16.39,,,276.85,,,,,,,27.8,124.9,18.49,61,33.3,,-999999
1954,3,118.26,13.52,,,158.5,,,,,,,16.8,49.7,29.11,42,27.6,,-999999
1954,4,121.75,10.48,,,166.71,,,,,,,12,39.6,23.69,33,20.6,,-999999
1954,5,143.81,7.93,,,191.68,,,,,,,8.1,66.9,8.91,20.5,10,,-999999
1954,6,311.27,39.16,,,426.93,,,,,,,17.7,148.4,40.81,29,22.4,,-999999
1954,7,231.55,16.89,,,287.75,,,,,,,12.3,113.5,21.5,24,18.5,,-999999
1954,8,225.9,14.61,,,254.8,,,,,,,11.5,89.4,31.57,23,17.4,,-999999
1954,9,260.67,10.21,,,253.19,,,,,,,10.2,94.4,32.74,25,26.1,,-999999
1954,10,382.77,9.92,,,420.94,,,,,,,12.5,213,21.42,39,63.9,,-999999
1954,11,574.97,11.53,,,685.31,,,,,,,22.9,234.2,51.47,71,106.8,,-999999
1954,12,394.26,12.63,,,437.6,,,,,,,17.2,125.1,32.93,55,66.6,,-999999
1955,1,156.48,21.97,,,186.06,,,,,,,11.8,50.8,20.72,37,27.6,,-999999
1955,2,66.57,20.52,,,102.96,,,,,,,9.3,36.6,15.88,27,11.6,,-999999
1955,3,54.4,15.93,,,66.91,,,,,,,6.9,26.5,14.99,23,11.7,,-999999
1955,4,42.92,10.35,,,62.21,,,,,,,5.1,22.7,13.78,18.4,8.6,,-999999
1955,5,92,9.71,,,105.56,,,,,,,7.1,32.4,7.61,19,8.6,,-999999
1955,6,299.1,0,,,449.05,,,,,,,12.2,86.6,33.94,22.5,15.3,,-999999
1955,7,155.81,8.29,,,167.87,,,,,,,9,47.2,18.11,19.8,13.5,,-999999
1955,8,172.32,15.53,,,191.67,,,,,,,8.1,60.4,14.68,18.6,12.3,,-999999
1955,9,195.07,15.62,,,194.13,,,,,,,6.9,82,14.36,19.4,17.3,,-999999
1955,10,306.61,0,,,329.93,,,,,,,9.7,157,19.95,31.5,49.2,,-999999
1955,11,408.03,14.12,,,0,,,,,,,19.3,205.8,24.37,60,89.2,,-999999
1955,12,212.42,37.85,,,314.13,,,,,,,13.9,102.2,25.87,45.5,53.8,,-999999
1956,1,114.14,17.55,,,160.25,,,,,,,9.5,69.9,8.67,31,22.2,,-999999
1956,2,86.86,18.11,,,0,,,,,,,9,60,7.88,26,11,,-999999
1956,3,91.82,18.56,,,0,,,,,,,6.6,54.9,5.9,22,11,,-999999
1956,4,88.41,28.71,,,0,,,,,,,6,29.7,7.74,20,9.8,,-999999
1956,5,127.58,11.47,,,0,,,,,,,8.2,77,7.02,20.5,9.7,,-999999
1956,6,110.42,7.65,,,0,,,,,,,9.7,57.2,14.06,19.2,11.8,,-999999
1956,7,226.32,51.92,,,0,,,,,,,9.1,63.4,37.73,19.6,13.2,,-999999
1956,8,223.07,23.67,,,0,,,,,,,9.8,102,25.63,20.5,14.2,,-999999
1956,9,195.8,15.15,,,0,,,,,,,7.9,94,24.16,21,19.7,,-999999
1956,10,306.07,12.81,,,0,,,,,,,11.1,186.8,20.86,34.5,53.3,,-999999
1956,11,440.67,11.92,,,0,,,,,,,21.7,267,25.53,66,95.7,,-999999
1956,12,242.39,38.61,,,372.14,,,,,,,16.6,131.6,15.1,52,60.5,,-999999
1957,1,93.69,37.17,,,109.75,,,,,,,7,55.4,6,24.5,15.3,,-999999
1957,2,79.93,34.32,,,77.68,,,,,,,8.1,37.4,4.62,24,9.1,,-999999
1957,3,46.17,30.95,,,49.88,,,,,,,6,30,5,20.5,9.3,,-999999
1957,4,42.96,24.8,,,69.11,,,,,,,5.9,25.5,6.52,20,9.9,,-999999
1957,5,124.94,0,,,171.58,,,,,,,8.4,54.8,8.71,21,10.2,,-999999
1957,6,127.93,13.37,,,189.87,,,,,,,9.7,64.8,13.92,19.4,12.3,,-999999
1957,7,197.94,36.57,,,228.6,,,,,,,9.5,93.1,19.17,20.5,14.5,,-999999
1957,8,261.71,50.18,,,351.56,,,,,,,9.9,89.7,31.8,21,15,,-999999
1957,9,216.53,23.2,,,246.4,,,,,,,8.1,85.4,27.25,21.5,20.5,,-999999
1957,10,310.68,15.46,,,372.44,,,,,,,10.7,140.7,37.92,34.5,54.8,,-999999
1957,11,382.87,23.41,,,469.8,,,,,,,16.5,164.9,39.89,53,76.3,,-999999
1957,12,261.32,26.24,,,347.73,,,,,,,12.3,95.2,24.95,41.5,47.6,,-999999
1958,1,81.68,16.62,,,0,,,,,,,8.6,50.6,7.17,29,20.1,,-999999
1958,2,54.63,15.91,,,0,,,,,,,7.4,31.8,6.41,23,9.1,,-999999
1958,3,40.12,13.44,,,0,,,,,,,5.8,25,6.02,20.5,9.7,,-999999
1958,4,48.45,11.67,,,0,,,,,,,5.2,26.5,6.36,18.4,8.3,,-999999
1958,5,120.4,50.58,,,257.93,,,,,,,9.2,58.4,8.94,22,10.3,,-999999
1958,6,300.23,87.08,,,361.07,,,,,,,14.2,100.6,39.37,24.5,16.6,,-999999
1958,7,290.68,23.55,,,366.25,,,,,,,12.9,122.3,45.48,24.5,17.8,,-999999
1958,8,280.52,41.93,,,266.4,,,,,,,12.1,100.5,37.27,23.5,16.9,,-999999
1958,9,239.03,27.83,,,300.36,,,,,,,8.9,87.1,33.28,22.5,21.3,,-999999
1958,10,461.55,22.01,,,595.33,,,,,,,21.2,195.8,22.66,58,100.9,,-999999
1958,11,590.27,20.96,,,619.6,,,,,,,23.8,263.5,28.28,70,103.4,,-999999
1958,12,361.68,23.13,,,530.6,,,,,,,27.2,160.6,23.23,79,98.6,,-999999
1959,1,178.03,21.25,,,211.73,,,,,,,19.8,82.4,15.6,54.7,42.9,,-999999
1959,2,105.84,18.42,,,111.21,,,,,,,13.9,52.1,12.88,35.3,15.6,,-999999
1959,3,80.93,12.85,,,85,,,,,,,8,39.4,16.45,24.5,15.4,,-999999
1959,4,291.27,0,,,0,,,,,,,16.3,187.8,33.07,31.7,32.5,,-999999
1959,5,246.71,28.07,,,294.2,,,,,,,10.8,138.4,38.06,29,30.9,,-999999
1959,6,265.27,26.13,,,277.74,,,,,,,18.1,126.1,38.99,29.8,20.6,,-999999
1959,7,0,53.7,,,0,,,,,,,15.8,156,65.33,29,15.6,,-999999
1959,8,215.25,18.34,,,0,,,,,,,16.3,98,20.4,29.8,11.8,,-999999
1959,9,330.67,37.63,,,341.42,,,,,,,13.3,186,41.5,30.5,13,,-999999
1959,10,302.48,17.83,,,349,,,,,,,22.4,180,20.1,50.1,88.7,,-999999
1959,11,510.4,16.52,,,501,,,,,,,33.1,280,27.8,77,119.5,,-999999
