#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1970,4,24.5,0.00,0.00,0.00,0.00,0.00,7.56,8.48,9.39,10.31,11.53
1970,5,21.9,275.10,276.80,278.50,280.10,282.40,1.86,2.97,4.08,5.19,6.68
1970,6,18.6,531.30,534.60,537.80,541.00,545.30,-1.22,-0.34,0.54,1.42,2.61
1970,7,18.3,677.90,682.00,686.10,690.20,695.70,-2.74,-1.68,-0.61,0.45,1.88
1970,8,17,101.20,101.80,102.40,103.00,103.80,-1.61,-0.58,0.44,1.46,2.83
1970,9,18.7,121.00,121.70,122.50,123.20,124.20,-0.17,1.08,2.32,3.57,5.25
1970,10,29.3,148.40,149.30,150.20,151.10,152.30,3.11,4.22,5.34,6.45,7.94
1970,11,45.3,22.20,22.40,22.50,22.60,22.80,4.93,6.17,7.41,8.65,10.31
1970,12,40.7,66.20,66.60,67.00,67.40,67.90,8.51,9.44,10.38,11.32,12.58
1971,1,26.5,0.00,0.00,0.00,0.00,0.00,10.35,11.19,12.03,12.88,14.00
1971,2,21.8,0.00,0.00,0.00,0.00,0.00,12.07,12.72,13.37,14.03,14.90
1971,3,19.2,0.00,0.00,0.00,0.00,0.00,9.86,10.50,11.13,11.77,12.62
1971,4,19.3,12.30,12.40,12.50,12.50,12.60,5.80,6.50,7.20,7.90,8.84
1971,5,22.3,449.40,452.00,454.70,457.30,460.90,1.88,3.01,4.13,5.25,6.75
1971,6,18.2,626.00,629.70,633.40,637.10,642.00,-1.23,-0.34,0.54,1.43,2.62
1971,7,22.3,271.30,272.90,274.50,276.10,278.30,-3.36,-2.05,-0.75,0.55,2.30
1971,8,24.7,211.70,212.90,214.20,215.40,217.10,-1.65,-0.60,0.45,1.50,2.91
1971,9,25.3,128.80,129.60,130.30,131.10,132.10,-0.17,1.05,2.26,3.47,5.10
1971,10,43.6,101.30,101.90,102.50,103.10,103.90,3.36,4.55,5.75,6.95,8.55
1971,11,64.2,0.00,0.00,0.00,0.00,0.00,5.54,6.93,8.33,9.72,11.58
1971,12,49.1,89.00,89.50,90.10,90.60,91.30,8.66,9.62,10.57,11.52,12.80
1972,1,34.8,26.50,26.70,26.80,27.00,27.20,12.08,13.06,14.04,15.02,16.33
1972,2,26.1,0.00,0.00,0.00,0.00,0.00,13.45,14.18,14.91,15.63,16.61
1972,3,24.3,91.40,91.90,92.50,93.00,93.70,9.60,10.22,10.84,11.46,12.30
1972,4,22.8,52.60,52.70,52.90,53.00,53.20,6.06,6.79,7.52,8.25,9.23
1972,5,34.6,1059.30,1062.30,1065.40,1068.40,1072.40,1.99,3.18,4.37,5.55,7.14
1972,6,39.7,840.70,843.10,845.50,847.90,851.10,-2.03,-0.57,0.89,2.36,4.32
1972,7,28.9,466.90,468.20,469.50,470.90,472.60,-2.75,-1.68,-0.61,0.45,1.88
1972,8,39,774.50,776.70,778.90,781.20,784.10,-1.83,-0.67,0.50,1.66,3.23
