;año,Mes,Altura embalse,Volumen embalsado observado Mm3,,,
1990, 4 ,433 ,1372.766391,,,
1990, 5 ,428 ,1172.339264,,,
1990, 6 ,422 ,974.6478436,,,
1990, 7 ,421 ,951.8555464,,,
1990, 8 ,422 ,962.437125,,,
1990, 9 ,425 ,1088.05554,,,
1990, 10 ,433 ,1351.560165,,,
1990, 11 ,435 ,1422.89576,,,
1990, 12 ,435 ,1445.80754,,,
1991, 1 ,435 ,1416.817142,,,
1991, 2 ,433 ,1366.424285,,,
1991, 3 ,432 ,1316.586841,,,
1991, 4 ,428 ,1182.362231,,,
1991, 5 ,419 ,878.2528194,,,
1991, 6 ,435 ,1448.108875,,,
1991, 7 ,436 ,1461.57014,,,
1991, 8 ,436 ,1471.223803,,,
1991, 9 ,432 ,1303.81864,,,
1991, 10 ,435 ,1441.976085,,,
1991, 11 ,436 ,1466.586043,,,
1991, 12 ,436 ,1468.131143,,,
1992, 1 ,436 ,1469.677063,,,
1992, 2 ,436 ,1452.717087,,,
1992, 3 ,431 ,1270.556206,,,
1992, 4 ,423 ,1009.8285,,,
1992, 5 ,422 ,987.568885,,,
1992, 6 ,436 ,1463.884095,,,
1992, 7 ,436 ,1468.517546,,,
1992, 8 ,433 ,1354.897436,,,
1992, 9 ,426 ,1100.378429,,,
1992, 10 ,425 ,1073.49271,,,
1992, 11 ,431 ,1265.174151,,,
1992, 12 ,436 ,1478.969819,,,
1993, 1 ,436 ,1468.904,,,
1993, 2 ,436 ,1468.904,,,
1993, 3 ,435 ,1430.5125,,,
1993, 4 ,429 ,1207.433365,,,
1993, 5 ,426 ,1110.086003,,,
1993, 6 ,426 ,1114.78786,,,
1993, 7 ,436 ,1468.904,,,
1993, 8 ,435 ,1415.29954,,,
1993, 9 ,432 ,1311.10706,,,
1993, 10 ,429 ,1196.95474,,,
1993, 11 ,425 ,1058.374125,,,
1993, 12 ,428 ,1186.522285,,,
1994, 1 ,436 ,1454.639355,,,
1994, 2 ,435 ,1424.798021,,,
1994, 3 ,433 ,1353.413691,,,
1994, 4 ,425 ,1072.173742,,,
1994, 5 ,418 ,861.9439196,,,
1994, 6 ,420 ,906.4854656,,,
1994, 7 ,436 ,1468.904,,,
1994, 8 ,425 ,1081.42376,,,
1994, 9 ,432 ,1320.612683,,,
1994, 10 ,433 ,1340.835004,,,
1994, 11 ,433 ,1371.272797,,,
1994, 12 ,436 ,1473.158384,,,
1995, 1 ,437 ,1490.237991,,,
1995, 2 ,435 ,1445.80754,,,
1995, 3 ,433 ,1347.85696,,,
1995, 4 ,429 ,1199.744526,,,
1995, 5 ,428 ,1163.733402,,,
1995, 6 ,423 ,995.1724354,,,
1995, 7 ,431 ,1295.825079,,,
1995, 8 ,433 ,1367.169646,,,
1995, 9 ,430 ,1259.088442,,,
1995, 10 ,435 ,1430.5125,,,
1995, 11 ,437 ,1491.016697,,,
1995, 12 ,437 ,1503.894965,,,
1996, 1 ,436 ,1484.792798,,,
1996, 2 ,434 ,1393.386543,,,
1996, 3 ,431 ,1274.87016,,,
1996, 4 ,428 ,1173.374122,,,
1996, 5 ,428 ,1161.329507,,,
1996, 6 ,422 ,980.6249216,,,
1996, 7 ,421 ,953.4079416,,,
1996, 8 ,421 ,961.8130376,,,
1996, 9 ,425 ,1082.417219,,,
1996, 10 ,427 ,1148.32365,,,
1996, 11 ,426.2,1114.115551,,,
1996, 12 ,424 ,1044.990358,,,
1997, 1 ,423 ,1013.028965,,,
1997, 2 ,422 ,984.40946,,,
1997, 3 ,422 ,965.2480576,,,
1997, 4 ,416 ,801.385365,,,
1997, 5 ,418 ,853.407165,,,
1997, 6 ,423 ,1000.576162,,,
1997, 7 ,437 ,1500.37717,,,
1997, 8 ,436 ,1468.131143,,,
1997, 9 ,436 ,1468.131143,,,
1997, 10 ,436 ,1486.736355,,,
