;año,mes,Ojos de Agua,Cipreses,Isla,Colbún,Machicura,San Ignacio,Pehuenche,Curillinque,Loma Alta
1990,1,,34.86,99.18,107.37,0.00,0.00,0.00,0.00,0.00
1990,2,,26.71,83.83,91.41,0.00,0.00,0.00,0.00,0.00
1990,3,,37.22,86.59,99.94,0.00,0.00,0.00,0.00,0.00
1990,4,,13.39,47.43,234.48,0.00,0.00,0.00,0.00,0.00
1990,5,,23.29,55.10,286.23,0.00,0.00,0.00,0.00,0.00
1990,6,,13.77,39.75,125.22,0.00,0.00,0.00,0.00,0.00
1990,7,,10.50,42.70,112.83,0.00,0.00,0.00,0.00,0.00
1990,8,,12.33,59.82,133.55,0.00,0.00,0.00,0.00,0.00
1990,9,,11.64,60.61,208.70,0.00,0.00,0.00,0.00,0.00
1990,10,,31.51,85.41,230.41,0.00,0.00,0.00,0.00,0.00
1990,11,,40.18,95.25,176.68,0.00,0.00,0.00,0.00,0.00
1990,12,,38.05,83.44,103.11,0.00,0.00,0.00,0.00,0.00
1991,1,,23.82,90.33,85.86,0.00,0.00,0.00,0.00,0.00
1991,2,,25.50,84.82,66.63,0.00,0.00,0.00,0.00,0.00
1991,3,,13.47,75.17,102.91,0.00,0.00,0.00,0.00,0.00
1991,4,,12.79,45.46,228.33,0.00,0.00,0.00,0.00,0.00
1991,5,,4.87,41.33,206.02,0.00,0.00,0.00,0.00,0.00
1991,6,,9.51,66.32,350.38,0.00,0.00,0.00,0.00,0.00
1991,7,,38.97,84.82,276.22,0.00,0.00,0.00,0.00,0.00
1991,8,,52.66,89.54,390.93,0.00,0.00,0.00,0.00,0.00
1991,9,,38.97,88.95,279.39,0.00,0.00,0.00,0.00,0.00
1991,10,,38.28,94.65,279.89,0.00,0.00,0.00,0.00,0.00
1991,11,,14.61,80.09,268.98,0.00,0.00,0.00,0.00,0.00
1991,12,,36.53,84.82,258.67,0.00,0.00,0.00,0.00,0.00
1992,1,,57.00,96.23,180.94,0.00,0.00,392.80,0.00,0.00
1992,2,,53.50,86.78,196.01,0.00,0.00,239.32,0.00,0.00
1992,3,,53.65,79.90,226.25,0.00,0.00,212.36,0.00,0.00
1992,4,,37.60,65.53,173.21,0.00,0.00,229.91,0.00,0.00
1992,5,,20.93,71.43,212.67,0.00,0.00,462.05,0.00,0.00
1992,6,,13.01,59.23,330.15,0.00,0.00,474.81,0.00,0.00
1992,7,,39.88,78.71,395.19,0.00,0.00,396.47,0.00,0.00
1992,8,,36.91,68.48,383.49,0.00,0.00,302.66,0.00,0.00
1992,9,,31.58,83.04,352.96,0.00,0.00,453.75,0.00,0.00
1992,10,,33.18,93.87,318.55,0.00,0.00,581.70,0.00,0.00
1992,11,,31.43,84.42,213.46,0.00,0.00,572.29,0.00,0.00
1992,12,,59.06,99.18,247.37,0.00,0.00,502.57,0.00,0.00
1993,1,,59.38,100.39,224.44,0.00,0.00,460.51,0.00,0.00
1993,2,,50.30,81.85,99.27,0.00,0.00,237.02,0.00,0.00
1993,3,,50.12,77.09,206.89,0.00,0.00,204.93,0.00,0.00
1993,4,,47.91,90.22,211.38,0.00,0.00,268.81,0.00,0.00
1993,5,,43.47,76.91,348.22,0.00,0.00,424.82,0.00,0.00
1993,6,,25.69,73.44,332.34,0.00,0.00,493.10,0.00,0.00
1993,7,,30.21,78.44,366.32,0.00,0.00,465.71,0.00,0.00
1993,8,,46.00,88.09,362.78,0.00,0.00,408.87,0.00,0.00
1993,9,,40.09,86.23,390.61,0.00,0.00,463.51,0.00,0.00
1993,10,,36.24,93.33,381.16,0.00,0.00,532.78,0.00,0.00
1993,11,,44.78,84.08,268.93,0.00,0.00,412.67,0.00,0.00
1993,12,,41.11,97.39,156.91,0.00,0.00,570.79,26.16,0.00
1994,1,,54.89,98.28,134.37,0.00,0.00,335.18,35.99,0.00
1994,2,,28.61,80.28,108.00,0.00,0.00,218.43,31.29,0.00
1994,3,,29.42,76.57,217.38,0.00,0.00,188.18,59.42,0.00
1994,4,,29.26,69.72,228.91,0.00,0.00,214.58,63.24,0.00
1994,5,,29.76,60.92,156.73,0.00,0.00,254.74,70.68,0.00
1994,6,,37.64,91.33,210.90,0.00,0.00,421.01,101.38,0.00
1994,7,,39.84,95.19,270.97,0.00,0.00,432.04,107.98,0.00
1994,8,,49.92,93.37,393.99,0.00,0.00,401.91,102.93,0.00
1994,9,,26.66,78.06,313.73,0.00,0.00,443.33,93.04,0.00
1994,10,,37.67,97.69,334.98,0.00,0.00,569.54,110.55,0.00
1994,11,,25.87,89.08,326.44,0.00,0.00,610.23,97.21,0.00
1994,12,,41.30,96.71,256.35,0.00,0.00,527.61,109.75,0.00
1995,1,,43.09,98.54,113.02,107.05,0.00,314.50,110.63,0.00
1995,2,,33.75,72.32,105.66,103.56,0.00,221.82,95.78,0.00
1995,3,,42.68,81.86,115.24,112.55,0.00,185.42,91.91,0.00
1995,4,,34.61,63.07,130.22,131.14,0.00,215.09,84.31,0.00
1995,5,,28.50,85.45,213.84,210.62,0.00,266.53,95.49,0.00
1995,6,,12.97,70.85,218.51,216.57,0.00,482.97,75.76,0.00
1995,7,,31.43,80.18,318.52,300.71,0.00,451.46,89.82,0.00
1995,8,,43.77,81.90,321.39,305.62,0.00,373.59,90.52,0.00
1995,9,,17.19,75.92,265.88,241.57,0.00,539.73,85.95,0.00
1995,10,,34.84,92.25,315.95,285.08,0.00,578.67,104.43,0.00
1995,11,,32.87,83.09,311.09,266.55,0.00,556.00,77.90,0.00
1995,12,,54.73,96.40,307.98,277.91,0.00,596.97,96.85,0.00
1996,1,,48.85,96.35,148.83,138.28,0.00,326.46,108.94,0.00
1996,2,,36.04,86.85,119.39,115.58,0.00,222.20,97.75,0.00
1996,3,,26.57,82.70,116.74,114.35,0.00,210.01,92.67,0.00
1996,4,,15.10,89.18,144.71,142.50,0.00,301.72,100.31,0.00
1996,5,,40.59,97.16,199.77,199.35,0.27,250.92,108.67,0.00
1996,6,,31.65,65.96,206.61,207.30,0.00,291.13,82.80,0.00
1996,7,,37.43,88.66,164.26,164.85,0.41,286.98,102.08,0.00
1996,8,,26.43,79.84,147.03,146.22,115.18,319.40,92.86,0.00
1996,9,,20.12,75.26,128.02,125.73,106.72,299.17,88.98,0.00
1996,10,,34.44,85.32,153.90,152.35,92.65,355.88,101.54,0.00
1996,11,,30.40,77.13,105.59,106.53,29.66,252.96,85.71,0.00
1996,12,,23.74,89.70,73.81,71.94,1.94,212.29,108.43,0.00
1997,1,,17.05,88.59,87.21,0.00,4.46,231.36,110.82,0.00
1997,2,,11.35,77.53,69.08,0.00,5.35,185.54,98.18,0.00
1997,3,,9.65,72.21,125.41,0.00,65.69,125.11,81.23,0.00
1997,4,,10.17,68.72,154.11,0.00,114.75,215.74,74.49,0.00
1997,5,,12.44,57.97,159.15,0.00,132.54,317.83,60.86,0.00
1997,6,,11.55,61.94,247.67,0.00,183.20,449.48,68.28,0.00
1997,7,,33.10,74.84,390.77,0.00,217.56,404.61,88.01,9.39
1997,8,,12.46,75.64,356.84,0.00,209.80,491.72,88.15,76.72
1997,9,,5.69,79.84,340.44,0.00,197.86,494.70,88.02,91.46
1997,10,,15.22,87.21,369.92,0.00,214.32,564.31,32.25,33.94
