;año,mes,L. LAJA,L. MAULE,E. RAPEL,L. INVERNADAD,L. CHAPO,E. COLBUN,E. MELADO,E. RALCO,L.MAULE2,L.MAULE3
1985,1,,959.34,,170.97,,842.28,,,959.34,1063.77
1985,2,,1012.58,,178.45,,901.65,,,1012.58,1119.12
1985,3,,1066.21,,178.45,,966.04,,,1066.21,1175.03
1985,4,,1012.58,,149.66,,1073.11,,,1012.58,1119.12
1985,5,,1012.58,,110.87,,1035.96,,,1012.58,1119.12
1985,6,,959.34,,76.89,,1073.11,,,959.34,1063.77
1985,7,,1012.58,,57.59,,1073.11,,,1012.58,1119.12
1985,8,,1012.58,,34.54,,1073.11,,,1012.58,1119.12
1985,9,,1012.58,,17.34,,1035.96,,,1012.58,1119.12
1985,10,,1012.58,,14.7,,1151.83,,,1012.58,1119.12
1985,11,,1012.58,,19.98,,1280.37,,,1012.58,1119.12
1985,12,,1066.21,,98.96,,1465.41,,,1066.21,1175.03
1986,1,,1120.37,,93.21,,1371.7,,,1120.37,1231.50
1986,2,,959.34,,110.87,,1236.24,,,959.34,1063.77
1986,3,,906.39,,117.02,,1035.96,,,906.39,1008.99
1986,4,,801.18,,82.17,,966.04,,,801.18,901.11
1986,5,,801.18,,66.86,,814.29,,,801.18,901.11
1986,6,,801.18,,82.17,,1111.73,,,801.18,901.11
1986,7,,853.68,,129.69,,1465.41,,,853.68,954.77
1986,8,,853.68,,104.85,,1465.41,,,853.68,954.77
1986,9,,906.39,,37.89,,1603.69,,,906.39,1008.99
1986,10,,906.39,,37.89,,1325.6,,,906.39,1008.99
1986,11,,959.34,,57.59,,1465.41,,,959.34,1063.77
1986,12,,1012.58,,93.21,,1512.29,,,1012.58,1119.12
1987,1,,1066.21,,178.45,,1512.29,,,1066.21,1175.03
1987,2,,1120.37,,178.45,,1418.41,,,1120.37,1231.50
1987,3,,1175.24,,163.69,,1193.36,,,1175.24,1288.53
1987,4,,1175.24,,136.22,,1035.96,,,1175.24,1288.53
1987,5,,1175.24,,110.87,,901.65,,,1175.24,1288.53
1987,6,,1120.37,,62.13,,901.65,,,1120.37,1231.50
1987,7,,1120.37,,25.45,,933.18,,,1120.37,1231.50
1987,8,,1120.37,,31.36,,1512.29,,,1120.37,1231.50
1987,9,,1120.37,,31.36,,1512.29,,,1120.37,1231.50
1987,10,,1120.37,,9.22,,1512.29,,,1120.37,1231.50
1987,11,,1175.24,,41.43,,1512.29,,,1175.24,1288.53
1987,12,,1175.24,,163.69,,1512.29,,,1175.24,1288.53
1988,1,,1288.1,,178.45,,1465.41,,,1288.1,1404.29
1988,2,,1346.74,,170.97,,1371.7,,,1346.74,1463.02
1988,3,,1288.1,,163.69,,1236.24,,,1288.1,1404.29
1988,4,,1288.1,,123.29,,1151.83,,,1288.1,1404.29
1988,5,,1231.05,,93.21,,966.04,,,1231.05,1346.13
1988,6,,1175.24,,53.25,,966.04,,,1175.24,1288.53
1988,7,,1120.37,,19.98,,1073.11,,,1120.37,1231.50
1988,8,,1120.37,,12.01,,1193.36,,,1120.37,1231.50
1988,9,,1120.37,,12.01,,1465.41,,,1120.37,1231.50
1988,10,,1066.21,,12.01,,1325.6,,,1066.21,1175.03
1988,11,,1066.21,,37.89,,1371.7,,,1066.21,1175.03
1988,12,,1120.37,,110.87,,1512.29,,,1120.37,1231.50
1989,1,,1175.24,,110.87,,1465.41,,,1175.24,1288.53
