Etiquetas de fila,Suma de Armerillo,Suma de Cipreses,Suma de Melado,,Etiquetas de fila,Suma de Armerillo DGA,Suma de Cipreses DGA,Suma de Melado DGA,Suma de Armerillo,Suma de Rio_Cipreses_En_Dasague_Laguna_La_Invernada,Suma de Rio_Melado_En_La_Lancha_Dga
1980,3302,1893.8,2620.8,,1980,3302,1893.8,2620.8,1758.506063,1558.620467,1914.90132
1981,2419.5,1429.8,2064.1,,1981,2419.5,1429.8,2064.1,1525.367426,1338.042735,1546.254646
1982,3947.6,2433.7,3174,,1982,3947.6,2433.7,3174,2398.157749,1912.075711,2427.303262
1983,1643.4,1101.9,1418,,1983,1643.4,1101.9,1418,2216.124539,1950.351969,2249.691573
1984,2922.1,1948,2513.9,,1984,2922.1,1948,2513.9,2339.981029,2097.825899,2506.895679
1985,1874.7,1008.8,1509.3,,1985,1874.7,1008.8,1509.3,1233.401781,1080.326382,1282.988772
1986,3095.6,2054.6,2991.7,,1986,3095.6,2054.6,2991.7,2935.461997,2568.551534,3053.07341
1987,2861.3,1564.9,2313.4,,1987,2861.3,1564.9,2313.4,3268.827113,2860.297462,3354.868028
1988,1747.2,1096,1652.9,,1988,1747.2,1096,1652.9,2396.901937,2142.937355,2461.323538
1989,1410.9,914.7,1223.7,,1989,1410.9,914.7,1223.7,1534.583833,1284.816573,1785.901517
1990,1556.1,917.5,1354.8,,1990,1556.1,917.5,1354.8,1085.220564,975.6404361,1205.279499
1991,2960.3,1913.1,2811.3,,1991,2960.3,1913.1,2811.3,2347.94689,2009.386479,2433.999578
1992,2677.5,1897.9,2586.7,,1992,2677.5,1897.9,2586.7,1823.668537,1556.455856,1912.371679
1993,2046.5,1538.9,2067.9,,1993,2046.5,1538.9,2067.9,2370.410277,2091.552341,2437.363079
1994,2074.5,1342.1,1925.6,,1994,2074.5,1342.1,1925.6,2296.787999,1979.127117,2394.1005
1995,2199.1,1431.7,2027.8,,1995,2199.1,1431.7,2027.8,1358.891662,1191.768906,1474.026467
1996,1221.1,824.1,1066.1,,1996,1221.1,824.1,1066.1,2074.563797,1828.056998,2132.584445
1997,3613.2,2170,2993,,1997,3613.2,2170,2993,2255.125886,1951.458411,2413.368451
1998,730,422.5,617,,1998,730,422.5,617,1004.980164,952.9825502,1105.55238
1999,1816,1304,1722.9,,1999,1816,1304,1722.9,2385.936095,2134.710655,2555.383457
2000,2527.9,1643.7,2480.3,,2000,2527.9,1643.7,2480.3,1316.12211,1221.2099,1419.285057
2001,2511.5,1689.5,2431,,2001,2511.5,1689.5,2431,2054.493539,1791.581837,2231.524489
2002,3469.9,2171.8,3149.9,,2002,3469.9,2171.8,3149.9,1342.796025,1130.001771,1438.901345
2003,1542.9,1079.4,1227.4,,2003,1542.9,1079.4,1227.4,1591.118678,1406.081621,1723.220665
2004,1780,1308.5,1494.2,,2004,1780,1308.5,1494.2,1731.351752,1557.975327,1789.272009
2005,3153.5,2071.8,2768.8,,2005,3153.5,2071.8,2768.8,1419.116747,1298.818834,1536.498542
2006,2595.2,1834.5,2256.4,,2006,2595.2,1834.5,2256.4,1254.405798,1128.861764,1339.50736
2007,1259.5,1017.2,1030.2,,2007,1259.5,1017.2,1030.2,2483.107619,2192.053181,2619.720624
2008,2342.9,1432.527997,2052.7,,2008,2342.9,1432.527997,2052.7,2505.186076,2234.328349,2523.199698
2009,2072,1257.00345,1882.209712,,2009,2072,1257.00345,1882.209712,1663.025133,1495.935977,1737.740132
2010,1332.5,931.5034702,1066.420616,,,,,,,,
2011,1850.9,1171.055897,1560.973042,,,,,,,,
2012,1826.5,1055.154911,1569.26741,,,,,,,,
2013,1445.5,965.273329,1394.011158,,,,,,,,
2014,1900.1,1075.594509,1528.024528,,,,,,,,
2015,1990.5,1093.666461,1621.120055,,,,,,,,
2016,994.5506955,771.4,1021.967186,,,,,,,,
2017,1586.110938,890.3,1516.190582,,,,,,,,
2018,1577.223133,883.9362489,1334.034653,,,,,,,,
2019,2.034,7.324207966,87.92037842,,,,,,,,
Total general,83879.81877,53559.14048,74127.93932,,,,,,,,
