#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1970,4,0,0,0,0,0,0,0,0
1970,5,168.5,165.4,162.3,159.2,156.1,153,149.9,146.7
1970,6,1160.2,1138.7,1117.3,1095.8,1074.4,1052.9,1031.5,1010
1970,7,472.2,463.5,454.8,446,437.3,428.6,419.9,411.1
1970,8,530.6,520.8,511,501.2,491.4,481.5,471.7,461.9
1970,9,330.7,324.6,318.4,312.3,306.2,300.1,294,287.9
1970,10,0,0,0,0,0,0,0,0
1970,11,20.9,20.5,20.1,19.7,19.4,19,18.6,18.2
1970,12,82.4,80.8,79.3,77.8,76.3,74.7,73.2,71.7
1971,1,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4
1971,2,0,0,0,0,0,0,0,0
1971,3,52.6,51.6,50.6,49.7,48.7,47.7,46.7,45.8
1971,4,194.6,191.2,187.8,184.5,181.1,177.7,174.3,170.9
1971,5,922.3,906.3,890.2,874.2,858.1,842.1,826,810
1971,6,465.7,457.6,449.5,441.4,433.3,425.2,417.1,409
1971,7,16.4,16.1,15.8,15.5,15.2,14.9,14.7,14.4
1971,8,541.9,532.5,523.1,513.6,504.2,494.8,485.3,475.9
1971,9,428.2,420.8,413.3,405.9,398.4,391,383.5,376.1
1971,10,367.8,361.4,355,348.6,342.2,335.8,329.4,323
1971,11,49.4,48.5,47.7,46.8,45.9,45.1,44.2,43.4
1971,12,3.8,3.8,3.7,3.6,3.6,3.5,3.4,3.4
1972,1,0,0,0,0,0,0,0,0
1972,2,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4
1972,3,4,4,3.9,3.8,3.8,3.7,3.6,3.6
1972,4,167.6,165.6,163.6,161.6,159.6,157.7,155.7,153.7
1972,5,602.5,595.3,588.2,581,573.8,566.7,559.5,552.3
1972,6,537.1,530.8,524.4,518,511.6,505.2,498.8,492.4
1972,7,1308.1,1292.5,1276.9,1261.4,1245.8,1230.3,1214.7,1199.1
1972,8,297.7,294.2,290.6,287.1,283.6,280,276.5,272.9
1972,9,578.6,571.8,564.9,558,551.1,544.2,537.3,530.5
