#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1970,4,133.2,130.9,128.5,126.2,123.8,121.4,119.1,116.7
1970,5,913.4,897.2,881,864.8,848.6,832.4,816.2,800
1970,6,469.4,461.1,452.7,444.4,436.1,427.8,419.5,411.1
1970,7,17.3,17,16.7,16.4,16.1,15.8,15.5,15.1
1970,8,547.2,537.5,527.8,518.1,508.4,498.7,489,479.3
1970,9,431.8,424.1,416.5,408.8,401.2,393.5,385.9,378.2
1970,10,369.6,363.1,356.5,350,343.4,336.9,330.3,323.8
1970,11,49,48.2,47.3,46.4,45.6,44.7,43.8,43
1970,12,4,3.9,3.8,3.7,3.7,3.6,3.5,3.5
1971,1,0,0,0,0,0,0,0,0
1971,2,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4
1971,3,4.1,4,3.9,3.8,3.8,3.7,3.6,3.5
1971,4,114.6,113.2,111.8,110.5,109.1,107.7,106.4,105
1971,5,612.9,605.6,598.3,591,583.8,576.5,569.2,561.9
1971,6,537.6,531.2,524.8,518.4,512,505.6,499.2,492.8
1971,7,1307.5,1292,1276.4,1260.9,1245.3,1229.8,1214.2,1198.7
1971,8,297.3,293.7,290.2,286.7,283.1,279.6,276.1,272.5
1971,9,579.3,572.4,565.5,558.6,551.8,544.9,538,531.1
1971,10,361.2,356.9,352.6,348.3,344,339.7,335.4,331.1
1971,11,306.8,303.1,299.5,295.8,292.2,288.5,284.9,281.2
1971,12,2.2,2.1,2.1,2.1,2.1,2,2,2
1972,1,0,0,0,0,0,0,0,0
1972,2,128.6,127.1,125.6,124.1,122.5,121,119.5,117.9
1972,3,137.2,135.6,134,132.3,130.7,129.1,127.4,125.8
1972,4,286.3,282.8,279.3,275.8,272.3,268.8,265.4,261.9
1972,5,1032.7,1020.1,1007.6,995,982.4,969.9,957.3,944.8
1972,6,372.7,368.2,363.7,359.1,354.6,350.1,345.5,341
1972,7,1154.5,1140.5,1126.4,1112.4,1098.3,1084.3,1070.3,1056.2
1972,8,939,927.5,916.1,904.7,893.3,881.8,870.4,859
1972,9,133.2,131.6,129.9,128.3,126.7,125.1,123.5,121.8
1972,10,174,171.8,169.7,167.6,165.5,163.4,161.3,159.2
1972,11,147.3,145.5,143.7,141.9,140.1,138.3,136.5,134.8
1972,12,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6
1973,1,12.2,12,11.9,11.7,11.6,11.4,11.3,11.2
1973,2,8.4,8.3,8.2,8.1,8,7.9,7.8,7.7
1973,3,24.6,24.3,24,23.7,23.4,23.1,22.8,22.5
1973,4,147.3,144,140.6,137.2,133.8,130.4,127,123.7
1973,5,244.1,238.4,232.8,227.2,221.6,216,210.4,204.8
1973,6,504.8,493.2,481.6,470,458.4,446.8,435.2,423.6
1973,7,252.7,246.9,241.1,235.3,229.5,223.7,217.9,212.1
1973,8,581.4,568,554.7,541.3,528,514.6,501.3,487.9
1973,9,448.5,438.2,427.9,417.6,407.3,397,386.7,376.4
1973,10,58.8,57.5,56.1,54.8,53.4,52.1,50.7,49.4
1973,11,24.7,24.2,23.6,23,22.5,21.9,21.3,20.8
1973,12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1974,1,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
1974,2,3.1,3.1,3,2.9,2.8,2.8,2.7,2.6
1974,3,0,0,0,0,0,0,0,0
1974,4,13.6,13.5,13.3,13.1,12.9,12.7,12.5,12.4
1974,5,1249.1,1232.5,1215.9,1199.2,1182.6,1166,1149.4,1132.7
1974,6,1530.2,1509.8,1489.4,1469.1,1448.7,1428.3,1408,1387.6
1974,7,388.7,383.5,378.3,373.2,368,362.8,357.6,352.5
1974,8,158.1,156,153.9,151.7,149.6,147.5,145.4,143.3
1974,9,437.1,431.3,425.4,419.6,413.8,408,402.2,396.3
1974,10,62.2,61.3,60.5,59.7,58.8,58,57.2,56.4
1974,11,49.1,48.5,47.8,47.2,46.5,45.8,45.2,44.5
1974,12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1975,1,0,0,0,0,0,0,0,0
1975,2,28.6,28.2,27.9,27.5,27.1,26.7,26.3,25.9
1975,3,0,0,0,0,0,0,0,0
1975,4,90,87.6,85.2,82.7,80.3,77.9,75.4,73
1975,5,206.3,200.7,195.1,189.6,184,178.4,172.8,167.3
1975,6,358.1,348.5,338.8,329.1,319.4,309.8,300.1,290.4
1975,7,184.8,179.8,174.8,169.9,164.9,159.9,154.9,149.9
1975,8,473.6,460.8,448,435.2,422.4,409.6,396.8,384
1975,9,176.3,171.5,166.8,162,157.2,152.5,147.7,142.9
1975,10,306.3,298,289.8,281.5,273.2,264.9,256.7,248.4
1975,11,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1
1975,12,101.3,98.6,95.8,93.1,90.4,87.6,84.9,82.2
