;Year,Month,Armerillo
1965,2,19.0
1965,3,18.8
1965,4,12.8
1965,5,9.8
1965,6,11.3
1965,7,7.4
1965,8,5.4
1965,9,9.0
1965,10,12.4
1965,11,15.8
1965,12,16.8
1966,1,19.8
1966,2,18.3
1966,3,16.7
1966,4,14.0
1966,5,11.6
1966,6,7.6
1966,7,8.4
1966,8,8.4
1966,9,11.4
1966,10,12.6
1966,11,16.2
1966,12,16.7
1967,1,19.4
1967,2,19.1
1967,3,17.3
1967,4,15.6
1967,5,10.3
1967,6,5.2
1967,7,5.6
1967,8,7.6
1967,9,10.0
1967,10,13.3
1967,11,16.2
1967,12,19.3
1968,1,19.6
1968,2,19.4
1968,3,14.9
1968,4,12.3
1968,5,8.7
1968,6,7.5
1968,7,6.4
1968,8,8.0
1968,9,10.6
1968,10,9.9
1968,11,14.8
1968,12,15.8
1969,1,20.1
1969,2,18.0
1969,3,17.3
1969,4,14.6
1969,5,11.6
1969,6,8.4
1969,7,10.0
1969,8,9.8
1969,9,11.8
1969,10,12.5
1969,11,16.3
1969,12,21.1
1970,1,20.7
1970,2,21.3
1970,3,19.2
1970,4,16.1
1970,5,12.2
1970,6,8.2
1970,7,8.2
1970,8,8.6
1970,9,9.8
1970,10,13.8
1970,11,16.4
1970,12,19.0
1971,1,20.2
1971,2,20.6
1971,3,17.5
1971,4,13.2
1971,5,11.6
1971,6,7.7
1971,7,10.4
1971,8,8.9
1971,9,10.9
1971,10,14.9
1971,11,18.2
1971,12,17.6
1972,1,21.2
1972,2,20.7
1972,3,15.5
1972,4,13.2
1972,5,10.8
1972,6,9.8
1972,7,6.4
1972,8,8.8
1972,9,10.6
1972,10,13.7
1972,11,17.2
1972,12,22.3
1973,1,23.0
1973,2,21.6
1973,3,19.7
1973,4,16.7
1973,5,14.1
1973,6,10.4
1973,7,9.0
1973,8,11.1
1973,9,11.9
1973,10,13.0
1973,11,15.7
1973,12,18.6
1974,1,19.8
1974,2,19.5
1974,3,17.1
1974,4,14.6
1974,5,11.0
