#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1970,4,4.693,5.470,6.247,7.024,7.802,8.579,9.356,10.133
1970,5,-0.358,0.680,1.717,2.755,3.792,4.829,5.867,6.904
1970,6,-1.911,-1.334,-0.757,-0.180,0.396,0.973,1.550,2.127
1970,7,-0.770,-0.597,-0.425,-0.252,-0.080,0.093,0.265,0.438
1970,8,-3.175,-2.266,-1.356,-0.446,0.463,1.373,2.283,3.192
1970,9,-2.638,-1.383,-0.128,1.127,2.383,3.638,4.893,6.149
1970,10,0.590,1.384,2.177,2.970,3.763,4.556,5.350,6.143
1970,11,2.069,3.166,4.264,5.361,6.459,7.556,8.654,9.751
1970,12,5.745,6.588,7.431,8.275,9.118,9.961,10.804,11.647
1971,1,8.638,9.506,10.374,11.243,12.111,12.980,13.848,14.716
1971,2,10.697,11.368,12.038,12.709,13.380,14.050,14.721,15.392
1971,3,8.373,9.016,9.659,10.302,10.945,11.588,12.231,12.874
1971,4,4.958,5.780,6.601,7.422,8.243,9.064,9.886,10.707
1971,5,-0.314,0.598,1.509,2.421,3.333,4.245,5.157,6.069
1971,6,-4.841,-3.379,-1.918,-0.457,1.004,2.465,3.927,5.388
1971,7,-8.729,-6.773,-4.817,-2.861,-0.905,1.050,3.006,4.962
1971,8,-2.439,-1.741,-1.042,-0.343,0.356,1.055,1.754,2.453
1971,9,-2.576,-1.350,-0.125,1.101,2.326,3.551,4.777,6.002
1971,10,0.685,1.606,2.527,3.447,4.368,5.289,6.210,7.130
1971,11,2.125,3.252,4.379,5.506,6.634,7.761,8.888,10.016
1971,12,6.528,7.486,8.444,9.403,10.361,11.319,12.277,13.235
1972,1,8.955,9.856,10.756,11.656,12.557,13.457,14.357,15.258
1972,2,11.385,12.099,12.813,13.527,14.241,14.955,15.668,16.382
1972,3,7.749,8.344,8.939,9.534,10.129,10.724,11.319,11.914
1972,4,4.069,4.743,5.417,6.091,6.765,7.439,8.113,8.787
1972,5,-0.455,0.865,2.184,3.504,4.823,6.143,7.462,8.782
1972,6,-1.816,-1.268,-0.720,-0.171,0.377,0.925,1.473,2.021
1972,7,-4.779,-3.709,-2.638,-1.567,-0.496,0.575,1.646,2.717
1972,8,-4.228,-3.017,-1.805,-0.594,0.617,1.828,3.039,4.251
1972,9,-2.150,-1.127,-0.104,0.919,1.942,2.965,3.988,5.010
1972,10,0.806,1.889,2.971,4.054,5.137,6.220,7.302,8.385
1972,11,2.092,3.203,4.313,5.423,6.533,7.643,8.753,9.864
1972,12,6.027,6.912,7.796,8.681,9.566,10.450,11.335,12.219
1973,1,8.857,9.747,10.637,11.528,12.418,13.309,14.199,15.089
1973,2,11.099,11.795,12.490,13.186,13.882,14.578,15.274,15.970
1973,3,9.360,10.079,10.797,11.516,12.235,12.954,13.672,14.391
1973,4,4.082,4.758,5.435,6.111,6.787,7.463,8.139,8.815
1973,5,-0.441,0.838,2.117,3.396,4.675,5.954,7.233,8.512
1973,6,-5.050,-3.526,-2.001,-0.477,1.048,2.572,4.097,5.621
1973,7,-3.013,-2.338,-1.663,-0.988,-0.313,0.363,1.038,1.713
1973,8,-3.040,-2.169,-1.298,-0.427,0.444,1.314,2.185,3.056
1973,9,-1.947,-1.021,-0.094,0.832,1.759,2.685,3.611,4.538
1973,10,0.669,1.569,2.468,3.367,4.266,5.165,6.064,6.963
1973,11,1.932,2.957,3.982,5.007,6.032,7.058,8.083,9.108
1973,12,6.005,6.887,7.768,8.649,9.531,10.412,11.294,12.175
1974,1,8.723,9.600,10.477,11.354,12.231,13.108,13.986,14.863
1974,2,10.386,11.038,11.689,12.340,12.991,13.642,14.294,14.945
1974,3,9.461,10.187,10.914,11.640,12.367,13.093,13.820,14.546
1974,4,5.131,5.980,6.830,7.680,8.530,9.379,10.229,11.079
1974,5,-0.302,0.574,1.451,2.327,3.203,4.080,4.956,5.832
1974,6,-5.089,-3.553,-2.017,-0.480,1.056,2.592,4.128,5.665
1974,7,-3.222,-2.500,-1.778,-1.056,-0.334,0.388,1.110,1.831
1974,8,-5.535,-3.949,-2.364,-0.778,0.808,2.393,3.979,5.565
1974,9,-2.682,-1.406,-0.130,1.146,2.422,3.698,4.973,6.249
1974,10,0.681,1.597,2.512,3.427,4.342,5.258,6.173,7.088
1974,11,1.927,2.949,3.972,4.994,6.016,7.039,8.061,9.084
1974,12,6.072,6.963,7.854,8.745,9.636,10.527,11.419,12.310
1975,1,8.614,9.480,10.347,11.213,12.079,12.945,13.811,14.677
1975,2,10.965,11.653,12.340,13.028,13.715,14.403,15.090,15.778
1975,3,9.696,10.440,11.185,11.930,12.674,13.419,14.163,14.908
1975,4,4.459,5.198,5.936,6.675,7.413,8.152,8.891,9.629
1975,5,-0.275,0.523,1.320,2.118,2.916,3.713,4.511,5.308
1975,6,-1.927,-1.345,-0.764,-0.182,0.400,0.981,1.563,2.145
1975,7,-1.587,-1.231,-0.876,-0.520,-0.165,0.191,0.547,0.902
1975,8,-3.772,-2.691,-1.611,-0.530,0.550,1.631,2.712,3.792
1975,9,-2.958,-1.551,-0.143,1.264,2.672,4.079,5.487,6.894
1975,10,0.723,1.695,2.667,3.638,4.610,5.582,6.553,7.525
1975,11,2.213,3.388,4.562,5.736,6.911,8.085,9.259,10.434
1975,12,6.439,7.385,8.330,9.275,10.220,11.165,12.110,13.056
1976,1,9.278,10.211,11.143,12.076,13.009,13.942,14.874,15.807
1976,2,11.846,12.589,13.332,14.075,14.817,15.560,16.303,17.046
1976,3,8.669,9.334,10.000,10.666,11.332,11.997,12.663,13.329
1976,4,4.669,5.443,6.216,6.989,7.763,8.536,9.309,10.083
1976,5,-0.330,0.628,1.587,2.545,3.504,4.463,5.421,6.380
1976,6,-4.841,-3.379,-1.918,-0.457,1.004,2.466,3.927,5.388
1976,7,-5.242,-4.068,-2.893,-1.718,-0.544,0.631,1.805,2.980
1976,8,-4.900,-3.496,-2.092,-0.689,0.715,2.119,3.522,4.926
1976,9,-3.049,-1.598,-0.148,1.303,2.753,4.204,5.655,7.105
1976,10,0.678,1.589,2.500,3.411,4.321,5.232,6.143,7.054
1976,11,2.816,4.310,5.804,7.298,8.792,10.286,11.781,13.275
1976,12,5.992,6.871,7.751,8.630,9.510,10.389,11.269,12.148
1977,1,8.110,8.925,9.741,10.556,11.371,12.187,13.002,13.818
1977,2,8.350,8.873,9.397,9.920,10.444,10.967,11.491,12.014
1977,3,10.098,10.874,11.649,12.425,13.200,13.976,14.751,15.527
1977,4,5.201,6.062,6.924,7.785,8.647,9.508,10.369,11.231
1977,5,-0.424,0.806,2.036,3.267,4.497,5.727,6.958,8.188
1977,6,-2.857,-1.994,-1.132,-0.270,0.593,1.455,2.317,3.180
1977,7,-2.793,-2.167,-1.541,-0.916,-0.290,0.336,0.962,1.588
1977,8,-2.245,-1.602,-0.959,-0.316,0.328,0.971,1.614,2.257
1977,9,-2.754,-1.444,-0.133,1.177,2.487,3.797,5.107,6.417
1977,10,0.677,1.587,2.498,3.408,4.318,5.228,6.138,7.048
1977,11,2.437,3.730,5.023,6.316,7.609,8.902,10.194,11.487
1977,12,5.485,6.290,7.095,7.900,8.705,9.510,10.315,11.120
1978,1,8.943,9.842,10.742,11.641,12.540,13.439,14.338,15.237
1978,2,9.999,10.626,11.253,11.880,12.507,13.134,13.761,14.388
