;año,mes,73001,73031,73061,73081,73082,73083,73084,73141,73171,73172,73173,73174,73201,73211,73212,73214,73215,73221,73222,73301,73311,73321,73351,73352,73353,73361,73391,73411,73431,73432,73501,73502,73511,73541,73542,73551,73552,73554,73555,73561,73581,73584,73591,73592,73721,73741,73742,73743,73781,73782,73783,73784,73791,73811,73831,DUMMY
1950,1,,,,,,,,,,,,,,,,,,,,4.355999947,,,,,,0.204999998,,,,,1.054999948,,,22.84000015,,,,10.92000008,,,,,,,,,,,,,,,,,,-9999
1950,2,,,,,,,,,,,,,,,,,,,,1.93900001,,,,,,0.181999996,,,,,0.31099999,,,17.37999916,,,,,,,,,,,,,,,,,,,,,,-9999
1950,3,,,,,,,,,,,,,,,,,,,,2.398999929,,,,,,0.221000001,,,,,0.165000007,,,16.36000061,,,,8.043999672,,,,,,,,,,,,,,,,,,-9999
1950,4,,,,,,,,,,,,,,,,,,,,31.37000084,,,,,,1.366000056,,,,,3.575999975,,,34.47000122,,,,15.75,,,,,,,,,,,,,,,,,,-9999
1950,5,,,,,,,,,,,,,,,,,,,,157.5,,,,,,17.40999985,,,,,30.30999947,,,71.87999725,,,,40.79999924,,,,,,,,,,,,,,,,,,-9999
1950,6,,,,,,,,,,,,,,,,,,,,91.05000305,,,,,,30.06999969,,,,,37.15000153,,,58.33000183,,,,26.28000069,,,,,,,,,,,,,,,,,,-9999
1950,7,,,,,,,,,,,,,,,,,,,,41.22999954,,,,,,12.39000034,,,,,8.723999977,,,29.89999962,,,,14.61999989,,,,,,,,,,,,,,,,,,-9999
1950,8,,,,,,,,,,,,,,,,,,,,138.8000031,,,,,,21.86000061,,,,,23.63999939,,,72.79000092,,,,26.73999977,,,,,,,,,,,,,,,,,,-9999
1950,9,,,,,,,,,,,,,,,,,,,,79.72000122,,,,,,24.54000092,,,,,25.82999992,,,48.84000015,,,,28.38999939,,,,,,,,,,,,,,,,,,-9999
1950,10,,,,,,,,,,,,,,,,,,,,50.90999985,,,,,,4.828999996,,,,,6.077000141,,,40.25999832,,,,16.20999908,,,,,,,,,,,,,,,,,,-9999
1950,11,,,,,,,,,,,,,,,,,,,,76.25,,,,,,4.139999866,,,,,6.846000195,,,47.31999969,,,,19.93000031,,,,,,,,,,,,,,,,,,-9999
1950,12,,,,,,,,,,,,,,,,,,,,28.04999924,,,,,,1.465999961,,,,,1.654999971,,,34.97999954,,,,9.902000427,,,,,,,,,,,,,,,,,,-9999
1951,1,,,,,,,,,,,,,,,,,,,,31.79999924,,,,,,0.839999974,,,,,,,,37.13999939,,,,,,,,,,,,,,,,,,,,,,-9999
1951,2,,,,,,,,,,,,,,,,,,,,13.85999966,,,,,,0.637000024,,,,,,,,30.98999977,,,,11.5,,,,,,,,,,,,,,,,,,-9999
1951,3,,,,,,,,,,,,,,,,,,,,6.217999935,,,,,,0.463,,,,,,,,21.84000015,,,,7.902999878,,,,,,,,,,,,,,,,,,-9999
1951,4,,,,,,,,,,,,,,,,,,,,4.047999859,,,,,,0.488999993,,,,,,,,16.64999962,,,,5.612999916,,,,,,,,,,,,,,,,,,-9999
1951,5,,,,,,,,,,,,,,,,,,,,61.59999847,,,,,,4.730999947,,,,,,,,51.38999939,,,,7.096000195,,,,,,,,,,,,,,,,,,-9999
1951,6,,,,,,,,,,,,,,,,,,,,126.3000031,,,,,,27.27000046,,,,,24.59000015,,,28.34000015,,,,72.06999969,,,,,,,,,,,,,,,,,,-9999
