;año,mes,L. LAJA,L. MAULE,E. RAPEL,L. INVERNADAD,L. CHAPO,E. COLBUN,E. MELADO,E. RALCO,,,
1985 ,1,"1,353 ","2,174 ",105 ,"1,317 ",0 ,419 ,0 ,0 ,,,
1985 ,2,"1,353 ","2,175 ",105 ,"1,318 ",0 ,421 ,0 ,0 ,,,
1985 ,3,"1,351 ","2,176 ",105 ,"1,318 ",0 ,423 ,0 ,0 ,,,
1985 ,4,"1,349 ","2,175 ",104 ,"1,314 ",0 ,426 ,0 ,0 ,,,
1985 ,5,"1,347 ","2,175 ",100 ,"1,308 ",0 ,425 ,0 ,0 ,,,
1985 ,6,"1,347 ","2,174 ",101 ,"1,302 ",0 ,426 ,0 ,0 ,,,
1985 ,7,"1,347 ","2,175 ",101 ,"1,298 ",0 ,426 ,0 ,0 ,,,
1985 ,8,"1,348 ","2,175 ",103 ,"1,292 ",0 ,426 ,0 ,0 ,,,
1985 ,9,"1,346 ","2,175 ",101 ,"1,286 ",0 ,425 ,0 ,0 ,,,
1985 ,10,"1,345 ","2,175 ",99 ,"1,285 ",0 ,428 ,0 ,0 ,,,
1985 ,11,"1,345 ","2,175 ",103 ,"1,287 ",0 ,431 ,0 ,0 ,,,
1985 ,12,"1,346 ","2,176 ",105 ,"1,306 ",0 ,435 ,0 ,0 ,,,
1986 ,1,"1,344 ","2,177 ",105 ,"1,305 ",0 ,433 ,0 ,0 ,,,
1986 ,2,"1,341 ","2,174 ",105 ,"1,308 ",0 ,430 ,0 ,0 ,,,
1986 ,3,"1,339 ","2,173 ",105 ,"1,309 ",0 ,425 ,0 ,0 ,,,
1986 ,4,"1,337 ","2,171 ",105 ,"1,303 ",0 ,423 ,0 ,0 ,,,
1986 ,5,"1,335 ","2,171 ",103 ,"1,300 ",0 ,418 ,0 ,0 ,,,
1986 ,6,"1,337 ","2,171 ",104 ,"1,303 ",0 ,427 ,0 ,0 ,,,
1986 ,7,"1,340 ","2,172 ",102 ,"1,311 ",0 ,435 ,0 ,0 ,,,
1986 ,8,"1,341 ","2,172 ",102 ,"1,307 ",0 ,435 ,0 ,0 ,,,
1986 ,9,"1,343 ","2,173 ",105 ,"1,293 ",0 ,438 ,0 ,0 ,,,
1986 ,10,"1,343 ","2,173 ",103 ,"1,293 ",0 ,432 ,0 ,0 ,,,
1986 ,11,"1,345 ","2,174 ",101 ,"1,298 ",0 ,435 ,0 ,0 ,,,
1986 ,12,"1,347 ","2,175 ",103 ,"1,305 ",0 ,436 ,0 ,0 ,,,
1987 ,1,"1,348 ","2,176 ",105 ,"1,318 ",0 ,436 ,0 ,0 ,,,
