Year,Month,Rio_Melado_En_La_Lancha_Dga
2001,1,1.373
2001,2,1.9271
2001,3,5.6481
2001,4,102.11
2001,5,503.83
2001,6,401.54
2001,7,571.22
2001,8,112.14
2001,9,92.67
2001,10,58.768
2001,11,45.983
2001,12,94.401
2002,1,4.3472
2002,2,10.959
2002,3,38.618
2002,4,51.065
2002,5,63.722
2002,6,631.87
2002,7,487.7
2002,8,412.19
2002,9,292.49
2002,10,174.2
2002,11,84.044
2002,12,75.829
2003,1,46.606
2003,2,13.407
2003,3,9.8948
2003,4,141.89
2003,5,187.17
2003,6,532.77
2003,7,104.37
2003,8,414.5
2003,9,61.247
2003,10,99.025
2003,11,4.8898
2003,12,56.693
2004,1,26.931
2004,2,4.4486
2004,3,13.206
2004,4,182.58
2004,5,523.42
2004,6,274.91
2004,7,362.97
2004,8,129.09
2004,9,143.31
2004,10,29.248
2004,11,29.679
2004,12,117.22
2005,1,4.0612
2005,2,10.622
2005,3,37.736
2005,4,281.18
2005,5,98.205
2005,6,672.72
2005,7,461.68
2005,8,54.194
2005,9,349.86
2005,10,66.336
2005,11,10.176
2005,12,163.51
2006,1,1.5873
2006,2,7.6767
2006,3,52.798
2006,4,121.1
2006,5,447.36
2006,6,593.66
2006,7,143.28
2006,8,52.284
2006,9,388.31
2006,10,304.07
2006,11,63.195
2006,12,56.114
2007,1,3.0881
2007,2,28.114
2007,3,153.34
2007,4,396.08
2007,5,175.27
2007,6,567.76
2007,7,719.68
2007,8,228.07
2007,9,87.591
2007,10,205.43
2007,11,42.596
2007,12,69.23
2008,1,7.8975
2008,2,15.838
2008,3,0
2008,4,16.376
2008,5,147.48
2008,6,372.26
2008,7,324.91
2008,8,320.75
2008,9,92.266
2008,10,1.7474
2008,11,53.267
2008,12,193.37
2009,1,35.119
2009,2,10.551
2009,3,0.35338
2009,4,219.12
2009,5,441.07
2009,6,414.08
2009,7,39.577
2009,8,331.02
2009,9,122.37
2009,10,24.199
2009,11,148.28
2009,12,27.382
2010,1,2.2004
2010,2,4.0992
2010,3,54.914
2010,4,361.7
2010,5,232.53
2010,6,358.81
2010,7,131.71
2010,8,23.022
2010,9,38.194
2010,10,43.094
2010,11,2.5103
2010,12,96.008
2011,1,5.2098
2011,2,5.6836
2011,3,48.513
2011,4,21.991
2011,5,760.01
2011,6,398.97
2011,7,71.315
2011,8,252.42
2011,9,197.56
2011,10,91.243
2011,11,41.046
2011,12,5.3694
2012,1,6.1321
2012,2,4.3991
2012,3,155.84
2012,4,1.2495
2012,5,372.13
2012,6,97.266
2012,7,492.03
2012,8,165.01
2012,9,263.43
2012,10,235.14
2012,11,184.53
2012,12,157.55
2013,1,6.849
2013,2,0
2013,3,24.304
2013,4,136.66
2013,5,136.12
2013,6,892.4
2013,7,368.11
2013,8,42.398
2013,9,54
2013,10,57.503
2013,11,42.443
2013,12,27.604
2014,1,0
2014,2,53.942
2014,3,22.878
2014,4,261.31
2014,5,96.311
2014,6,325.71
2014,7,330.84
2014,8,39.63
2014,9,72.049
2014,10,134.25
2014,11,1.5157
2014,12,0
2015,1,3.1635
2015,2,2.6219
2015,3,37.502
2015,4,314.56
2015,5,285.32
2015,6,96.005
2015,7,32.538
2015,8,146.03
2015,9,96.249
2015,10,190.5
2015,11,175.96
2015,12,3.8578
2016,1,9.044
2016,2,0.42081
2016,3,0
2016,4,100.88
2016,5,259.07
2016,6,575.53
2016,7,399.01
2016,8,138.37
2016,9,334.71
2016,10,134.53
2016,11,96.339
2016,12,0
2017,1,20.354
2017,2,5.4258
2017,3,0
2017,4,189.19
2017,5,277.12
2017,6,288.19
2017,7,900.79
2017,8,113.01
2017,9,88.902
2017,10,195.18
2017,11,40.308
2017,12,34.824
2018,1,0.68024
2018,2,9.5583
2018,3,12.365
2018,4,54.568
2018,5,181.93
2018,6,350.37
2018,7,693.12
2018,8,36.59
2018,9,47.442
2018,10,76.455
2018,11,226.49
2018,12,4.8491
2019,1,12.749
2019,2,0.026704
2019,3,56.546
2019,4,88.066
2019,5,350.67
2019,6,427.16
2019,7,317.03
2019,8,170.94
2019,9,105.46
2019,10,31.133
2019,11,31.823
2019,12,0
2020,1,0
2020,2,0
2020,3,5.8114
2020,4,452.71
2020,5,322.2
2020,6,726.41
2020,7,524.17
2020,8,98.162
2020,9,130.05
2020,10,201.69
2020,11,42.757
2020,12,4.1794
2021,1,0
2021,2,10.767
2021,3,71.54
2021,4,119.31
2021,5,487.68
2021,6,570.95
2021,7,274.97
2021,8,127.51
2021,9,184.11
2021,10,55.307
2021,11,50.606
2021,12,0
2022,1,2.6248
2022,2,7.67
2022,3,0
2022,4,62.316
2022,5,171.57
2022,6,725.79
2022,7,122.59
2022,8,185.94
2022,9,161.33
2022,10,201.38
2022,11,31.405
2022,12,13.827
2023,1,23.69
2023,2,12.54
2023,3,54.968
2023,4,213.91
2023,5,260.92
2023,6,629.67
2023,7,244.82
2023,8,249.59
2023,9,41.762
2023,10,18.853
2023,11,206.11
2023,12,4.4823
2024,1,11.655
2024,2,7.2056
2024,3,9.3282
2024,4,201.3
2024,5,849.66
2024,6,54.82
2024,7,256.68
2024,8,42.657
2024,9,58.766
2024,10,127.65
2024,11,36.725
2024,12,0
2025,1,20.511
2025,2,0
2025,3,87.434
2025,4,43.934
2025,5,461.26
2025,6,300.44
2025,7,141.63
2025,8,36.699
2025,9,213.32
2025,10,55.984
2025,11,234.85
2025,12,26.697
