Year,Month,Armerillo,Rio_Cipreses_En_Dasague_Laguna_La_Invernada,Rio_Melado_En_La_Lancha_Dga
1980,4,859.7,432.9,651.7
1980,5,696.2,470.6,589.2
1980,6,685.7,425.3,570.4
1980,7,532.8,299.2,430.2
1980,8,173.3,79.2,145.3
1980,9,179.3,88.7,113.1
1980,10,0.0,0.1,0.0
1980,11,77.0,47.2,46.0
1980,12,98.0,50.6,74.9
1981,1,11.5,3.8,11.7
1981,2,4.0,0.0,0.1
1981,3,12.0,10.2,15.4
1981,4,177.6,117.2,151.4
1981,5,1145.7,639.7,1073.1
1981,6,124.7,109.3,125.5
1981,7,286.2,153.1,189.9
1981,8,402.8,256.9,296.9
1981,9,188.5,80.8,144.1
1981,10,58.5,49.0,46.7
1981,11,8.0,9.0,9.3
1981,12,0.0,0.8,0.0
1982,1,12.0,7.6,17.4
1982,2,5.6,17.3,13.5
1982,3,51.0,63.0,38.2
1982,4,61.0,38.2,39.9
1982,5,653.0,380.6,562.1
1982,6,981.0,676.7,797.0
1982,7,804.0,467.3,608.3
1982,8,403.3,257.0,319.9
1982,9,603.0,323.0,435.4
1982,10,335.6,163.6,294.1
1982,11,38.0,39.2,48.2
1982,12,0.1,0.2,0.0
1983,1,37.9,57.3,37.7
1983,2,15.5,18.7,16.4
1983,3,1.3,1.3,0.5
1983,4,69.6,44.9,56.5
1983,5,226.0,127.4,188.6
1983,6,413.7,336.4,436.9
1983,7,497.9,253.0,348.6
1983,8,250.0,182.0,236.2
1983,9,112.6,68.3,82.2
1983,10,17.9,8.0,9.6
1983,11,0.5,4.6,4.6
1983,12,0.5,0.0,0.2
1984,1,0.0,0.2,8.2
1984,2,8.4,0.1,9.4
1984,3,16.3,27.5,8.8
1984,4,45.0,32.0,35.8
1984,5,618.5,424.4,518.8
1984,6,404.5,301.1,371.1
1984,7,1104.7,647.8,921.4
1984,8,176.9,129.8,161.0
1984,9,284.9,186.0,252.4
1984,10,243.0,171.4,206.8
1984,11,19.9,27.7,17.7
1984,12,0.0,0.0,2.5
1985,1,2.2,0.8,0.0
1985,2,0.0,0.0,0.0
1985,3,48.0,18.1,25.6
1985,4,113.0,94.6,93.5
1985,5,390.7,221.6,322.4
1985,6,221.0,104.9,167.7
1985,7,472.1,227.7,407.5
1985,8,37.0,19.7,25.5
1985,9,211.3,112.8,146.8
1985,10,311.4,195.9,271.9
1985,11,68.0,12.7,48.4
1985,12,0.0,0.0,0.0
1986,1,2.0,6.0,3.0
1986,2,0.0,5.6,7.0
1986,3,31.9,34.9,32.0
1986,4,335.1,196.1,308.2
1986,5,552.7,488.6,781.2
1986,6,966.0,615.0,858.2
1986,7,242.5,138.2,178.5
1986,8,451.7,250.8,362.5
1986,9,61.9,37.2,48.3
1986,10,130.1,110.7,92.0
1986,11,321.7,170.4,319.3
1986,12,0.0,1.1,1.5
1987,1,0.0,0.0,0.0
1987,2,0.0,0.4,0.0
1987,3,96.8,62.0,76.4
1987,4,12.6,25.0,15.5
1987,5,302.4,133.0,261.4
1987,6,158.1,64.6,134.4
1987,7,1241.0,662.4,1138.2
1987,8,528.9,298.5,425.4
1987,9,252.5,159.4,215.5
1987,10,264.9,150.7,34.7
1987,11,1.6,0.7,0.4
1987,12,2.5,8.2,11.5
1988,1,0.0,0.0,0.0
1988,2,0.0,0.0,2.4
1988,3,64.1,19.7,52.6
1988,4,60.3,22.2,49.3
1988,5,112.7,55.5,69.6
1988,6,484.0,321.7,521.7
1988,7,293.0,219.0,300.4
1988,8,606.5,362.8,549.1
1988,9,56.4,44.0,48.4
1988,10,55.2,32.4,47.4
1988,11,15.0,18.7,12.0
1988,12,0.0,0.0,0.0
1989,1,5.5,2.3,3.5
1989,2,0.0,0.0,0.0
1989,3,13.0,12.9,8.6
1989,4,6.5,6.4,3.1
1989,5,66.7,66.4,87.7
1989,6,399.5,203.4,341.9
1989,7,389.7,238.5,320.8
1989,8,378.0,281.9,317.2
1989,9,65.0,50.7,59.0
1989,10,50.0,28.6,44.4
1989,11,6.0,7.4,5.0
1989,12,31.0,16.2,32.5
1990,1,6.0,3.2,7.7
1990,2,3.0,0.3,1.4
1990,3,339.2,97.6,216.0
1990,4,68.9,85.6,126.9
1990,5,179.1,104.8,149.5
1990,6,116.5,66.6,74.0
1990,7,185.9,125.4,154.1
1990,8,140.9,92.4,126.1
1990,9,378.6,236.8,381.5
1990,10,55.5,45.5,48.4
1990,11,82.5,51.2,59.7
1990,12,0.0,8.1,9.5
1991,1,11.5,8.2,7.8
1991,2,0.0,0.0,0.0
1991,3,0.0,0.2,0.1
1991,4,150.0,87.0,132.9
1991,5,1091.2,658.4,1279.8
1991,6,438.1,289.7,415.0
1991,7,557.2,377.3,342.3
1991,8,85.0,34.2,59.9
1991,9,170.7,114.9,171.3
1991,10,190.8,108.2,157.9
1991,11,55.3,33.5,42.8
1991,12,210.5,201.5,201.5
1992,1,3.2,1.2,1.5
1992,2,8.0,11.5,12.7
1992,3,62.0,18.1,63.1
1992,4,287.6,161.8,283.6
1992,5,951.5,636.2,953.4
1992,6,761.0,590.2,705.0
1992,7,159.3,163.9,156.5
1992,8,199.6,119.0,185.7
1992,9,165.9,134.6,132.1
1992,10,51.3,34.7,52.9
1992,11,25.1,15.1,35.2
1992,12,3.0,11.6,5.0
1993,1,8.7,9.2,5.5
1993,2,0.0,9.9,0.0
1993,3,0.0,0.0,0.0
1993,4,157.5,81.1,132.0
1993,5,517.6,412.0,533.3
1993,6,700.9,450.7,765.6
1993,7,223.9,204.4,189.7
1993,8,186.7,153.4,188.3
1993,9,38.9,52.3,44.6
1993,10,65.4,58.9,55.2
1993,11,33.5,43.2,37.2
1993,12,113.4,63.8,116.5
1994,1,0.0,0.0,0.2
1994,2,0.0,3.3,8.9
1994,3,2.6,4.0,2.4
1994,4,222.4,115.5,237.1
1994,5,243.6,142.0,198.9
1994,6,427.9,311.0,421.4
1994,7,834.5,511.7,736.5
1994,8,48.9,23.6,40.1
1994,9,164.7,127.3,160.5
1994,10,53.4,37.3,56.6
1994,11,12.0,10.3,8.7
1994,12,64.5,56.1,54.3
1995,1,0.0,0.0,0.0
1995,2,6.0,5.1,4.3
1995,3,0.0,0.3,0.0
1995,4,338.8,247.8,277.5
1995,5,96.5,97.4,84.8
1995,6,615.0,366.0,565.3
1995,7,677.8,429.9,613.4
1995,8,319.0,169.4,319.2
1995,9,80.0,41.0,77.6
1995,10,65.0,72.6,82.2
1995,11,1.0,2.2,3.5
1995,12,0.0,0.0,0.0
1996,1,2.0,2.7,1.5
1996,2,2.0,2.0,15.5
1996,3,41.9,22.5,24.5
1996,4,70.5,76.9,77.0
1996,5,113.2,96.0,106.3
1996,6,349.0,259.3,340.1
1996,7,132.0,68.4,118.6
1996,8,413.0,224.6,312.3
1996,9,18.0,8.5,7.8
1996,10,33.0,25.2,23.6
1996,11,38.5,33.7,31.9
1996,12,8.0,4.3,7.0
1997,1,0.0,6.7,2.3
1997,2,30.0,20.0,21.0
1997,3,4.0,2.0,1.7
1997,4,321.0,191.8,419.9
1997,5,319.0,212.9,216.9
1997,6,1034.2,597.6,880.2
1997,7,388.0,274.5,275.1
1997,8,328.0,246.7,272.1
1997,9,553.0,305.9,442.1
1997,10,524.0,243.2,393.6
1997,11,80.0,53.9,64.6
1997,12,32.0,14.8,3.5
1998,1,0.0,0.0,0.0
1998,2,0.0,4.9,0.5
1998,3,0.0,0.2,0.0
1998,4,205.5,110.8,162.7
1998,5,126.5,80.2,111.0
1998,6,151.0,85.1,117.8
1998,7,43.0,8.9,20.5
1998,8,66.0,32.6,53.1
1998,9,120.0,91.1,117.0
1998,10,0.0,0.0,0.0
1998,11,0.0,3.2,2.1
1998,12,18.0,5.5,32.3
1999,1,0.0,1.2,0.9
1999,2,17.0,4.4,11.0
1999,3,22.0,6.6,16.3
1999,4,34.5,19.2,28.7
1999,5,147.0,121.1,174.2
1999,6,511.0,337.9,430.8
1999,7,152.0,141.9,142.7
1999,8,433.0,291.2,361.2
1999,9,469.5,358.4,544.4
1999,10,21.0,16.7,11.0
1999,11,9.0,5.4,1.7
1999,12,0.0,0.0,0.0
2000,1,0.0,0.0,0.0
2000,2,162.0,96.6,169.9
2000,3,0.0,0.0,0.0
2000,4,57.0,55.7,46.9
2000,5,110.9,95.8,139.3
2000,6,1373.0,873.0,1351.4
2000,7,119.0,94.5,130.5
2000,8,89.0,93.2,131.1
2000,9,525.0,280.2,449.6
2000,10,41.0,12.3,24.1
2000,11,51.0,35.6,36.0
2000,12,0.0,6.8,1.5
2001,1,137.4,69.4,140.3
2001,2,0.0,0.0,2.2
2001,3,0.0,7.4,10.7
2001,4,113.0,69.3,85.6
2001,5,483.0,380.1,517.6
2001,6,241.0,161.0,224.6
2001,7,973.0,708.3,978.5
2001,8,516.0,259.5,419.2
2001,9,14.0,7.9,21.6
2001,10,27.0,4.6,16.9
2001,11,7.1,22.0,13.8
2001,12,0.0,0.0,0.0
2002,1,3.0,0.0,1.4
2002,2,50.0,32.0,54.9
2002,3,315.0,195.0,281.5
2002,4,62.0,40.6,71.4
2002,5,662.0,458.0,523.0
2002,6,497.9,321.9,407.8
2002,7,456.6,236.0,402.0
2002,8,883.4,593.9,963.1
2002,9,340.0,137.2,244.9
2002,10,143.0,116.7,199.5
2002,11,43.0,21.0,0.0
2002,12,14.0,19.5,0.4
2003,1,71.1,74.8,2.3
2003,2,0.0,0.0,0.0
2003,3,0.0,0.0,0.0
2003,4,27.0,16.7,10.8
2003,5,204.0,147.5,173.3
2003,6,497.5,323.4,442.7
2003,7,202.0,156.8,171.4
2003,8,44.0,38.6,26.4
2003,9,179.0,118.4,150.3
2003,10,146.0,90.5,120.0
2003,11,157.0,107.0,130.1
2003,12,15.3,5.7,0.1
2004,1,0.0,0.0,0.0
2004,2,9.0,18.1,8.3
2004,3,81.0,59.5,60.4
2004,4,340.0,252.8,298.1
2004,5,26.0,32.0,9.9
2004,6,233.0,223.2,199.9
2004,7,377.5,285.8,332.5
2004,8,161.0,64.7,133.8
2004,9,312.5,169.5,272.9
2004,10,135.4,91.6,110.3
2004,11,55.5,65.4,37.0
2004,12,49.1,45.9,31.1
2005,1,4.0,0.0,3.7
2005,2,0.0,0.0,0.0
2005,3,15.8,23.8,0.5
2005,4,0.0,9.0,0.0
2005,5,799.4,533.5,719.8
2005,6,791.0,511.9,712.1
2005,7,458.7,227.9,407.1
2005,8,743.4,542.1,668.4
2005,9,79.0,40.8,58.5
2005,10,55.6,37.2,37.0
2005,11,131.7,86.6,106.9
2005,12,74.9,59.0,54.8
2006,1,18.0,15.8,2.5
2006,2,6.7,30.3,6.2
2006,3,0.0,0.0,0.0
2006,4,96.9,119.1,75.0
2006,5,255.1,205.0,220.2
2006,6,693.5,516.9,622.6
2006,7,740.5,433.5,665.7
2006,8,421.5,213.8,372.9
2006,9,123.0,98.6,98.9
2006,10,206.0,181.0,175.1
2006,11,3.0,2.5,2.8
2006,12,31.0,18.0,14.5
2007,1,4.0,0.0,3.7
2007,2,67.5,35.2,48.0
2007,3,19.0,0.0,3.4
2007,4,33.0,24.7,16.3
2007,5,38.0,41.0,20.9
2007,6,256.0,157.5,221.0
2007,7,525.0,412.7,467.9
2007,8,219.0,292.1,187.0
2007,9,52.0,32.0,33.7
2007,10,43.0,16.5,25.5
2007,11,3.0,4.0,2.8
2007,12,0.0,1.5,0.0
2008,1,0.0,0.0,0.0
2008,2,0.0,0.0,0.0
2008,3,7.5,10.0,6.9
2008,4,107.0,82.28024576,84.2
2008,5,898.0,522.2306442,810.3
2008,6,323.0,181.6200498,282.5
2008,7,446.4,253.62202290000002,395.8
2008,8,467.0,290.86216260000003,414.7
2008,9,73.0,49.1913,53.0
2008,10,21.0,31.97459447,5.3
2008,11,0.0,6.786816866000001,0.0
2008,12,0.0,3.9601599999999997,0.0
2009,1,0.0,0.0,2.410512731
2009,2,0.0,5.145907966,0.0
2009,3,0.0,0.20958694600000002,4.22460984
2009,4,0.0,9.625123194,11.26313789
2009,5,272.0,181.3855569,274.03821039999997
2009,6,496.7,281.0994716,416.1858984
2009,7,375.9,211.7706307,322.4228796
2009,8,477.5,289.57076980000005,438.2544943
2009,9,185.0,128.20103,171.3291574
