#,,Pp Banda 5,Pp Banda 4,Pp Banda 3,Pp Banda 2,Pp Banda 1
1970,4,0,0,0,0,0
1970,5,127.1,127.8,128.5,129.2,130.1
1970,6,874.6,879.5,884.3,889.2,895.7
1970,7,356,358,360,361.9,364.6
1970,8,400,402.2,404.4,406.7,409.6
1970,9,249.3,250.7,252.1,253.4,255.3
1970,10,0,0,0,0,0
1970,11,15.8,15.8,15.9,16,16.1
1970,12,62.1,62.4,62.8,63.1,63.6
1971,1,2.1,2.1,2.1,2.1,2.1
1971,2,0,0,0,0,0
1971,3,39.6,39.9,40.1,40.3,40.6
1971,4,149.5,150.3,151.1,151.8,152.9
1971,5,708.7,712.3,715.9,719.6,724.4
1971,6,357.8,359.7,361.5,363.4,365.8
1971,7,12.6,12.6,12.7,12.8,12.9
1971,8,416.4,418.5,420.7,422.8,425.6
1971,9,329,330.7,332.4,334.1,336.3
1971,10,282.6,284,285.5,286.9,288.9
1971,11,37.9,38.1,38.3,38.5,38.8
1971,12,2.9,2.9,3,3,3
1972,1,0,0,0,0,0
1972,2,2.1,2.1,2.1,2.2,2.2
1972,3,3.1,3.1,3.1,3.2,3.2
1972,4,141.1,141.5,142,142.4,143
1972,5,507.1,508.7,510.3,512,514.1
1972,6,452.1,453.5,455,456.4,458.4
1972,7,1100.9,1104.4,1107.9,1111.5,1116.2
1972,8,250.6,251.4,252.2,253,254.1
1972,9,487,488.6,490.1,491.7,493.8
1972,10,304.2,305.2,306.1,307.1,308.4
1972,11,222.2,222.9,223.6,224.3,225.3
1972,12,1.8,1.8,1.8,1.8,1.8
1973,1,0,0,0,0,0
1973,2,107.7,108.1,108.4,108.8,109.2
1973,3,114.7,115,115.4,115.8,116.3
1973,4,239.8,240.5,241.3,242.1,243.2
1973,5,879.8,882.7,885.5,888.4,892.3
1973,6,312.8,313.8,314.8,315.9,317.2
1973,7,966.9,970.1,973.3,976.4,980.7
1973,8,787,789.6,792.2,794.8,798.2
1973,9,111.8,112.2,112.6,112.9,113.4
1973,10,145.8,146.3,146.8,147.3,147.9
1973,11,124,124.4,124.9,125.3,125.8
1973,12,0.6,0.6,0.6,0.6,0.6
1974,1,10.2,10.3,10.3,10.3,10.4
1974,2,7.1,7.1,7.1,7.1,7.2
1974,3,20.6,20.7,20.7,20.8,20.9
1974,4,102.6,103.4,104.2,104.9,106
1974,5,169.2,170.5,171.8,173,174.7
1974,6,349.6,352.2,354.8,357.5,361
1974,7,176.3,177.6,178.9,180.3,182
1974,8,404,407,410,413.1,417.1
1974,9,311.9,314.2,316.6,318.9,322.1
1974,10,40.7,41,41.3,41.7,42.1
1974,11,16.8,16.9,17,17.2,17.3
1974,12,0.1,0.1,0.1,0.1,0.1
1975,1,3.1,3.1,3.1,3.1,3.2
1975,2,2.2,2.2,2.2,2.2,2.2
1975,3,0,0,0,0,0
1975,4,11.3,11.4,11.4,11.5,11.5
1975,5,1029.7,1033.5,1037.3,1041,1046.1
1975,6,1259,1263.6,1268.2,1272.8,1279
