#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1970,4,5.24,6.10,6.97,7.84,8.70,9.57,10.44,11.31
1970,5,-0.32,0.60,1.51,2.43,3.34,4.26,5.17,6.08
1970,6,-4.20,-2.93,-1.67,-0.40,0.87,2.14,3.41,4.68
1970,7,-5.09,-3.95,-2.81,-1.67,-0.53,0.61,1.75,2.89
1970,8,-3.93,-2.80,-1.68,-0.55,0.57,1.70,2.82,3.95
1970,9,-2.64,-1.38,-0.13,1.13,2.38,3.63,4.89,6.14
1970,10,0.81,1.91,3.00,4.09,5.18,6.28,7.37,8.46
1970,11,2.09,3.19,4.30,5.41,6.52,7.62,8.73,9.84
1970,12,6.45,7.40,8.34,9.29,10.24,11.19,12.13,13.08
1971,1,8.31,9.14,9.98,10.81,11.65,12.48,13.32,14.15
1971,2,10.73,11.40,12.08,12.75,13.42,14.09,14.77,15.44
1971,3,8.11,8.73,9.35,9.98,10.60,11.22,11.84,12.47
1971,4,4.74,5.53,6.31,7.10,7.89,8.67,9.46,10.24
1971,5,-0.35,0.66,1.67,2.68,3.68,4.69,5.70,6.71
1971,6,-2.60,-1.82,-1.03,-0.25,0.54,1.33,2.11,2.90
1971,7,-2.70,-2.09,-1.49,-0.88,-0.28,0.32,0.93,1.53
1971,8,-3.76,-2.68,-1.60,-0.53,0.55,1.62,2.70,3.78
1971,9,-2.61,-1.37,-0.13,1.12,2.36,3.60,4.84,6.09
1971,10,0.75,1.76,2.76,3.77,4.78,5.78,6.79,7.80
1971,11,2.18,3.33,4.48,5.64,6.79,7.95,9.10,10.26
1971,12,6.30,7.23,8.15,9.08,10.00,10.93,11.85,12.78
1972,1,8.82,9.70,10.59,11.47,12.36,13.25,14.13,15.02
1972,2,10.84,11.52,12.20,12.88,13.56,14.24,14.92,15.60
1972,3,8.31,8.95,9.59,10.23,10.87,11.51,12.15,12.78
1972,4,4.92,5.73,6.55,7.36,8.18,8.99,9.81,10.62
1972,5,-0.32,0.61,1.54,2.48,3.41,4.34,5.28,6.21
1972,6,-4.24,-2.96,-1.68,-0.40,0.88,2.16,3.44,4.72
1972,7,-6.11,-4.74,-3.37,-2.00,-0.63,0.74,2.10,3.47
1972,8,-3.55,-2.53,-1.51,-0.50,0.52,1.53,2.55,3.56
1972,9,-2.59,-1.36,-0.13,1.11,2.34,3.57,4.80,6.03
1972,10,0.79,1.85,2.90,3.96,5.02,6.08,7.14,8.20
1972,11,2.19,3.35,4.51,5.68,6.84,8.00,9.16,10.33
1972,12,6.71,7.69,8.68,9.66,10.65,11.63,12.62,13.60
1973,1,9.00,9.90,10.81,11.71,12.62,13.52,14.43,15.33
1973,2,11.24,11.95,12.65,13.36,14.06,14.77,15.47,16.18
1973,3,7.85,8.45,9.06,9.66,10.26,10.86,11.47,12.07
